
[00:00:00.000 --> 00:00:05.180]  一起讀一段聖經在約翰一書第五章第四節
[00:00:05.180 --> 00:00:07.580]  我們一同來念一節的聖經
[00:00:07.580 --> 00:00:10.760]  因為凡從生生的就勝過世界
[00:00:10.760 --> 00:00:15.960]  使我們勝了世界的就是我們的信心
[00:00:15.960 --> 00:00:19.460]  還有兩天就是美國大選的日子了
[00:00:19.460 --> 00:00:25.200]  今年美國的大選真是起起伏伏讓人難以捉摸
[00:00:25.200 --> 00:00:29.300]  而且兩黨的彼此之間的對立跟仇恨
[00:00:29.300 --> 00:00:31.920]  好像已經達到最高點
[00:00:31.920 --> 00:00:34.160]  當你仔細聽兩黨的言論
[00:00:34.160 --> 00:00:37.120]  雖然兩黨之間有很多不同點
[00:00:37.120 --> 00:00:39.800]  但有一點卻是相同的
[00:00:39.800 --> 00:00:43.260]  那就是無論哪一黨當選總統
[00:00:43.260 --> 00:00:49.120]  另外一邊都覺得是美國末日的來到
[00:00:49.120 --> 00:00:54.220]  今天我們真的生活在一個充滿動盪的時代不是嗎
[00:00:54.220 --> 00:00:59.260]  甚至有人說我們現在的環境是一個危機四伏的環境
[00:00:59.260 --> 00:01:02.020]  在這樣一個時刻我們很容易眼睛
[00:01:02.020 --> 00:01:05.520]  就是看到環境而心中很恐慌
[00:01:05.520 --> 00:01:07.960]  我們也很容易面對不同的處境
[00:01:07.960 --> 00:01:10.260]  我們就會選邊站
[00:01:10.260 --> 00:01:13.300]  我們心中會充滿了憤怒
[00:01:13.300 --> 00:01:17.620]  但事實上聖經裡面很清楚教導我們作為神的兒女
[00:01:17.620 --> 00:01:19.700]  應當怎麼來生活呢
[00:01:19.700 --> 00:01:24.020]  哥倫多後書第五章第七節這裡保羅講得很清楚說
[00:01:24.020 --> 00:01:30.900]  因為我們行事為人憑的什麼 信心不是憑的眼見
[00:01:30.900 --> 00:01:34.460]  這個世界上的人是沒有辦法憑信心
[00:01:34.460 --> 00:01:40.560]  因為他們根本沒有可以支持他們信心的根基
[00:01:40.560 --> 00:01:44.360]  所以這個世界上人只能夠憑眼見而已
[00:01:44.360 --> 00:01:46.060]  但作為神的兒女
[00:01:46.060 --> 00:01:50.100]  我們的信心是有確切的對象的
[00:01:50.100 --> 00:01:58.580]  我們信心的對象就是這位坐在寶座上永不改變的神
[00:01:58.580 --> 00:02:02.500]  所以我們的信心是有根有基的
[00:02:02.500 --> 00:02:07.220]  這為什麼我們可以不被眼前的環境所影響
[00:02:07.220 --> 00:02:13.220]  因為我們能夠看見在這一切環境之上的神
