
[00:00:00.000 --> 00:00:02.000]  早上好 電影節目早晨
[00:00:02.000 --> 00:00:04.000]  這句話是不是很熟悉呢
[00:00:04.000 --> 00:00:07.000]  因為每個禮拜在螢光幕都能看到
[00:00:07.000 --> 00:00:10.000]  起碼可以在三個月內說
[00:00:10.000 --> 00:00:13.000]  今天很開心能夠和大家見面
[00:00:13.000 --> 00:00:16.000]  和大家分享神的說話
[00:00:16.000 --> 00:00:18.000]  今天和大家說的題目叫做
[00:00:18.000 --> 00:00:20.000]  「入世信徒」
[00:00:20.000 --> 00:00:22.000]  我相信大家看到這個題目的時候
[00:00:22.000 --> 00:00:24.000]  不知道大家有什麼想法呢
[00:00:24.000 --> 00:00:25.000]  我們每個基督徒都心想
[00:00:25.000 --> 00:00:27.000]  現在生活在這個世界上
[00:00:27.000 --> 00:00:29.000]  我們都是「入世信徒」
[00:00:29.000 --> 00:00:33.000]  但到底「入世信徒」是什麼意思呢
[00:00:33.000 --> 00:00:36.000]  我們基督徒生活在這個世界上的時候
[00:00:36.000 --> 00:00:39.000]  到底我們只是在這個世界上
[00:00:39.000 --> 00:00:42.000]  一群有宗教信仰的人
[00:00:42.000 --> 00:00:45.000]  還是我們是一個有特殊任務
[00:00:45.000 --> 00:00:48.000]  被上帝插入這個世界上
[00:00:48.000 --> 00:00:51.000]  一個宿命的群體呢
[00:00:51.000 --> 00:00:53.000]  有一本雜誌
[00:00:53.000 --> 00:00:54.000]  可能大家沒有機會去看
[00:00:54.000 --> 00:00:55.000]  或者經常去看
[00:00:55.000 --> 00:00:56.000]  叫做「I Believe」
[00:00:56.000 --> 00:00:57.000]  一個基督教雜誌
[00:00:57.000 --> 00:00:59.000]  「I Believe」這個雜誌
[00:00:59.000 --> 00:01:01.000]  其中一個專欄作家叫做
[00:01:01.000 --> 00:01:03.000]  William Breaker
[00:01:03.000 --> 00:01:06.000]  William Breaker 當然是基督徒
[00:01:06.000 --> 00:01:07.000]  信徒很久了
[00:01:07.000 --> 00:01:10.000]  而且可以在基督教雜誌中寫文章
[00:01:10.000 --> 00:01:14.000]  我們可以"屬靈的姊妹"
[00:01:14.000 --> 00:01:17.000]  他在教會裏面有很長的時間
[00:01:17.000 --> 00:01:19.000]  他說他觀察到
[00:01:19.000 --> 00:01:22.000]  在教會裏面參加聚會的人
[00:01:22.000 --> 00:01:25.000]  有很多人已經覺得來教會聚會
[00:01:25.000 --> 00:01:28.000]  已經成為他們的生活習慣
[00:01:28.000 --> 00:01:31.000]  或者對某些人來說
[00:01:31.000 --> 00:01:34.000]  更加覺得是一個例行公事
[00:01:34.000 --> 00:01:36.000]  所以很多時候
[00:01:36.000 --> 00:01:38.000]  當我們到了這樣的階段
[00:01:38.000 --> 00:01:39.000]  這樣的地步的時候
[00:01:39.000 --> 00:01:41.000]  其實我們是不是真的
[00:01:41.000 --> 00:01:44.000]  在活出我們的信仰呢
[00:01:44.000 --> 00:01:46.000]  這個雜誌裏面來說
[00:01:46.000 --> 00:01:49.000]  這個作者叫William
[00:01:49.000 --> 00:01:52.000]  他觀察到有幾個情況
[00:01:52.000 --> 00:01:53.000]  幾個現象
[00:01:53.000 --> 00:01:55.000]  他說有些人來教會今天
[00:01:55.000 --> 00:01:59.000]  已經不期待再來參加聚會
[00:01:59.000 --> 00:02:01.000]  不過好像不來
[00:02:01.000 --> 00:02:03.000]  又好像覺得有點罪疚感
[00:02:03.000 --> 00:02:05.000]  不來參加聚會
[00:02:05.000 --> 00:02:06.000]  不來崇拜
[00:02:06.000 --> 00:02:07.000]  神會不高興的
[00:02:07.000 --> 00:02:09.000]  你選耶穌怎麼會不來崇拜呢
[00:02:09.000 --> 00:02:10.000]  所以就要來
[00:02:10.000 --> 00:02:13.000]  所以有些人不期待參加聚會
[00:02:13.000 --> 00:02:14.000]  但是不來
[00:02:14.000 --> 00:02:15.000]  心裏面又害怕
[00:02:15.000 --> 00:02:17.000]  怕得神不開心
[00:02:17.000 --> 00:02:20.000]  還有些人就來了
[00:02:20.000 --> 00:02:21.000]  個個坐在這裏
[00:02:21.000 --> 00:02:24.000]  但是人在心不在
[00:02:24.000 --> 00:02:26.000]  其實心靈裏面
[00:02:26.000 --> 00:02:31.000]  其實並不是在敬拜上帝
[00:02:31.000 --> 00:02:32.000]  而有些人甚至覺得
[00:02:32.000 --> 00:02:33.000]  坐著坐著
[00:02:33.000 --> 00:02:34.000]  都是那些老套的東西
[00:02:34.000 --> 00:02:36.000]  講來講去都差不多了
[00:02:36.000 --> 00:02:38.000]  崇拜還沒完就想走了
[00:02:38.000 --> 00:02:39.000]  不過人不是幾個意思
