
[00:00:00.000 --> 00:00:04.700]  今天我們開始一個新的書卷系列
[00:00:04.700 --> 00:00:08.240]  是新約裏面的《已乏所書》
[00:00:08.240 --> 00:00:11.560]  我們今天的經文是《已乏所書》第一章
[00:00:11.560 --> 00:00:14.520]  第十五節至二十三節
[00:00:14.520 --> 00:00:18.000]  我一直都以為
[00:00:18.000 --> 00:00:19.960]  我今天講的這篇道
[00:00:19.960 --> 00:00:23.160]  應該是《已乏所書》系裏面的第二篇道
[00:00:23.160 --> 00:00:25.360]  直至大概一個禮拜之前
[00:00:25.360 --> 00:00:26.400]  我才發現
[00:00:26.400 --> 00:00:28.400]  原來我今天是打頭陣的
[00:00:29.000 --> 00:00:31.440]  如果你醒目的話
[00:00:31.440 --> 00:00:32.440]  你應該會問
[00:00:32.440 --> 00:00:35.200]  《已乏所書》一章十四節
[00:00:35.200 --> 00:00:38.040]  為什麼沒有講呢?
[00:00:38.040 --> 00:00:40.440]  原來你查回教會的年曆
[00:00:40.440 --> 00:00:42.800]  是在五月二十二日
[00:00:42.800 --> 00:00:44.800]  三一主日那一天
[00:00:44.800 --> 00:00:46.400]  就已經講了
[00:00:46.400 --> 00:00:49.600]  五月二十二日都已經有一段時間了
[00:00:49.600 --> 00:00:53.160]  我不知道你有沒有人還記得五月二十二日那一篇道
[00:00:53.160 --> 00:00:55.760]  當然是不記得了
[00:00:55.760 --> 00:00:57.760]  不記得就糟糕了
[00:00:57.760 --> 00:01:01.400]  就是說我今天是短短四十分鐘
[00:01:01.400 --> 00:01:03.440]  四十分鐘的時間裏面
[00:01:03.440 --> 00:01:04.440]  我要做三件事
[00:01:04.440 --> 00:01:06.040]  第一
[00:01:06.040 --> 00:01:07.640]  我要和你介紹一下
[00:01:07.640 --> 00:01:10.040]  《已乏所書》究竟是一本什麼書
[00:01:10.040 --> 00:01:10.840]  第二
[00:01:10.840 --> 00:01:14.240]  我要和你回顧《已乏所書》第一章
[00:01:14.240 --> 00:01:17.240]  三至十四節裏面的重站
[00:01:17.240 --> 00:01:18.040]  第三
[00:01:18.040 --> 00:01:19.440]  接著我才可以講
[00:01:19.440 --> 00:01:20.440]  今天那段經文
[00:01:20.440 --> 00:01:21.840]  就是《已乏所書》第一章
[00:01:21.840 --> 00:01:25.040]  十五至二十三節的祈求
[00:01:25.040 --> 00:01:28.640]  簡單來說這是一個不可能的任務
[00:01:28.640 --> 00:01:30.240]  Mission Impossible
[00:01:30.240 --> 00:01:32.240]  基本上你給我兩三個月
[00:01:32.240 --> 00:01:36.040]  我想我都跑不出《已乏所書》第一章
[00:01:36.040 --> 00:01:39.240]  現在你竟然要短短三四十分鐘
[00:01:39.240 --> 00:01:41.240]  要將整章講完
[00:01:41.240 --> 00:01:42.840]  是Impossible的事情
[00:01:42.840 --> 00:01:44.440]  不過感謝神
[00:01:44.440 --> 00:01:47.240]  如果有一件事是好的
[00:01:47.240 --> 00:01:48.040]  是幫到我們的
[00:01:48.040 --> 00:01:51.840]  就是迫切地叫我們要去到神面前祈求
[00:01:51.840 --> 00:01:53.440]  我們今天需要智慧
[00:01:53.440 --> 00:01:54.440]  需要很聰明
[00:01:54.440 --> 00:01:56.440]  需要在很短的時間裏面
[00:01:56.440 --> 00:01:57.040]  不單止是我
