
[00:00:00.000 --> 00:00:02.880]  今天和大家講的題目是崇尚真理
[00:00:02.880 --> 00:00:07.680]  你有福嗎?
[00:00:07.680 --> 00:00:15.120]  你覺得自己有什麼福呢?
[00:00:15.120 --> 00:00:16.680]  在聖經裏面
[00:00:16.680 --> 00:00:20.840]  這裏講到特別詩篇第一篇
[00:00:20.840 --> 00:00:24.440]  我們可以去一下
[00:00:24.440 --> 00:00:26.400]  我們尊崇神的說話
[00:00:26.400 --> 00:00:28.640]  在生活裏面實踐真理
[00:00:28.640 --> 00:00:31.440]  是我們做基督徒的一個本份
[00:00:31.440 --> 00:00:32.760]  但是同樣的
[00:00:32.760 --> 00:00:39.040]  這也是我們接受神給我們的福分的開始
[00:00:39.040 --> 00:00:40.320]  留意的是
[00:00:40.320 --> 00:00:46.040]  我們經歷神給我們有這個福的開始
[00:00:46.040 --> 00:00:47.640]  今天我們看詩篇第一篇
[00:00:47.640 --> 00:00:49.400]  詩篇第一篇是
[00:00:49.400 --> 00:00:52.280]  智慧詩也是一些訓誨詩
[00:00:52.280 --> 00:00:52.800]  很有趣的
[00:00:52.800 --> 00:00:54.040]  當我們去想一下
[00:00:54.040 --> 00:00:55.640]  為什麼
[00:00:55.640 --> 00:00:57.720]  其實詩篇不是一個人作的
[00:00:57.720 --> 00:00:59.720]  是很多的作者作了這些詩篇
[00:00:59.720 --> 00:01:02.000]  然後有些人就將這些詩篇
[00:01:02.000 --> 00:01:04.920]  就編輯成一卷的書
[00:01:04.920 --> 00:01:07.120]  叫做詩篇
[00:01:07.120 --> 00:01:08.000]  有時候我想一下
[00:01:08.000 --> 00:01:10.080]  為什麼編輯那些人呢
[00:01:10.080 --> 00:01:11.920]  我們詩篇有一百五十篇
[00:01:11.920 --> 00:01:16.000]  為什麼要將這一首的詩篇
[00:01:16.000 --> 00:01:17.440]  放到第一節呢
[00:01:17.440 --> 00:01:20.560]  放到開頭第一卷的詩篇
[00:01:20.560 --> 00:01:23.640]  第一章的詩篇呢
[00:01:23.640 --> 00:01:25.440]  當我們再看下去的時候
[00:01:25.440 --> 00:01:28.840]  我會想起好像《新約》《馬太福音》裡面
[00:01:28.840 --> 00:01:32.000]  我們有天國百福是不是
[00:01:32.000 --> 00:01:34.640]  百福也是告訴我們
[00:01:34.640 --> 00:01:37.960]  我們怎樣去經歷神賜給我們的福
[00:01:37.960 --> 00:01:40.280]  就由那裡開始
[00:01:40.280 --> 00:01:42.520]  同樣詩篇第一篇就好像一個開場白
[00:01:42.520 --> 00:01:43.640]  一個引言
[00:01:43.640 --> 00:01:45.560]  告訴我們
[00:01:45.560 --> 00:01:49.200]  接著你下去看另外149篇詩篇的時候
[00:01:49.200 --> 00:01:52.360]  就從第一篇這個觀點
[00:01:52.360 --> 00:01:54.000]  繼續看下去
[00:01:54.000 --> 00:01:56.880]  這個觀點就是在生活裡面
[00:01:56.880 --> 00:02:00.840]  你願意聽神的話親近神
[00:02:00.840 --> 00:02:03.080]  謙卑的信服神
[00:02:03.080 --> 00:02:05.440]  你就會經歷到
[00:02:05.440 --> 00:02:08.960]  神給你創造你生命裡面的奇妙
[00:02:08.960 --> 00:02:10.320]  你會經歷到神
[00:02:10.320 --> 00:02:12.680]  叫你在地上生活的時候
[00:02:12.680 --> 00:02:15.640]  享受到的福分
[00:02:15.640 --> 00:02:18.160]  你經歷到嗎
[00:02:18.160 --> 00:02:20.000]  所以我問你
[00:02:20.000 --> 00:02:22.560]  你今天說自己有福
[00:02:22.560 --> 00:02:24.600]  你所擁有的福
[00:02:24.600 --> 00:02:26.800]  和神給你的福
[00:02:26.800 --> 00:02:28.240]  有什麼不同呢
[00:02:28.240 --> 00:02:31.560]  我們一起低頭再禱告
[00:02:31.560 --> 00:02:42.000]  親愛的天父我們求你幫助我們
[00:02:42.000 --> 00:02:45.760]  特別讓我們在這個紛擾的世界裡面
[00:02:45.760 --> 00:02:48.680]  讓我們能夠安靜下來
[00:02:48.680 --> 00:02:51.440]  讓我們能夠慢下來
[00:02:51.440 --> 00:02:56.360]  聆聽神理的聲音
[00:02:56.360 --> 00:02:58.000]  特別神理的說話
[00:02:58.000 --> 00:03:01.080]  直接進入我們內心裡面
[00:03:01.080 --> 00:03:02.920]  親自提醒
[00:03:02.920 --> 00:03:04.160]  教導
[00:03:04.160 --> 00:03:05.240]  鼓勵
[00:03:05.240 --> 00:03:08.600]  激勵我們每一位弟兄姊妹
[00:03:08.600 --> 00:03:10.600]  將以下段時間交上
[00:03:10.600 --> 00:03:13.040]  禱告奉耶穌基督的聖名求
[00:03:13.040 --> 00:03:14.520]  阿們
[00:03:14.520 --> 00:03:15.960]  首先我們來看看這首詩篇
[00:03:15.960 --> 00:03:17.720]  第一點
[00:03:17.720 --> 00:03:20.560]  二人喜樂蒙福
[00:03:20.560 --> 00:03:22.720]  我們再讀一讀第一節到第三節
[00:03:22.720 --> 00:03:23.680]  好不好 預備
