
[00:00:00.000 --> 00:00:02.000]  大家好,午安
[00:00:02.000 --> 00:00:06.000]  可否用一個很友善的眼光
[00:00:06.000 --> 00:00:08.000]  看看我們旁邊的人,問一問他
[00:00:08.000 --> 00:00:10.000]  知道今天是什麼日子嗎?
[00:00:10.000 --> 00:00:14.000]  都聽到很多人說了,沒錯了
[00:00:14.000 --> 00:00:17.000]  今天就是三月裡最後一個主日
[00:00:17.000 --> 00:00:23.000]  今天是香港的特區選舉
[00:00:23.000 --> 00:00:24.000]  特首選舉
[00:00:24.000 --> 00:00:26.000]  你幫我和旁邊的人說
[00:00:26.000 --> 00:00:28.000]  選卷這些東西很虛空的
[00:00:28.000 --> 00:00:30.000]  你全都輸了
[00:00:30.000 --> 00:00:34.000]  願我們都能夠一齊去尊心去敬拜主
[00:00:34.000 --> 00:00:36.000]  如果你有聖經,我鼓勵你一齊去擁抱神的話
[00:00:36.000 --> 00:00:38.000]  我們一齊祈禱
[00:00:38.000 --> 00:00:40.000]  天上上帝,我們為著
[00:00:40.000 --> 00:00:42.000]  我們有你的話語,我們想感謝
[00:00:42.000 --> 00:00:44.000]  當我們面對著一個
[00:00:44.000 --> 00:00:46.000]  變遷的世代,未知的將來的時候
[00:00:46.000 --> 00:00:48.000]  我們知道
[00:00:48.000 --> 00:00:50.000]  你的話語讓我們知道
[00:00:50.000 --> 00:00:52.000]  你是各位天上
[00:00:52.000 --> 00:00:54.000]  坐足為王,掌管萬有的主
[00:00:54.000 --> 00:00:56.000]  讓我們謙卑乎乎在你面前
[00:00:56.000 --> 00:00:58.000]  讓你去帶領我們的前路
[00:00:58.000 --> 00:01:00.000]  當我們去
[00:01:00.000 --> 00:01:02.000]  面對著很多我們未知的將來的時候
[00:01:02.000 --> 00:01:04.000]  讓我們知道
[00:01:04.000 --> 00:01:06.000]  你掌管我們的明天
[00:01:06.000 --> 00:01:08.000]  因著你的主權
[00:01:08.000 --> 00:01:10.000]  我們能夠得著
[00:01:10.000 --> 00:01:12.000]  安恕、穩妥
[00:01:12.000 --> 00:01:14.000]  就讓你成為我們的山寨
[00:01:14.000 --> 00:01:16.000]  我們的依靠,成為我們唯一
[00:01:16.000 --> 00:01:18.000]  信心的依靠
[00:01:18.000 --> 00:01:20.000]  將以下時間交上
[00:01:20.000 --> 00:01:22.000]  求你親自的帶領,向我們說話
[00:01:22.000 --> 00:01:24.000]  觸動我們各人的心靈
[00:01:24.000 --> 00:01:26.000]  改變我們的生命
[00:01:26.000 --> 00:01:28.000]  聽我們的祈禱,奉靠耶穌基督
[00:01:28.000 --> 00:01:30.000]  得聖的命之祈求,阿們
[00:01:54.000 --> 00:01:56.000]  很灰心
[00:01:56.000 --> 00:01:58.000]  因為
[00:01:58.000 --> 00:02:00.000]  三個裡面都沒有一個他喜歡
[00:02:00.000 --> 00:02:02.000]  不過總會有一個被選上
[00:02:02.000 --> 00:02:04.000]  有些很激心
[00:02:04.000 --> 00:02:06.000]  因為我們沒有投票
[00:02:06.000 --> 00:02:08.000]  投票的不是我們
[00:02:08.000 --> 00:02:10.000]  好像沒有關係
[00:02:10.000 --> 00:02:12.000]  我不是很想去評論我們的選舉
[00:02:12.000 --> 00:02:14.000]  我只是想說在這個選舉裡面
[00:02:14.000 --> 00:02:16.000]  去見到一些東西
[00:02:16.000 --> 00:02:18.000]  見到的就是
[00:02:18.000 --> 00:02:20.000]  我們或多或少
[00:02:20.000 --> 00:02:22.000]  都是想有某程度上的參與
[00:02:22.000 --> 00:02:24.000]  我們會在選舉
[00:02:24.000 --> 00:02:26.000]  無論是特首選舉也好
