
[00:00:00.000 --> 00:00:04.180]  弟兄姊妹真的要好好地望你們了
[00:00:04.180 --> 00:00:07.060]  很感恩我們可以在堂慶的主日
[00:00:07.060 --> 00:00:09.940]  回到教會當中
[00:00:09.940 --> 00:00:10.680]  一起敬拜
[00:00:10.680 --> 00:00:13.500]  我不知道你剛才唱詩時有沒有感受到
[00:00:13.500 --> 00:00:17.000]  在身邊有人跟你一起開聲讚美
[00:00:17.000 --> 00:00:19.720]  一起去背誦主禱文
[00:00:19.720 --> 00:00:21.840]  我們一同去敬拜
[00:00:21.840 --> 00:00:25.700]  這種美好是主給我們的恩典
[00:00:25.700 --> 00:00:27.440]  我們要去感謝主
[00:00:27.440 --> 00:00:29.820]  為了今天聽到的時間
[00:00:29.820 --> 00:00:32.820]  我們再一次獻上禱告
[00:00:32.820 --> 00:00:34.560]  主讓我們讚美祢
[00:00:34.560 --> 00:00:37.300]  讓我們可以齊聚在教會當中
[00:00:37.300 --> 00:00:39.780]  或者藉著網上的直播
[00:00:39.780 --> 00:00:42.020]  讓我們參與崇拜
[00:00:42.020 --> 00:00:44.820]  主求祢的靈引導我們明白
[00:00:44.820 --> 00:00:46.940]  你聖經裏面的真理
[00:00:46.940 --> 00:00:50.820]  也讓這個真理成為我們生命裏面的指引
[00:00:50.820 --> 00:00:52.820]  讓我們能夠明道行道
[00:00:52.820 --> 00:00:53.860]  多謝祢
[00:00:53.860 --> 00:00:56.740]  祈禱奉主耶穌基督得勝明智祈求
[00:00:56.740 --> 00:00:57.700]  阿們
[00:01:27.020 --> 00:01:31.320]  我們是否真的有用一段比較長的時間去祈禱呢?
[00:01:31.320 --> 00:01:32.660]  經文這裏記錄了
[00:01:32.660 --> 00:01:35.460]  主是一整晚去祈禱
[00:01:35.460 --> 00:01:37.180]  安著猶太人的雞孫
[00:01:37.180 --> 00:01:41.100]  他們一整晚大約十至十二小時
[00:01:41.100 --> 00:01:43.460]  不要說一整晚
[00:01:43.460 --> 00:01:46.200]  要你用一小時祈禱
[00:01:46.200 --> 00:01:46.800]  不用了
[00:01:46.800 --> 00:01:48.880]  剛才那一分鐘安靜
[00:01:48.880 --> 00:01:51.660]  你還能做到嗎?
[00:01:51.660 --> 00:01:52.380]  很多時候
[00:01:52.380 --> 00:01:53.740]  原諒我這樣說
[00:01:53.740 --> 00:01:56.640]  我們在祈禱裏面好像要捱過去一樣
[00:01:56.640 --> 00:01:59.720]  在祈禱學習歷程裏面
[00:01:59.720 --> 00:02:03.660]  我都發現自己曾經有些片段試過
[00:02:03.660 --> 00:02:05.980]  期期吓吐在一段時間裏面祈禱
[00:02:05.980 --> 00:02:07.020]  睡著了
[00:02:07.020 --> 00:02:09.380]  又或者魂有障礙
[00:02:09.380 --> 00:02:12.780]  到頭來其實自己是沒有留心
[00:02:12.780 --> 00:02:17.860]  這樣這麼長時間的祈禱的重點在哪裏呢?
[00:02:17.860 --> 00:02:20.660]  這個經歷亦反映出
[00:02:20.660 --> 00:02:24.900]  對當時自己身處的環境和處境
[00:02:24.900 --> 00:02:26.300]  沒有一個警覺性
[00:02:26.300 --> 00:02:31.500]  耶穌在處境裏面是怎樣做呢?
[00:02:31.500 --> 00:02:33.260]  祂面對一個重大的事情
[00:02:33.260 --> 00:02:36.940]  祂在禱告裏面作抉擇
[00:02:36.940 --> 00:02:38.740]  從經文的線索得知
[00:02:38.740 --> 00:02:41.340]  一開始說「在那些日子」
[00:02:41.340 --> 00:02:42.620]  這段是怎樣的日子呢?
[00:02:42.620 --> 00:02:45.080]  是在路加福音的五章十七節開始
[00:02:45.080 --> 00:02:46.380]  到六章十一節
[00:02:46.380 --> 00:02:48.300]  即是這一節的前一節
[00:02:48.300 --> 00:02:51.180]  路加一年記載了四件
[00:02:51.180 --> 00:02:55.900]  宗教領袖法利財人文氏針對攻擊耶穌的事情
[00:02:55.900 --> 00:02:57.820]  而最後在六章十一節裏說
[00:02:57.820 --> 00:02:58.700]  他們很憤怒
[00:02:58.700 --> 00:02:59.500]  憤怒耶穌
[00:02:59.500 --> 00:03:02.100]  彼此商量如何對付祂
[00:03:02.100 --> 00:03:05.300]  有其他福音書說是起了殺機
[00:03:05.300 --> 00:03:07.500]  你感受到主耶穌在人生路上
[00:03:07.500 --> 00:03:09.900]  越來越接近十字架的日子
[00:03:09.900 --> 00:03:12.540]  是越來越接近
[00:03:12.540 --> 00:03:14.260]  頂尖的你呢?
[00:03:14.260 --> 00:03:19.860]  你的人生路是否越來越接近一些重大的轉變呢?
[00:03:19.860 --> 00:03:21.380]  人在一些這麼大的困難
[00:03:21.380 --> 00:03:23.620]  或者一個關口的時候
[00:03:23.620 --> 00:03:25.260]  在這些處境當中
[00:03:25.260 --> 00:03:27.100]  通常會怎樣呢?
[00:03:27.100 --> 00:03:30.380]  可能有些人會浸沉在四周圍的環境裏面
[00:03:30.380 --> 00:03:31.860]  在自己的事情當中
[00:03:31.860 --> 00:03:33.980]  在各樣的準備裏面
[00:03:33.980 --> 00:03:35.260]  最近一個新聞節目
[00:03:35.260 --> 00:03:37.580]  訪問了幾個不同的人
[00:03:37.580 --> 00:03:41.500]  說他們如何在現在經濟金融的市況裏面
[00:03:41.500 --> 00:03:43.460]  如何做投資
[00:03:43.460 --> 00:03:45.180]  有二十多歲、三十多歲
[00:03:45.180 --> 00:03:47.220]  有一位是四、五十歲的人
[00:03:47.220 --> 00:03:48.660]  其中一位受訪者
[00:03:48.660 --> 00:03:50.740]  他面對著香港金融的狀況的變化
