
[00:00:00.000 --> 00:00:02.000]  大家剛才讀的那段金句
[00:00:02.000 --> 00:00:06.800]  她說如果我們褻瀆聖靈會怎樣
[00:00:06.800 --> 00:00:11.760]  是一個永遠的罪
[00:00:11.760 --> 00:00:15.200]  可以說是不可以赦免的
[00:00:15.200 --> 00:00:19.680]  那我們很奇怪 為什麼有罪是不可以赦免的呢
[00:00:19.680 --> 00:00:25.720]  我想聖經裏面有很多所謂的難題
[00:00:25.720 --> 00:00:30.920]  有些地方我們不是完全明白
[00:00:30.920 --> 00:00:36.400]  有些地方神學家都爭論了幾千年
[00:00:36.400 --> 00:00:41.880]  從創世紀開始
[00:00:41.880 --> 00:00:48.080]  記得戈爾引殺了他弟弟
[00:00:48.080 --> 00:00:52.080]  神就把他趕走
[00:00:52.080 --> 00:00:56.080]  把他趕到一個叫羅德的地方
[00:00:56.080 --> 00:00:58.640]  就是Nord
[00:00:58.640 --> 00:01:02.720]  這個地方不是打遊戲機的罪惡之地
[00:01:02.720 --> 00:01:06.680]  是伊甸園東面
[00:01:06.680 --> 00:01:12.000]  說到去到這個地方之後
[00:01:12.000 --> 00:01:16.000]  他又找到一個老婆
[00:01:16.000 --> 00:01:18.480]  他又找到一個老婆
[00:01:18.480 --> 00:01:22.480]  然後他們在一起 生養眾多
[00:01:22.480 --> 00:01:27.120]  有些人奇怪 為什麼會去到這個地方找到一個女人呢
[00:01:27.120 --> 00:01:29.840]  為什麼會在這個地方找到一個女人呢
[00:01:29.840 --> 00:01:31.840]  亞多不是有兩個兒子的嗎
[00:01:31.840 --> 00:01:34.560]  有一個戈爾引 一個阿伯
[00:01:34.560 --> 00:01:39.560]  阿伯後來被他殺了
[00:01:39.560 --> 00:01:44.160]  很多年後才生了一個瑟特
[00:01:44.160 --> 00:01:49.800]  很多年後才生了一個瑟特
[00:01:49.800 --> 00:01:54.400]  那些人說你去到羅德的地方 為什麼會有女子呢
[00:01:54.400 --> 00:02:00.040]  有人就問他去羅德的地方 為什麼會有女子呢
[00:02:00.040 --> 00:02:01.280]  這是一個疑問
[00:02:01.280 --> 00:02:04.480]  其實很可能他沒去的地方已經娶了太太
[00:02:04.480 --> 00:02:09.480]  其實他可能沒有去這個地方之前已經娶了太太
[00:02:09.480 --> 00:02:11.200]  可能這個太太也是他妹妹
[00:02:11.200 --> 00:02:12.800]  又或者是他的姪女也說不定
[00:02:12.800 --> 00:02:14.640]  又或者是他的姪女也說不定
[00:02:14.640 --> 00:02:18.240]  這是聖經我們覺得很有趣的時候想的事情
[00:02:18.240 --> 00:02:19.880]  其實有時候我們看聖經是很有趣的
[00:02:19.880 --> 00:02:23.640]  聖經六章那裡有一段是很難明白的
[00:02:23.640 --> 00:02:26.240]  創世紀第六章也有一段很難明白
[00:02:26.240 --> 00:02:30.520]  說到神的兒子見到人的女兒很漂亮
[00:02:30.520 --> 00:02:33.000]  他說到神的兒子見到別人的女兒很漂亮
[00:02:33.000 --> 00:02:35.000]  隨便娶他們為妻
[00:02:35.000 --> 00:02:36.480]  又隨便娶他們為妻
[00:02:36.480 --> 00:02:38.000]  這真的很奇怪
[00:02:38.000 --> 00:02:38.800]  這也是很奇怪
[00:02:38.800 --> 00:02:40.880]  他生了一些偉人
[00:02:40.880 --> 00:02:43.400]  他生了一些偉人
[00:02:43.400 --> 00:02:44.400]  巨人
[00:02:44.400 --> 00:02:45.600]  是一些巨人
[00:02:45.600 --> 00:02:47.120]  很難明白
[00:02:47.120 --> 00:02:48.240]  這也是很難明白
[00:02:48.240 --> 00:02:49.960]  神的兒子是不是天使呢
[00:02:49.960 --> 00:02:51.960]  神的兒子是否是天使
[00:02:51.960 --> 00:02:54.240]  會不會神的兒子就是屬神的人呢
[00:02:54.240 --> 00:02:58.840]  是否神的兒子就是屬神的人呢
[00:02:58.840 --> 00:03:01.440]  或者人的女兒就是屬血器的呢
[00:03:01.440 --> 00:03:03.160]  然後人的女兒是不是
[00:03:03.160 --> 00:03:05.360]  有時候很難明白是不是
[00:03:05.360 --> 00:03:07.840]  有時候我們是很難明白的
[00:03:07.840 --> 00:03:11.600]  那又去到新約的時代
[00:03:11.600 --> 00:03:13.600]  因為我們來到新約時代
[00:03:13.600 --> 00:03:15.600]  彼得前書
[00:03:15.600 --> 00:03:16.600]  在彼得前書
[00:03:16.600 --> 00:03:21.440]  他說到耶穌被釘了十字架之後
[00:03:21.440 --> 00:03:23.440]  他說到耶穌被釘十字架之後
[00:03:23.440 --> 00:03:24.920]  他下到陰間
[00:03:24.920 --> 00:03:25.920]  他進到陰間
[00:03:25.920 --> 00:03:28.360]  和監獄的靈去傳福音
[00:03:28.360 --> 00:03:30.120]  他跟監獄的靈來傳福音
[00:03:30.120 --> 00:03:33.200]  這些都是我們很難明白監獄的靈是誰呢
[00:03:33.200 --> 00:03:35.840]  這些我們很難明白監獄的靈是誰呢
[00:03:35.840 --> 00:03:38.360]  所以想跟大家講聖經的好地方
[00:03:38.360 --> 00:03:40.360]  我們是不會完全明白的
[00:03:40.360 --> 00:03:42.080]  所以我先跟大家說
[00:03:42.080 --> 00:03:44.720]  聖經有些地方我們不會完全明白
[00:03:44.720 --> 00:03:45.720]  我們講這個褻瀆的聖靈
[00:03:45.720 --> 00:03:48.360]  也有很多不同的解法
