
[00:00:00.000 --> 00:00:07.000]  丁姐妹早上,最近跟一位姐妹談起大家近年的轉變,
[00:00:07.000 --> 00:00:12.000]  都覺得過去兩年因為疫情,很多事情好像停下來一樣,
[00:00:12.000 --> 00:00:18.000]  時間好像消失了,然後不少事情都已經改變了。
[00:00:18.000 --> 00:00:23.000]  不過我就想,正正因為這些停頓和改變,
[00:00:23.000 --> 00:00:28.000]  其實給我們有機會去反思一下過去的一些經歷,
[00:00:28.000 --> 00:00:33.000]  亦都發現一下上帝的恩典,整理一下自己,
[00:00:33.000 --> 00:00:36.000]  再看看前面的路應該怎樣走。
[00:00:36.000 --> 00:00:41.000]  在這個過程當中,我就想起西方人的團契生活裏面,
[00:00:41.000 --> 00:00:45.000]  很喜歡叫你寫一個「慕智冥」,
[00:00:45.000 --> 00:00:50.000]  去想想你想其他人在你死後怎樣去紀念你。
[00:00:50.000 --> 00:00:53.000]  中國人就很少去想死,
[00:00:53.000 --> 00:00:59.000]  特別是農曆新年,是不好意頭的中國傳統,
[00:00:59.000 --> 00:01:05.000]  但是我們的信仰是超越了這樣的想法,
[00:01:05.000 --> 00:01:08.000]  又或者我想在香港寸金尺土,
[00:01:08.000 --> 00:01:13.000]  其實都沒有什麼人真的會有一個「慕智冥」。
[00:01:13.000 --> 00:01:16.000]  不過按照這個思路,我就想,
[00:01:16.000 --> 00:01:22.000]  其實我的一生裏面,最想身邊的人怎樣記得我呢?
[00:01:22.000 --> 00:01:25.000]  你又想身邊的人怎樣記得你呢?
[00:01:25.000 --> 00:01:31.000]  我發現我期望,我想到一句話來總結我的人生,
[00:01:31.000 --> 00:01:35.000]  我希望我是「loved and was loved」,
[00:01:35.000 --> 00:01:40.000]  是曾經愛和曾被愛的一個人。
[00:01:40.000 --> 00:01:42.000]  不知道你那句話是怎樣,
[00:01:42.000 --> 00:01:44.000]  可能每個人都不同的。
[00:01:44.000 --> 00:01:47.000]  《新有聖經》裏面有一位人物,
[00:01:47.000 --> 00:01:50.000]  被人稱為「愛的仕途」,
[00:01:50.000 --> 00:01:52.000]  他就是仕途若翰,
[00:01:52.000 --> 00:01:55.000]  在若翰晚年他寫的書信裏面,
[00:01:55.000 --> 00:01:58.000]  充滿著他對愛的體會。
[00:01:58.000 --> 00:02:00.000]  今天我就選了一個段落,
