
[00:00:00.000 --> 00:00:04.000]  在台灣有一個律師接受一位年輕牧師的邀請
[00:00:04.000 --> 00:00:06.600]  去到南投這個鄉下的地方
[00:00:06.600 --> 00:00:10.800]  為一位病重的老牧師立遺囑
[00:00:10.800 --> 00:00:14.400]  這位遺囑最主要是吩咐這位年輕牧師
[00:00:14.400 --> 00:00:18.800]  盡力去幫助十位有困難的弟兄姊妹
[00:00:18.800 --> 00:00:20.400]  遺囑的最後一句
[00:00:20.400 --> 00:00:21.600]  他這樣說
[00:00:21.600 --> 00:00:26.800]  他說「我要將一切全部的身家交給張牧師」
[00:00:26.800 --> 00:00:29.900]  張牧師就是這位年輕的牧師了
[00:00:29.900 --> 00:00:33.000]  幾天之後張牧師通知律師
[00:00:33.000 --> 00:00:36.300]  說這位老牧師已經處為安息了
[00:00:36.300 --> 00:00:41.000]  接著之後每一年律師都收到一份報告
[00:00:41.000 --> 00:00:45.100]  報告詳細地交代描述
[00:00:45.100 --> 00:00:49.700]  這位張牧師怎樣幫助這十位有困難的弟兄姊妹
[00:00:49.700 --> 00:00:53.600]  律師見張牧師處理這件事非常好
[00:00:53.600 --> 00:00:56.100]  結果又不錯
[00:00:56.100 --> 00:00:59.000]  於是四年後就跟張牧師說
[00:00:59.000 --> 00:01:02.000]  你已經完全辦妥遺囑的吩咐
[00:01:02.000 --> 00:01:05.000]  這件事可以告一段落了
[00:01:05.000 --> 00:01:08.300]  但是律師心裡面仍然有一種好奇心
[00:01:08.300 --> 00:01:13.200]  究竟老牧師留下多少的遺產給張牧師呢?
[00:01:13.200 --> 00:01:16.500]  遺囑一個字都沒有說
[00:01:16.500 --> 00:01:19.100]  二十年後有一次偶然的機會
[00:01:19.100 --> 00:01:21.100]  律師想起這件事
[00:01:21.100 --> 00:01:23.300]  因為好奇心的驅使
[00:01:23.300 --> 00:01:28.200]  於是他就當旅行去南投鄉下地方找張牧師
[00:01:28.200 --> 00:01:29.900]  他真的找到了
[00:01:29.900 --> 00:01:31.200]  張牧師就跟他說
[00:01:31.200 --> 00:01:36.200]  其實當年老牧師的身家只有二百元新台幣
[00:01:36.200 --> 00:01:37.500]  蛤?
[00:01:37.500 --> 00:01:41.400]  那為什麼搞這麼多事要拿一份遺囑呢?
[00:01:41.400 --> 00:01:43.900]  張牧師說其實一開始都不明白
[00:01:43.900 --> 00:01:46.500]  但是後來慢慢我就明白了
[00:01:46.500 --> 00:01:50.100]  我是美國一流大學畢業的博士
[00:01:50.100 --> 00:01:51.700]  一開始回到台灣的時候
[00:01:51.700 --> 00:01:55.500]  以為教會派我去大學區去牧養那些大學生
[00:01:55.500 --> 00:01:59.200]  但是誰知道就派我去南投這個鄉下的地方
[00:01:59.200 --> 00:02:02.100]  那裡的人對我所學的一點興趣都沒有
[00:02:02.100 --> 00:02:04.000]  我一開始都有點失望
[00:02:04.000 --> 00:02:09.700]  但是當我一路依照遺囑的吩咐去做的時候
[00:02:09.700 --> 00:02:10.700]  有一天
[00:02:10.700 --> 00:02:15.000]  我發覺自己有一件我一直在找都沒有的事
[00:02:15.000 --> 00:02:19.200]  就是心裡面那種真正的平安
[00:02:19.200 --> 00:02:20.700]  我開始明白到
[00:02:20.700 --> 00:02:27.800]  原來真心去愛人會得到一份心裡面真正的平安
[00:02:27.800 --> 00:02:31.500]  遺囑不是將錢交給我
[00:02:31.500 --> 00:02:35.900]  而是將這份心裡真正的平安交給我
[00:02:35.900 --> 00:02:40.600]  這位老牧師看似一無所有
[00:02:40.600 --> 00:02:43.500]  但是卻是什麼都有
[00:02:43.500 --> 00:02:44.800]  同樣
[00:02:44.800 --> 00:02:48.500]  約書亞記第二十一章所講的利未人
[00:02:48.500 --> 00:02:52.000]  在聖經裡面說利未人是十二支派裡面唯一的
[00:02:52.000 --> 00:02:54.000]  一點產業都沒有
[00:02:54.000 --> 00:02:56.800]  但是利未人看似沒有
[00:02:56.800 --> 00:02:59.000]  卻是什麼都有
[00:02:59.000 --> 00:03:02.900]  那利未人和今天你和我有什麼關係呢?
[00:03:02.900 --> 00:03:05.900]  好像剛才所講的有些學者就說
[00:03:05.900 --> 00:03:07.800]  利未人就是傳道人
[00:03:07.800 --> 00:03:09.300]  就是教牧同工
[00:03:09.300 --> 00:03:10.700]  是不是這麼簡單呢?
[00:03:10.700 --> 00:03:14.100]  大家可以一起看看彼得前書二章九節
[00:03:14.100 --> 00:03:15.900]  我們一起讀一二三
[00:03:15.900 --> 00:03:18.800]  唯有你們是被揀選的族類
[00:03:18.800 --> 00:03:20.900]  是有君尊的祭司
[00:03:20.900 --> 00:03:22.600]  是聖潔的國度
[00:03:22.600 --> 00:03:24.600]  是屬神的子民
[00:03:24.600 --> 00:03:28.400]  要叫你們宣揚那照你們出黑暗
[00:03:28.400 --> 00:03:32.000]  入其妙光明者的彼得
[00:03:32.000 --> 00:03:35.400]  等於說原來神本來的計劃
[00:03:35.400 --> 00:03:39.200]  祂的心意是將全部的以色列
[00:03:39.200 --> 00:03:41.300]  不是很少數人做的事
[00:03:41.300 --> 00:03:44.300]  是全部祂揀選的以色列民族
[00:03:44.300 --> 00:03:46.100]  所有的人都是祭司
[00:03:46.100 --> 00:03:48.200]  在全人類的面前
[00:03:48.200 --> 00:03:49.900]  做一個美好的見證
[00:03:49.900 --> 00:03:52.800]  以致全人類都可以歸向神
[00:03:52.800 --> 00:03:53.900]  弟兄姊妹
[00:03:53.900 --> 00:03:55.200]  今天
[00:03:55.200 --> 00:03:57.000]  信耶穌的弟兄姊妹
