
[00:00:00.000 --> 00:00:02.380]  各位聽衆朋友 主佑平安
[00:00:02.380 --> 00:00:03.720]  今天我們的講題是
[00:00:03.720 --> 00:00:06.260]  當耶穌遇上孤狼
[00:00:06.260 --> 00:00:09.380]  這個問題來自很多人都可能很熟悉的一段
[00:00:09.380 --> 00:00:12.880]  《路加福音》第十九章第一到第十節
[00:00:12.880 --> 00:00:18.320]  很多人認爲世界上普遍存着四種動物特徵的人
[00:00:18.320 --> 00:00:21.040]  不同動物就代表不同人的性格
[00:00:21.040 --> 00:00:23.200]  其中一類就是孤狼
[00:00:23.200 --> 00:00:24.320]  孤狼類型的人
[00:00:24.320 --> 00:00:27.760]  顧名思義就好像荒野裏面一匹狼
[00:00:27.760 --> 00:00:33.640]  孤狼給人的一種感覺就是獨立、自主、冷靜、機智
[00:00:33.640 --> 00:00:36.800]  以事論事的感受
[00:00:36.800 --> 00:00:38.560]  根據維基百科
[00:00:38.560 --> 00:00:42.640]  在文學作品裏面被定性爲孤狼類型的角色
[00:00:42.640 --> 00:00:45.200]  通常都是孤僻、不合羣
[00:00:45.200 --> 00:00:49.240]  通常不願意直接和其他角色溝通和對話
[00:00:49.240 --> 00:00:51.600]  孤狼人的性格是認真
[00:00:51.600 --> 00:00:53.600]  但是又是黑暗的
[00:00:53.600 --> 00:00:56.120]  而且沉默寡言
[00:00:56.120 --> 00:00:58.880]  無論是被逼也好或者是自願也好
[00:00:58.880 --> 00:01:02.520]  孤狼和其他人通常都是區分出來的
[00:01:02.520 --> 00:01:03.960]  今天這個故事裏面
[00:01:03.960 --> 00:01:05.960]  這個主角撒蓋
[00:01:05.960 --> 00:01:09.560]  可以說得上是聖經裏面一匹孤狼
[00:01:09.560 --> 00:01:14.160]  當耶穌遇上孤狼的時候會怎樣呢?
[00:01:14.160 --> 00:01:16.200]  這一段經文的前文
[00:01:16.200 --> 00:01:19.240]  就是提到一個年輕的財主
[00:01:19.240 --> 00:01:21.400]  當他來到耶穌的面前
[00:01:21.400 --> 00:01:24.600]  講到怎樣可以承受永生的時候
[00:01:24.600 --> 00:01:25.800]  最後他怎樣呢?
[00:01:25.800 --> 00:01:28.160]  最後他不願意放棄前財
[00:01:28.160 --> 00:01:30.040]  就黯然離開
[00:01:30.040 --> 00:01:32.840]  但是這個故事裏面的撒蓋就是懸疑
[00:01:32.840 --> 00:01:35.400]  前文也提到駱駝穿針的眼
[00:01:35.400 --> 00:01:38.840]  比財主進入神的國更容易
[00:01:38.840 --> 00:01:40.720]  但是
[00:01:40.720 --> 00:01:44.800]  救恩進入這位財主撒蓋的一家
[00:01:44.800 --> 00:01:49.120]  是很清楚的事實
[00:01:49.120 --> 00:01:52.920]  竟然財主都能夠進入神的國
[00:01:52.920 --> 00:01:53.840]  是可以的
[00:01:53.840 --> 00:01:55.320]  不是不可能的
[00:01:55.320 --> 00:01:57.800]  前文也提到一個無人理會的社會上
[00:01:57.800 --> 00:01:59.160]  被遺棄的盒子
[00:01:59.160 --> 00:02:00.560]  他竟然得到醫治
[00:02:00.560 --> 00:02:02.400]  最後甚至跟從着
[00:02:02.400 --> 00:02:05.960]  今天的故事裏面的這個孤狼撒蓋
[00:02:05.960 --> 00:02:09.640]  最後都成爲一個真正的阿伯拉罕的子孫
[00:02:09.640 --> 00:02:13.560]  撒蓋的信心就好像那個盒子巴底馬一樣
[00:02:13.560 --> 00:02:15.440]  他不是隻有一個「港」字
