
[00:00:00.000 --> 00:00:03.140]  今天我們會再一次來看大衛
[00:00:03.140 --> 00:00:06.160]  如果我們記得上一次我跟大家說的就是
[00:00:06.160 --> 00:00:06.980]  「竊而不捨」
[00:00:06.980 --> 00:00:09.000]  大衛很好
[00:00:09.000 --> 00:00:11.540]  他很想為神來建造聖殿
[00:00:11.540 --> 00:00:12.900]  但是神說不行
[00:00:12.900 --> 00:00:17.020]  因為你的手是滿了流人血的手
[00:00:17.020 --> 00:00:18.420]  因為你曾經是戰士
[00:00:18.420 --> 00:00:19.580]  你殺過不少的人
[00:00:19.580 --> 00:00:22.700]  所以你不可以來大衛去承擔這個工作
[00:00:22.700 --> 00:00:26.180]  這個工作就容讓你的兒子來大衛去承擔
[00:00:26.180 --> 00:00:28.820]  大衛非常好
[00:00:28.940 --> 00:00:31.500]  他雖然沒辦法來大衛去建造聖殿
[00:00:31.500 --> 00:00:34.260]  但是他不會因為這個緣故而放棄
[00:00:34.260 --> 00:00:36.180]  他有一種竊而不捨的精神
[00:00:36.180 --> 00:00:39.580]  他為所羅門做了很多前期的工作
[00:00:39.580 --> 00:00:42.980]  他為所羅門預備了很多材料
[00:00:42.980 --> 00:00:46.300]  他鼓勵他的神僕如何去輔助所羅門
[00:00:46.300 --> 00:00:48.780]  也好好的勸導所羅門
[00:00:48.780 --> 00:00:55.260]  大衛絕對分享不了聖殿被建造時那種榮耀
[00:00:55.260 --> 00:00:57.620]  他沾不上什麼光彩
[00:00:58.140 --> 00:01:00.140]  他死的時候聖殿還沒動工
[00:01:00.140 --> 00:01:02.940]  但是他卻願意為神擺上
[00:01:02.940 --> 00:01:04.660]  正正因為這份認愛
[00:01:04.660 --> 00:01:06.860]  所以神特別賜福給他
[00:01:06.860 --> 00:01:09.140]  神說我要建立你的家
[00:01:09.140 --> 00:01:11.620]  特別是你的後裔會怎麼樣呢?
[00:01:11.620 --> 00:01:13.900]  永遠坐在寶座上為王
[00:01:13.900 --> 00:01:18.020]  大家知道原來大衛的後裔是指誰?
[00:01:18.020 --> 00:01:19.340]  就是指耶穌基督
[00:01:19.340 --> 00:01:21.460]  耶穌基督就是大衛的後裔
[00:01:21.460 --> 00:01:24.940]  所以我們看到原來當我們願意為神擺上的時候
[00:01:25.340 --> 00:01:28.380]  我們所付出的、被我們接受的
[00:01:28.380 --> 00:01:30.820]  其實有一個很大的距離
[00:01:30.820 --> 00:01:33.140]  神比我們會更加的多
[00:01:33.140 --> 00:01:35.260]  我們願意為神擺上
[00:01:35.260 --> 00:01:36.420]  神會更祝福我們
[00:01:36.420 --> 00:01:38.220]  好了,今天我們會看什麼呢?
[00:01:38.220 --> 00:01:39.140]  恩怨分明
[00:01:39.140 --> 00:01:42.540]  我們會看大衛他的施政是怎麼樣
[00:01:42.540 --> 00:01:45.580]  他對內對外有什麼表現
[00:01:45.580 --> 00:01:48.740]  是值得我們去羨慕和反思的
[00:01:48.740 --> 00:01:51.340]  我們就看看究竟在當中有什麼教導
[00:01:51.340 --> 00:01:54.580]  第一,我們看到大衛當他一開始作王的時候
[00:01:54.820 --> 00:01:57.020]  他就要穩固自己的國勢
[00:01:57.020 --> 00:01:59.580]  他就四處去征討
[00:01:59.580 --> 00:02:00.900]  降服四境
[00:02:00.900 --> 00:02:03.060]  《撒姆爾記下》第八章
[00:02:03.060 --> 00:02:05.220]  我想很少人會去看這些經文的了
[00:02:05.220 --> 00:02:08.940]  就是說大衛來征討周遭的人
[00:02:08.940 --> 00:02:11.460]  他向外來抗戰
[00:02:11.460 --> 00:02:14.820]  他來打敗了哪幾個國家呢?
[00:02:14.820 --> 00:02:20.100]  菲律賓、摩訶、索巴、阿蘭、阿滿、異東、阿瑪力
[00:02:20.100 --> 00:02:21.380]  七個國家
[00:02:22.100 --> 00:02:25.500]  打這些國家,我自己個人來說是有一點點的稀奇
[00:02:25.500 --> 00:02:27.020]  但是我到現在也找不到答案
[00:02:27.020 --> 00:02:28.060]  為什麼呢?
[00:02:28.060 --> 00:02:30.180]  他去打摩訶
[00:02:30.180 --> 00:02:32.180]  為什麼他要打摩訶呢?
[00:02:32.180 --> 00:02:33.500]  聖經沒有交代過
[00:02:33.500 --> 00:02:35.060]  但是為什麼會有稀奇呢?
[00:02:35.060 --> 00:02:36.300]  如果你一直記得的時候
[00:02:36.300 --> 00:02:38.940]  大衛在逃難期間
[00:02:38.940 --> 00:02:41.460]  他曾經將自己的父母
[00:02:41.460 --> 00:02:43.420]  交給摩訶王
[00:02:43.420 --> 00:02:45.060]  來照顧
[00:02:45.060 --> 00:02:48.300]  而摩訶也有做到這件事情
[00:02:48.740 --> 00:02:52.220]  在《十六議記》上二十二章第三到第四節
[00:02:52.220 --> 00:02:56.060]  這些經文記載了當日大衛逃難的時候
[00:02:56.060 --> 00:02:59.140]  他如何將自己的父母交託給摩訶
[00:02:59.140 --> 00:03:03.220]  但是為什麼今天他竟然要打回摩訶呢?
[00:03:03.220 --> 00:03:04.780]  不要忘記
[00:03:04.780 --> 00:03:07.620]  大衛自己有摩訶人的血統
[00:03:07.620 --> 00:03:11.580]  因為聖經裡面有一本書叫《路德記》
[00:03:11.580 --> 00:03:13.540]  路德是摩訶人
[00:03:13.540 --> 00:03:15.460]  後來他嫁給波亞斯
[00:03:15.460 --> 00:03:17.180]  就是嫁給一個猶太人
[00:03:17.380 --> 00:03:19.140]  他就是大衛的祖先
[00:03:19.140 --> 00:03:22.660]  所以大衛有留著摩訶的血統
[00:03:22.660 --> 00:03:25.340]  聖經因為不是一本政治的書
[00:03:25.340 --> 00:03:28.620]  所以沒有詳細交代為什麼大衛打摩訶
[00:03:28.620 --> 00:03:30.380]  正如稍後我們會看到
[00:03:30.380 --> 00:03:35.300]  聖經也沒有交代阿們曾經如何厚待過大衛
[00:03:35.300 --> 00:03:36.820]  但是無論如何
[00:03:36.820 --> 00:03:39.420]  他打這麼多戰爭的時候
[00:03:39.420 --> 00:03:40.980]  他都贏了
[00:03:40.980 --> 00:03:43.700]  聖經裡面有一個很重要的結論
[00:03:43.700 --> 00:03:46.420]  我們一起了讀《十六議記》第八章第六節
[00:03:46.620 --> 00:03:48.780]  其實它跟第十四節是一模一樣的
[00:03:48.780 --> 00:03:49.980]  我們一起來讀出
