
[00:00:00.000 --> 00:00:07.200]  一天,一隻阿拉伯鳥在荒野中游來游去,晚上到了,天氣變得更冷。
[00:00:07.200 --> 00:00:12.000]  阿拉伯鳥把他的帳篷放在帳篷上,然後睡覺了。
[00:00:12.000 --> 00:00:19.400]  天氣變得稍微冷一點,阿拉伯鳥問阿拉伯鳥,他能不能把他的鼻子放在帳篷裏溫暖一下?
[00:00:19.400 --> 00:00:29.400]  阿拉伯鳥答應了,但是隻有他的鼻子,因爲帳篷太小了,還有兩個人的房間,所以鳥的鼻子變得溫暖了。
[00:00:29.400 --> 00:00:33.200]  過了一段時間,天氣變得更冷了。
[00:00:33.200 --> 00:00:41.000]  阿拉伯鳥再次問阿拉伯鳥,他能不能把他的四腳放在帳篷裏,因爲天氣變得很冷。
[00:00:41.000 --> 00:00:46.400]  阿拉伯鳥拒絕答應,只能把四腳放在帳篷裏,沒有其他的。
[00:00:46.400 --> 00:00:50.800]  所以阿拉伯鳥把四腳放在帳篷裏,變得溫暖了。
[00:00:50.800 --> 00:01:01.600]  過了一段時間,阿拉伯鳥告訴阿拉伯鳥,他必須把四腳放在帳篷裏,否則他不能在明天旅行,因爲他的四腳會變冷。
[00:01:01.600 --> 00:01:10.800]  阿拉伯鳥答應了,但是隻要阿拉伯鳥把四腳放在帳篷裏,阿拉伯鳥沒有房間在帳篷裏了,所以阿拉伯鳥被踢出了。
[00:01:20.800 --> 00:01:29.600]  主人被踢出帳篷之外,如果從主人的角度去看,問題在哪裏呢?
[00:01:29.600 --> 00:01:38.200]  當你沒有底線的時候,結果就是會導致你失去了生活的準則。
[00:01:38.200 --> 00:01:47.800]  當你被踢在黑暗當中的時候,在黑暗裏面,人的罪性就會走出來,什麼事情都可以發生。
[00:01:47.800 --> 00:01:57.400]  在過去的幾個星期裏,我和大家看了《史詩記》,今天是最後一講,講了三章的情景,裏面再也沒有提到任何的史詩。
[00:01:57.400 --> 00:02:10.600]  不過再講一個,人在黑暗當中,人在罪惡裏面,一件令我們覺得很震驚,很難以置信的事情發生。
[00:02:10.600 --> 00:02:20.800]  如果我們看十九章第一節,他一開始說什麼呢?他說當以色列人沒有皇帝的時候。
[00:02:20.800 --> 00:02:28.200]  然後到最後一章,二十一章,最後一節,他說什麼呢?當以色列人沒有皇帝的時候。
[00:02:28.200 --> 00:02:33.800]  不過再加一句,那句是什麼呢?人就任意妄爲。
[00:02:33.800 --> 00:02:44.600]  其實是說什麼意思呢?很簡單,他說當人沒有了一個道德的規範,沒有皇帝的意思是什麼呢?就是沒有法律。
[00:02:44.600 --> 00:02:55.600]  沒有法律的時候,沒有大家共同覺得需要遵守的一些規矩,於是各人按自己的心意,覺得自己認爲對的就可以走。
[00:02:55.600 --> 00:03:06.400]  你覺得這樣好,我覺得這樣對,各人做自己的事,於是帶來的結果是什麼呢?導致人類的道德敗壞。
[00:03:06.400 --> 00:03:21.800]  我們看到當約瑟雅離開世界之後,其實很短的時間之內,以色列整個民族的道德情況是嚴重下滑,不斷地扭壞,拜偶像,離開上帝。
[00:03:21.800 --> 00:03:38.600]  其實簡單來說,最終的問題是出於哪裏呢?當人開始生活得比較滿足的時候,人就慢慢,不知道爲什麼,開始疏離上帝,遠離上帝,甚至和上帝分手,break up with god。
[00:03:38.600 --> 00:03:49.000]  當你和上帝分手的時候,你就沒有所有的標準了,因爲上帝都不在你心中,於是你可以做你任何喜歡自己做的事情。
[00:03:49.000 --> 00:04:14.400]  結果是什麼呢?就導致人所做的事情是很可怕的。當心裏面沒有上帝的時候,雖然這兩節聖經,十九章第一節,二十一章最後一節,都說到當時以色列人沒有上帝,沒有規矩,沒有標準,個人按心意而行,其實問題不是他們沒有皇帝,而是沒有上帝。
[00:04:14.400 --> 00:04:25.000]  不是他們心中沒有皇帝,而是他們心中沒有了上帝,沒有了道德的那種知覺,失去了那種道德感,於是很多令人髮指的行爲就做出來了。
[00:04:25.000 --> 00:04:50.000]  十九章開始,就是由一個不道德的婦人開始,一個利美人,住在葉法連山地,娶了一個妾侍,這個也不是她的證實,但是聖經說這個妾侍因爲行淫的緣故,犯奸淫的緣故,不是老公不要她,她自己走了,就回到她自己的家,去老爸那裏,在伯利行。
[00:04:50.000 --> 00:05:06.000]  那幾個月之後,可能這個做丈夫的覺得算了,叫回來了,於是帶着一個僕人,兩隻鹿從葉法連去到伯利行,請回這個妾侍回家。
[00:05:06.000 --> 00:05:09.000]  詳細的內容你可以看。
[00:05:09.000 --> 00:05:15.000]  在那個回程當中,要在那個地方過夜,去到一個地方叫基比亞。
[00:05:15.000 --> 00:05:21.000]  基比亞原來是變雅門人的地方,裏面所有都是變雅門人。
[00:05:21.000 --> 00:05:27.000]  晚上去到的時候沒有人接待他,後來很感謝上帝,可能他心裏沒有這麼想。
