
[00:00:00.000 --> 00:00:02.000]  在我們講到之前我們還有一個祈禱
[00:00:02.000 --> 00:00:04.000]  我們低頭禱告
[00:00:30.000 --> 00:00:32.000]  願祢親自繼續保守
[00:00:32.000 --> 00:00:36.000]  特別今天我們新受洗的一班弟兄姊妹
[00:00:36.000 --> 00:00:38.000]  這七位的肢體
[00:00:38.000 --> 00:00:40.000]  求祢繼續引導他們的人生
[00:00:40.000 --> 00:00:42.000]  正如他們做的見證一樣
[00:00:42.000 --> 00:00:44.000]  叫他們一生跟隨主
[00:00:44.000 --> 00:00:46.000]  為神來成長
[00:00:46.000 --> 00:00:48.000]  以致他們有一天都能夠去侍奉
[00:00:48.000 --> 00:00:50.000]  服侍祢
[00:00:50.000 --> 00:00:52.000]  帶領其他的家人朋友認識主
[00:00:52.000 --> 00:00:54.000]  主這個都是我們每一個弟兄姊妹
[00:00:54.000 --> 00:00:56.000]  我們人生的指望和目標
[00:00:56.000 --> 00:00:58.000]  願主祢親自的祝福
[00:00:58.000 --> 00:01:00.000]  繼續的施恩
[00:01:00.000 --> 00:01:02.000]  願我們所擺上的一切
[00:01:02.000 --> 00:01:04.000]  蒙祢的月亮
[00:01:04.000 --> 00:01:06.000]  聽我們祈禱
[00:01:06.000 --> 00:01:08.000]  奉耶穌的名
[00:01:08.000 --> 00:01:10.000]  我們今天和大家分享的是
[00:01:10.000 --> 00:01:12.000]  靠聖靈生活
[00:01:12.000 --> 00:01:16.000]  今年我們教會主題
[00:01:16.000 --> 00:01:18.000]  我已經講了很多
[00:01:18.000 --> 00:01:20.000]  從試堂轉到不同的書卷
[00:01:20.000 --> 00:01:22.000]  不同的福音書
[00:01:22.000 --> 00:01:24.000]  提到關乎聖靈的工作
[00:01:26.000 --> 00:01:28.000]  快到年底了
[00:01:28.000 --> 00:01:30.000]  特別是這個感恩節的主日
[00:01:30.000 --> 00:01:32.000]  今天我們再一次回應這個主題
[00:01:32.000 --> 00:01:34.000]  作為一個總結
[00:01:34.000 --> 00:01:36.000]  我們靠聖靈來生活
[00:01:36.000 --> 00:01:38.000]  感謝天父賜給我們聖靈
[00:01:38.000 --> 00:01:44.000]  因為不單止神設立了救恩
[00:01:44.000 --> 00:01:48.000]  基督在十字架上完成了救恩
[00:01:48.000 --> 00:01:50.000]  祂也差遣聖靈
[00:01:50.000 --> 00:01:54.000]  將救恩的果效
[00:01:54.000 --> 00:01:56.000]  讓我們每一個信耶穌的人
[00:01:56.000 --> 00:01:58.000]  能夠活現出來
[00:01:58.000 --> 00:02:00.000]  所以這就是神給我們
[00:02:00.000 --> 00:02:02.000]  一個很寶貴的
[00:02:02.000 --> 00:02:06.000]  祂自己住在我們心中的禮物
[00:02:06.000 --> 00:02:08.000]  我們接受耶穌進入我們生命當中
[00:02:08.000 --> 00:02:10.000]  就是聖靈住在我們心中
[00:02:10.000 --> 00:02:12.000]  成為我們的力量
[00:02:12.000 --> 00:02:14.000]  成為我們的幫助
[00:02:14.000 --> 00:02:18.000]  我們在未信主之前
[00:02:18.000 --> 00:02:20.000]  聖靈就感動我們
[00:02:20.000 --> 00:02:22.000]  認識自己的罪
[00:02:22.000 --> 00:02:24.000]  認識耶穌是誰
[00:02:24.000 --> 00:02:26.000]  然後當我們信主的時候
[00:02:26.000 --> 00:02:28.000]  聖靈就幫助我們
[00:02:28.000 --> 00:02:30.000]  來進入真理
[00:02:30.000 --> 00:02:34.000]  和耶穌能夠連上關係
[00:02:34.000 --> 00:02:36.000]  當我們有一個新生命的時候
[00:02:36.000 --> 00:02:38.000]  聖靈幫助我們
[00:02:38.000 --> 00:02:40.000]  結出聖靈應該結的果子
[00:02:40.000 --> 00:02:42.000]  在我們生命當中
[00:02:42.000 --> 00:02:44.000]  就是這個新生命
[00:02:44.000 --> 00:02:46.000]  好像越來越像主耶穌基督
[00:02:46.000 --> 00:02:48.000]  靠著聖靈
[00:02:48.000 --> 00:02:50.000]  我們能夠除去救人
[00:02:50.000 --> 00:02:52.000]  除去肉體
[00:02:52.000 --> 00:02:54.000]  也都靠著聖靈
[00:02:54.000 --> 00:02:56.000]  我們越來越活出耶穌基督
[00:02:56.000 --> 00:02:58.000]  這就是聖靈幫助我們
[00:02:58.000 --> 00:03:00.000]  成聖的過程
[00:03:00.000 --> 00:03:02.000]  所以從未信主
[00:03:02.000 --> 00:03:04.000]  認識主、從得救
[00:03:04.000 --> 00:03:06.000]  從有得救的確具
[00:03:06.000 --> 00:03:08.000]  到靠聖靈
[00:03:08.000 --> 00:03:10.000]  來過生活
[00:03:10.000 --> 00:03:12.000]  結出聖靈的果子
[00:03:12.000 --> 00:03:14.000]  除去肉體
[00:03:14.000 --> 00:03:16.000]  都是聖靈不斷的工作
[00:03:16.000 --> 00:03:18.000]  再加上聖靈賜下
[00:03:18.000 --> 00:03:20.000]  因賜
[00:03:20.000 --> 00:03:22.000]  所以我們今天能夠侍奉神
[00:03:22.000 --> 00:03:24.000]  那個能力源頭
