
[00:00:00.000 --> 00:00:02.360]  又跟大家看《路德記》
[00:00:02.360 --> 00:00:04.760]  生命樹預備的聖經人
[00:00:04.760 --> 00:00:07.400]  聖經裡面的上帝
[00:00:07.400 --> 00:00:09.160]  和大家一起看《路德記》
[00:00:09.160 --> 00:00:10.080]  第一章
[00:00:10.080 --> 00:00:13.240]  「路德是定義跟隨的,南無阿彌」
[00:00:13.240 --> 00:00:15.920]  留意四個字是「定義跟隨」
[00:00:15.920 --> 00:00:17.480]  「立定心意」
[00:00:17.480 --> 00:00:19.120]  看看他怎樣立定心意
[00:00:19.120 --> 00:00:20.080]  第十五節
[00:00:20.080 --> 00:00:21.560]  南無阿彌說
[00:00:21.560 --> 00:00:23.840]  「路德啊,我的女兒,你看看
[00:00:23.840 --> 00:00:29.360]  你的嫂子已經回她本國和她所拜的神那裡了」
[00:00:30.120 --> 00:00:33.760]  「你不如和你嫂子一樣回去吧」
[00:00:33.760 --> 00:00:35.880]  「不要跟我了,你回去吧」
[00:00:35.880 --> 00:00:37.880]  「好像你嫂子那樣」
[00:00:37.880 --> 00:00:39.800]  好了
[00:00:39.800 --> 00:00:42.440]  這幾句很重要,大家要學習
[00:00:42.440 --> 00:00:44.120]  路德說第一點
[00:00:44.120 --> 00:00:46.960]  「不要催我回去不跟隨你」
[00:00:46.960 --> 00:00:49.600]  這是他的大題目
[00:00:49.600 --> 00:00:50.680]  第一點就是
[00:00:50.680 --> 00:00:54.320]  「不要催我回去不跟隨你」
[00:00:54.320 --> 00:00:56.080]  不要叫我回去
[00:00:56.080 --> 00:00:57.000]  我要跟隨你的
[00:00:57.000 --> 00:00:59.400]  不要叫我不跟隨
[00:00:59.400 --> 00:01:02.720]  下面是解釋他怎樣跟隨
[00:01:02.720 --> 00:01:06.400]  「你往哪裡去,我也往哪裡去」
[00:01:06.400 --> 00:01:10.760]  「你住宿哪裡,我也住宿哪裡」
[00:01:10.760 --> 00:01:12.520]  「你的國就是我的國」
[00:01:12.520 --> 00:01:14.240]  「不是,我是摩訶」
