
[00:00:00.000 --> 00:00:01.880]  接下來這兩個月
[00:00:01.880 --> 00:00:03.560]  我們會跟大家看
[00:00:03.560 --> 00:00:06.520]  「貼撒羅里加前後書」
[00:00:06.520 --> 00:00:09.880]  在保羅所寫的書信裏
[00:00:09.880 --> 00:00:15.360]  「貼撒羅里加」和「卡拉太書」是最早寫的
[00:00:15.360 --> 00:00:19.240]  大約是耶穌釘十字架之後二十年
[00:00:19.240 --> 00:00:22.760]  今天我會跟大家看第一章
[00:00:22.760 --> 00:00:27.400]  「貼撒羅里加」這個教會
[00:00:27.400 --> 00:00:31.000]  是上帝欣賞的教會
[00:00:31.000 --> 00:00:36.960]  他們有很多美好優良的氣質和見證
[00:00:36.960 --> 00:00:38.240]  我要跟大家想
[00:00:38.240 --> 00:00:40.280]  究竟太古城堂
[00:00:40.280 --> 00:00:42.120]  即是你和我
[00:00:42.120 --> 00:00:45.520]  是否上帝欣賞的教會
[00:00:45.520 --> 00:00:47.440]  我們有的氣質
[00:00:47.440 --> 00:00:50.440]  和「貼撒羅里加」教會的氣質
[00:00:50.440 --> 00:00:53.480]  有沒有相似的地方
[00:00:53.480 --> 00:00:56.880]  我們首先看看「貼撒羅里加」教會的背景
[00:00:56.880 --> 00:00:58.560]  如果你看《史徒行傳》
[00:00:58.560 --> 00:01:03.000]  你會看到保羅在第二次宣教旅程
[00:01:03.000 --> 00:01:08.960]  和西拉提摩泰去到馬其頓
[00:01:08.960 --> 00:01:16.840]  《史徒行傳》第十六章描寫這個經過
[00:01:16.840 --> 00:01:19.840]  《史徒行傳》裏有幾段聖經
[00:01:19.840 --> 00:01:24.320]  是很具關鍵性和戲劇性的
[00:01:24.320 --> 00:01:28.400]  第十六章就是其中一段很重要的經文
[00:01:28.400 --> 00:01:34.640]  他們去到美西亞的邊界
[00:01:34.640 --> 00:01:37.760]  《史徒行傳》第七到第九節說
[00:01:37.760 --> 00:01:40.520]  他們想去比推尼那裏
[00:01:40.520 --> 00:01:43.640]  比推尼是在美西亞的東邊
[00:01:43.640 --> 00:01:47.040]  是亞細亞即是亞洲的一個省份
[00:01:47.040 --> 00:01:49.960]  但是耶穌的靈
[00:01:49.960 --> 00:01:52.560]  即是聖靈不准許他們
[00:01:52.560 --> 00:01:55.560]  他們就越過美西亞去到達羅亞
[00:01:55.560 --> 00:01:57.320]  在西邊下一點點
[00:01:57.320 --> 00:02:00.360]  在那裏保羅見到一個異象
[00:02:00.360 --> 00:02:03.840]  有一個馬其頓人站著求他說
[00:02:03.840 --> 00:02:07.280]  「請你過來幫助我們」
[00:02:07.280 --> 00:02:15.880]  於是他們就不再去比推尼
[00:02:15.880 --> 00:02:18.160]  不再去東邊
[00:02:18.160 --> 00:02:23.240]  他們就由美西亞那裏去到達羅亞
[00:02:23.240 --> 00:02:25.240]  接著就去到菲律賓
[00:02:25.240 --> 00:02:29.080]  接著你會看到在《史徒行傳》
[00:02:29.080 --> 00:02:32.360]  在菲律賓傳福音就被人打傷了
[00:02:32.360 --> 00:02:34.360]  就被關在監獄裏面
[00:02:34.360 --> 00:02:37.480]  保羅和西拉在監獄裏面夜晚唱歌
[00:02:37.480 --> 00:02:42.480]  所有的門和鎖鏈全部脫了出來
[00:02:42.480 --> 00:02:44.720]  那個獄卒差不多要自殺
[00:02:44.720 --> 00:02:46.360]  以為那些人都走了
[00:02:46.360 --> 00:02:50.160]  但保羅說「你不要傷害自己,我們都在這裏」
[00:02:50.160 --> 00:02:51.840]  其他的犯人都沒有走
[00:02:51.840 --> 00:02:52.960]  聽他們兩個唱歌
[00:02:52.960 --> 00:02:54.800]  他們唱歌當然唱得很好
[00:02:54.800 --> 00:02:58.320]  於是獄卒就跟他們敷藥
[00:02:58.320 --> 00:03:00.320]  第二天一個官長就來
[00:03:00.320 --> 00:03:02.320]  就發現原來保羅是羅馬人
[00:03:02.320 --> 00:03:03.320]  不應該打他的
[00:03:03.320 --> 00:03:05.560]  就說「真是不好意思」
[00:03:05.560 --> 00:03:07.320]  就勸他們走
[00:03:07.320 --> 00:03:09.320]  他們就滿身傷痕
