
[00:00:00.000 --> 00:00:04.360]  好 頂姐妹 由上年開始
[00:00:04.360 --> 00:00:06.360]  25年1月開始
[00:00:06.360 --> 00:00:11.960]  我用已忽所書和大家分享主的訊息
[00:00:11.960 --> 00:00:16.640]  我想大家都應該留意到
[00:00:16.640 --> 00:00:20.320]  每次我講道都是講已忽所書
[00:00:20.320 --> 00:00:23.600]  來到今天
[00:00:23.600 --> 00:00:30.680]  一共今天走過17次的講道都是講已忽所書
[00:00:30.680 --> 00:00:35.320]  在過去16次
[00:00:35.320 --> 00:00:37.560]  每一次不知道大家有沒有留意
[00:00:37.560 --> 00:00:45.680]  我的主題都是用「在基督裡」作為主題的開始
[00:00:45.680 --> 00:00:53.120]  「在基督裡」這本書帶給我們什麼訊息呢?
[00:00:53.840 --> 00:00:57.360]  保羅帶我們經歷了三個層次
[00:00:57.360 --> 00:01:00.080]  我們可以一起再回顧一下
[00:01:00.080 --> 00:01:02.240]  第一至第三章
[00:01:02.240 --> 00:01:07.400]  保羅讓我們看見我們在基督裡的身份
[00:01:07.400 --> 00:01:14.680]  他明白我們在基督裡是蒙愛、蒙揀選的地位
[00:01:14.680 --> 00:01:22.200]  而第四、第五章是講到我們有一個新的生命
[00:01:22.200 --> 00:01:25.680]  保羅很想我們知道怎樣去脫去舊人
[00:01:25.680 --> 00:01:28.160]  活在光明裡面
[00:01:28.160 --> 00:01:35.680]  而第三個層次就是當我們有了新的生命之後
[00:01:35.680 --> 00:01:38.760]  五章二十一至六章九節
[00:01:38.760 --> 00:01:41.240]  提醒我們在不同的關係裡面
[00:01:41.240 --> 00:01:46.080]  怎樣去讓福音實踐出來
[00:01:46.080 --> 00:01:48.440]  透過夫婦的相處
[00:01:48.440 --> 00:01:50.880]  透過親子的相處
[00:01:50.880 --> 00:01:53.000]  透過主僕的相處
[00:01:53.000 --> 00:01:56.520]  這些很靠近的經驗
[00:01:56.520 --> 00:01:58.000]  這些很靠近的生活
[00:01:58.000 --> 00:02:03.320]  我們一起去體會神的教導
[00:02:03.320 --> 00:02:07.280]  來到今天六章十節至二十四節
[00:02:07.280 --> 00:02:11.720]  保羅加了一個很重要的提醒
[00:02:11.720 --> 00:02:13.080]  他提醒我們
[00:02:13.080 --> 00:02:16.080]  這些美好的生命和關係
[00:02:16.080 --> 00:02:24.760]  並不是在溫室或者不是在無菌的地方去培養出來
[00:02:24.760 --> 00:02:29.360]  而是在戰場裡面活出來
[00:02:29.360 --> 00:02:33.000]  我們很多時以為工作面對的壓力
[00:02:33.000 --> 00:02:34.960]  家庭面對的張力
[00:02:34.960 --> 00:02:40.080]  人際關係這些只是普通的生活問題
[00:02:40.080 --> 00:02:42.360]  但是保羅提醒我們
[00:02:42.360 --> 00:02:46.160]  其實這些是屬靈真賤的核心
[00:02:46.160 --> 00:02:49.920]  所以他用這段經文來總結
[00:02:49.920 --> 00:02:52.280]  「已失所整卷」的書卷
[00:02:52.280 --> 00:02:53.960]  不是要嚇我們
[00:02:53.960 --> 00:02:55.760]  而是很想裝備我們
[00:02:55.760 --> 00:03:01.040]  教我們怎樣在真實的世界裡面
[00:03:01.040 --> 00:03:03.240]  靠主站立得穩
[00:03:03.240 --> 00:03:05.360]  所以今天我給他的講題是
[00:03:05.360 --> 00:03:09.000]  在基督裡我們要做一個剛強的人
[00:03:09.000 --> 00:03:12.280]  求主去幫助我們一起先祈禱
[00:03:13.360 --> 00:03:19.360]  主我求祢在裡面去幫助我們
[00:03:19.360 --> 00:03:21.360]  我們多謝祢
[00:03:21.360 --> 00:03:27.360]  多謝祢在創世以前已經揀選了我們
[00:03:27.360 --> 00:03:34.360]  祢讓我們去體會這一份被愛
[00:03:34.360 --> 00:03:36.360]  我們多謝祢
[00:03:36.360 --> 00:03:41.360]  我們都是一群很多問題的人
[00:03:41.360 --> 00:03:44.360]  但是天父祢愛我們
[00:03:44.360 --> 00:03:49.360]  祢賜下了獨生的兒子耶穌基督
[00:03:49.360 --> 00:03:52.360]  為我們的罪寫在十字架上
[00:03:52.360 --> 00:03:57.360]  以致我們能夠有一個新的生命
[00:03:57.360 --> 00:04:04.360]  以致我們能夠去經驗在裡面的新生活
[00:04:04.360 --> 00:04:07.360]  主我求祢今天去幫助
[00:04:07.360 --> 00:04:13.360]  來到醫院書卷的最後一個段落的時候
[00:04:13.360 --> 00:04:18.360]  主我求祢幫助我們無論聽的人講的人
[00:04:18.360 --> 00:04:20.360]  我們一起去學習
[00:04:20.360 --> 00:04:25.360]  我們怎樣去經驗做一個被祢剛強的人
[00:04:25.360 --> 00:04:28.360]  主求祢在裡面去看顧人靈
[00:04:28.360 --> 00:04:29.360]  我們多謝祢
[00:04:29.360 --> 00:04:30.360]  我們將會禱告交託
[00:04:30.360 --> 00:04:31.360]  奉主明求
[00:04:31.360 --> 00:04:32.360]  阿門
[00:04:37.360 --> 00:04:47.360]  我今天採取的版本是和合本修訂版
[00:04:47.360 --> 00:04:50.360]  我都想和大家先讀一下這幾節經文
[00:04:50.360 --> 00:04:51.360]  我們一起讀
[00:04:51.360 --> 00:04:52.360]  一二三
[00:04:52.360 --> 00:04:55.360]  最後你們要靠著主
[00:04:55.360 --> 00:04:57.360]  依賴他的大能大力
[00:04:57.360 --> 00:04:59.360]  作剛強的人
