
[00:00:00.000 --> 00:00:05.000]  早安!很高興有這個機會再來為各位分享信息。
[00:00:05.000 --> 00:00:08.000]  上主賜我堅固的責任!
[00:00:08.000 --> 00:00:12.000]  恩佛博愛斯本神菩薩!
[00:00:12.000 --> 00:00:15.000]  講得不標準,請原諒!
[00:00:15.000 --> 00:00:20.000]  馬丁路德他是看到十篇第四十六篇,
[00:00:20.000 --> 00:00:26.000]  他就特別的感動,因為跟他的情況特別很相似,
[00:00:26.000 --> 00:00:32.000]  所以他就寫了這首詩歌,上主賜我堅固的保障。
[00:00:32.000 --> 00:00:38.000]  就好像第一節他說的,神是我們的避難所,是我們的力量,
[00:00:38.000 --> 00:00:41.000]  是我們在患難中隨時的幫助。
[00:00:41.000 --> 00:00:47.000]  還有第七節、第七節他說的,萬君之夜和華與我們同在,
[00:00:47.000 --> 00:00:51.000]  雅各的神是我們的避難所。
[00:00:51.000 --> 00:00:57.000]  好的,讓我們來看一下馬丁路德這個人到底是什麼人?
[00:00:57.000 --> 00:01:01.000]  他是1483年到1546年,
[00:01:01.000 --> 00:01:05.000]  他是生在德國一個窮苦旺工的家庭,
[00:01:05.000 --> 00:01:11.000]  但是他的父母雖然窮,特別注重他的教育,
[00:01:11.000 --> 00:01:15.000]  所以讓他接受了非常良好的教育。
[00:01:15.000 --> 00:01:19.000]  這個人也是很有神體在,神給他很多的恩賜,
[00:01:19.000 --> 00:01:23.000]  給他很多的恩典,好像我們在座的弟兄姊妹一樣。
[00:01:23.000 --> 00:01:33.000]  他有非常好的一個歌嗓子,又會彈琴,又有許許多多的才能、才幹、恩賜。
[00:01:33.000 --> 00:01:39.000]  他還會寫詩歌,所以他就寫了許多的詩歌。
[00:01:39.000 --> 00:01:48.000]  當時他被稱作是威登堡的夜衣,他一生寫了31首詩歌。
[00:01:48.000 --> 00:01:52.000]  其中有一首是他寫給他的兒子John,
[00:01:52.000 --> 00:01:57.000]  這首我們也很熟悉了,就是「Away in the Manger」,
[00:01:57.000 --> 00:02:03.000]  馬超歌「Away in the Manger」他寫的詞。
[00:02:03.000 --> 00:02:09.000]  所以他在1505年他大學畢業後,他是學法律,
[00:02:09.000 --> 00:02:13.000]  但是他又去修道院去讀了三年神學,
[00:02:13.000 --> 00:02:19.000]  然後他出來的時候就在大學裡面教哲學還有教神學。
[00:02:19.000 --> 00:02:25.000]  在1517年,當時他看到天主教還有教廷非常的不敗,
[00:02:25.000 --> 00:02:32.000]  結果他就寫了95條教廷的罪狀,要求教廷要改變。
[00:02:32.000 --> 00:02:36.000]  當然那個時候教廷是非常的不敗,
[00:02:36.000 --> 00:02:43.000]  那個時候教皇很多很多的錢但是沒有什麼好賺,
[00:02:43.000 --> 00:02:48.000]  教皇看重有錢人,很輕視沒有錢的人,
[00:02:48.000 --> 00:02:54.000]  甚至於教廷他賣贖罪券,你犯了罪,
[00:02:54.000 --> 00:03:00.000]  大罪大錢,小罪小錢,就交錢,我們就為你贖罪等等。
[00:03:00.000 --> 00:03:03.000]  所以許許多多不合宜的,
[00:03:03.000 --> 00:03:09.000]  而且變到後來的教導是用公德來德治,
[00:03:09.000 --> 00:03:11.000]  不是用公信來稱義。
[00:03:11.000 --> 00:03:17.000]  所以馬丁路德就寫了95條,指出教廷的缺失,
[00:03:17.000 --> 00:03:24.000]  被教皇把他趕出天主教,而且下令要追殺他。
[00:03:24.000 --> 00:03:29.000]  馬丁路德就逃亡到德國去,德皇就保護他,
[00:03:29.000 --> 00:03:38.000]  在德皇的提議之下,他就翻譯出一本德文的白話通俗的聖經。
[00:03:38.000 --> 00:03:45.000]  以前的聖經是希臘文、希伯來文、拉丁文寫的,
[00:03:45.000 --> 00:03:49.000]  一般的老百姓根本看不懂,都不讀聖經,
[00:03:49.000 --> 00:03:56.000]  都是要透過神父還有神之人員用很精深的語言,
[00:03:56.000 --> 00:04:01.000]  希臘文、拉丁文來給你讀、給你解釋等等。
[00:04:01.000 --> 00:04:05.000]  但是馬丁路德把翻譯成白話通俗的德文,
[00:04:05.000 --> 00:04:10.000]  許多人就開始讀聖經了。
[00:04:10.000 --> 00:04:14.000]  馬丁路德這個人他一生坎坷,
[00:04:14.000 --> 00:04:19.000]  他有兩個女兒相繼夭折,沒有長大就死了,
[00:04:19.000 --> 00:04:25.000]  他心裡面的壓力很大,再加上教皇追殺他,
[00:04:25.000 --> 00:04:32.000]  所以心裡面很大的苦悶,他情緒也非常的低落。
[00:04:32.000 --> 00:04:36.000]  他的妻子看見了這樣,就有一天,
[00:04:36.000 --> 00:04:42.000]  他的妻子就全身穿得黑色,好像去喪禮一樣。
[00:04:42.000 --> 00:04:45.000]  馬丁路德看了就很震驚,
[00:04:45.000 --> 00:04:50.000]  他妻子說,今天是誰死了,要參加喪禮嗎?
[00:04:50.000 --> 00:04:56.000]  他妻子說,我看你這麼沮喪,低沉低落的樣子,
[00:04:56.000 --> 00:04:59.000]  好像耶穌死了。
[00:04:59.000 --> 00:05:03.000]  馬丁路德才恍然大悟,忽然間驚醒了,
[00:05:03.000 --> 00:05:05.000]  所以他就開始振奮起來,
[00:05:05.000 --> 00:05:09.000]  他就勤寫作,勤讀書,勤傳福音,
[00:05:09.000 --> 00:05:14.000]  還有寫了好多好多的詩,包括最有名的一首,
[00:05:14.000 --> 00:05:21.000]  上主所堅固的唱,Enfasper eis unser Guter.
[00:05:21.000 --> 00:05:24.000]  讓我們來聽一下這首歌怎麼唱。
[00:05:24.000 --> 00:05:28.000]  我們一起分開來跟他唱,很棒的音樂,好好聽,加油。
[00:05:44.000 --> 00:05:57.000]  上主使我堅固保障,忠言雄勳勇堅強。
[00:05:57.000 --> 00:06:11.000]  上主使我安穩自防,助我乘風破海難。
[00:06:11.000 --> 00:06:22.000]  恩我判君事傷,仁謀行過灼狼。
[00:06:22.000 --> 00:06:33.000]  猖狂交換一場,堪報恨度難防。
[00:06:33.000 --> 00:06:40.000]  窮相濟,何事無雙。
[00:06:40.000 --> 00:06:42.000]  好,我們就停到這邊。
[00:06:42.000 --> 00:06:49.000]  他說上主使我堅固保衛,永不動搖的保障。
[00:06:49.000 --> 00:06:55.000]  上主使我隨時的幫助,使我脫離危難恐慌。
[00:06:55.000 --> 00:06:59.000]  歷代仇敵撒旦,乃欲西波作狼。
[00:06:59.000 --> 00:07:06.000]  他狡詐又恃衝,殘忍毒辣非常,無比凶惡真難防。
[00:07:06.000 --> 00:07:10.000]  所以我們活在這個世界上,我們走這個層層道路。
[00:07:10.000 --> 00:07:17.000]  神從來沒有允許我們說我們一貫奉承,亨通羅馬部隊。
[00:07:17.000 --> 00:07:23.000]  但是他保證我們,我們行有光亮,作功得行,
[00:07:23.000 --> 00:07:29.000]  能夠吃,能夠喝,能夠安息,享受在他的愛中。
[00:07:29.000 --> 00:07:34.000]  所以我們要再一次帶著信心,我們要來宣告
[00:07:34.000 --> 00:07:39.000]  上主使我堅固保障,他像是一個堡壘一樣,
[00:07:39.000 --> 00:07:44.000]  他是我的避難所,他是我的高臺,他是我的榮耀。
[00:07:44.000 --> 00:07:49.000]  有的時候人家看耶穌運行一下,說那是苦難,
[00:07:49.000 --> 00:07:53.000]  那是羞辱,那是刑罰,那是死亡。
[00:07:53.000 --> 00:07:59.000]  但是在我們看,那是榮耀,那是極大的享受,
[00:07:59.000 --> 00:08:04.000]  那是得救的保障,那是得救的應許。
[00:08:04.000 --> 00:08:07.000]  所以當我們背起我們的使徒罩的時候,
[00:08:07.000 --> 00:08:11.000]  神就為我們應許,神就帶領我們,
[00:08:11.000 --> 00:08:15.000]  神就為我們成就大事情了。
[00:08:15.000 --> 00:08:22.000]  剛才我們一開始練詩篇第46篇,第1到11篇,
