
[00:00:00.000 --> 00:00:01.000]  我們一場祈禱
[00:00:01.000 --> 00:00:06.000]  父神願祢今日賜下祢的恩典
[00:00:06.000 --> 00:00:09.000]  因為如果不是你賜下祢的愛子
[00:00:09.000 --> 00:00:11.000]  我們沒有救贖
[00:00:11.000 --> 00:00:13.000]  如果不是你賜下祢的聖靈
[00:00:13.000 --> 00:00:16.000]  沒有人能夠重生得救明白真理
[00:00:16.000 --> 00:00:19.000]  如果不是你買贖教會
[00:00:19.000 --> 00:00:21.000]  沒有人能夠聽見福音
[00:00:21.000 --> 00:00:24.000]  我們今日可以呼叫阿爸、父娘
[00:00:24.000 --> 00:00:26.000]  坦然來到私恩寶座前
[00:00:26.000 --> 00:00:30.000]  全因為基督在十字架上
[00:00:30.000 --> 00:00:32.000]  以至於我們不需要在十字架上
[00:00:32.000 --> 00:00:36.000]  願主今日藉祢的話賜福祢的教會
[00:00:36.000 --> 00:00:39.000]  使我們能自動背起十字架
[00:00:39.000 --> 00:00:44.000]  也叫我不是以刑罰、恐嚇
[00:00:44.000 --> 00:00:48.000]  而是以恩典來安慰祢的百姓
[00:00:48.000 --> 00:00:50.000]  願主賜福給我們
[00:00:50.000 --> 00:00:52.000]  以基督的名我祷告
[00:00:57.000 --> 00:01:00.000]  早幾個星期我被邀請去
[00:01:00.000 --> 00:01:03.000]  跟一些教會的年輕人吃飯
[00:01:03.000 --> 00:01:05.000]  我那時候才發覺
[00:01:05.000 --> 00:01:08.000]  原來我們教會有不少年輕的醫生
[00:01:08.000 --> 00:01:09.000]  我跟太太說
[00:01:09.000 --> 00:01:12.000]  我也是第一次跟這麼多醫生一起吃飯
[00:01:12.000 --> 00:01:18.000]  不要誤會我很感恩
[00:01:18.000 --> 00:01:20.000]  教會有一班這麼優秀的年輕人
[00:01:20.000 --> 00:01:22.000]  在當中
[00:01:22.000 --> 00:01:24.000]  成為一個醫生
[00:01:24.000 --> 00:01:27.000]  非常不錯很有意義
[00:01:27.000 --> 00:01:30.000]  可以醫治人肉體的病
[00:01:30.000 --> 00:01:33.000]  有高的收入
[00:01:33.000 --> 00:01:35.000]  不過我相信更加重要的是
[00:01:35.000 --> 00:01:38.000]  這班醫生應該知道他們的人生目的
[00:01:38.000 --> 00:01:41.000]  不只是醫治人體
[00:01:41.000 --> 00:01:44.000]  人身體的軟弱和病痛
[00:01:44.000 --> 00:01:47.000]  和賺取一個好的收入這麼簡單
[00:01:47.000 --> 00:01:49.000]  他們有一個更加榮耀
[00:01:49.000 --> 00:01:52.000]  更加重要的目標
[00:01:53.000 --> 00:01:54.000]  說到這裡
[00:01:54.000 --> 00:01:57.000]  我很想介紹一位醫生給大家認識
