
[00:00:00.000 --> 00:00:02.000]  我想起一個聖經的故事
[00:00:02.000 --> 00:00:04.660]  大家都很熟悉的
[00:00:04.660 --> 00:00:06.340]  有一個癱子
[00:00:06.340 --> 00:00:11.560]  他被四個朋友抬著來找耶穌
[00:00:11.560 --> 00:00:12.880]  印象吧
[00:00:12.880 --> 00:00:15.760]  這四個朋友
[00:00:15.760 --> 00:00:18.480]  應該是叫找這個癱子
[00:00:18.480 --> 00:00:20.160]  去找耶穌醫
[00:00:20.160 --> 00:00:23.280]  但是當時耶穌在一間屋裏面講道
[00:00:23.280 --> 00:00:24.280]  因為好多人
[00:00:24.280 --> 00:00:25.940]  所以進不去
[00:00:25.940 --> 00:00:27.840]  那四個癱子怎樣
[00:00:28.560 --> 00:00:30.560]  爬上屋頂
[00:00:30.560 --> 00:00:31.720]  是四個朋友
[00:00:31.720 --> 00:00:33.180]  是四個癱子
[00:00:33.180 --> 00:00:34.520]  是呀
[00:00:34.520 --> 00:00:36.140]  四個朋友
[00:00:36.140 --> 00:00:37.900]  四個朋友
[00:00:37.900 --> 00:00:40.900]  真是厲害
[00:00:40.900 --> 00:00:41.860]  對了
[00:00:41.860 --> 00:00:42.520]  沒錯
[00:00:42.520 --> 00:00:43.640]  四個朋友
[00:00:43.640 --> 00:00:45.640]  那又怎樣
[00:00:45.640 --> 00:00:46.480]  他
[00:00:46.480 --> 00:00:48.840]  抬著那個癱子
[00:00:48.840 --> 00:00:50.580]  連張床
[00:00:50.580 --> 00:00:52.400]  可能弄四條麻繩
[00:00:52.400 --> 00:00:53.820]  就走上屋頂
[00:00:53.820 --> 00:00:56.140]  就鑿穿了上面的屋頂
[00:00:56.140 --> 00:00:58.720]  然後吊那個癱子下來
[00:00:58.720 --> 00:01:00.380]  就剛剛吊在台前
[00:01:00.380 --> 00:01:01.760]  耶穌就見到了
[00:01:01.760 --> 00:01:03.780]  如果你看聖經
[00:01:03.780 --> 00:01:04.600]  聖經怎樣講
[00:01:04.600 --> 00:01:05.620]  聖經就說
[00:01:05.620 --> 00:01:09.040]  耶穌見到他們的信心
[00:01:09.040 --> 00:01:11.080]  即是那四個朋友的信心
[00:01:11.080 --> 00:01:12.920]  然後就跟那個癱子講
[00:01:12.920 --> 00:01:15.400]  你的罪就赦免了
[00:01:15.400 --> 00:01:17.280]  然後就醫治了他
[00:01:17.280 --> 00:01:18.400]  然後他就起來了
[00:01:18.400 --> 00:01:22.600]  那這個癱子能夠得到醫治
[00:01:22.600 --> 00:01:24.280]  如果我們講信心
[00:01:24.280 --> 00:01:27.120]  是甚麼人的信心
[00:01:27.120 --> 00:01:30.540]  是他的朋友的信心
[00:01:30.540 --> 00:01:33.940]  這個癱子是不是很想來呢
[00:01:33.940 --> 00:01:35.080]  其實我們都不太知道
[00:01:35.080 --> 00:01:36.680]  他癱在這裏
