
[00:00:00.000 --> 00:00:03.400]  2016年,現在是2016年1月2日
[00:00:03.400 --> 00:00:07.800]  通常年頭大家會做幾樣東西
[00:00:07.800 --> 00:00:10.400]  就是許願,新年願望
[00:00:10.400 --> 00:00:14.000]  或者有些人熱血一些就是立志
[00:00:14.000 --> 00:00:16.600]  我不是只是做夢而已,我是會做一些事的
[00:00:16.600 --> 00:00:20.600]  很多願望,有些就是我要結婚,我要生孩子
[00:00:20.600 --> 00:00:23.400]  我要買房子,我要買樓,我要GPA4.0
[00:00:23.400 --> 00:00:25.400]  各方面的東西,很多的東西
[00:00:25.400 --> 00:00:28.000]  或者我要突破不再單身行列
[00:00:28.000 --> 00:00:30.600]  很多很多自己的立志
[00:00:30.600 --> 00:00:34.800]  但是,大家就不停在年頭想立志
[00:00:34.800 --> 00:00:36.800]  但是我們忘記了一件事
[00:00:36.800 --> 00:00:39.000]  我們的神是怎樣的呢?我們的神
[00:00:39.000 --> 00:00:41.800]  我們只是想立志,但忘記了我們的神
[00:00:41.800 --> 00:00:45.000]  我們的神是怎樣的呢?我們的神是希望我們將祂放在首位
[00:00:45.000 --> 00:00:48.600]  所有東西之先,應該放在神之先
[00:00:48.600 --> 00:00:51.800]  所有,就算你進入一個新的年份
[00:00:51.800 --> 00:00:56.200]  或者你的立志之先,你應該想到你的神
[00:00:56.200 --> 00:01:00.000]  神是在一切之先,希望我們將祂放在第一位
[00:01:00.000 --> 00:01:01.600]  不論任何的事情
[00:01:01.600 --> 00:01:04.200]  那麼,在這裡就有個困難了
[00:01:04.200 --> 00:01:07.000]  什麼叫做將神放在之先呢?
[00:01:07.000 --> 00:01:11.000]  就是我立志之先要放神,那怎麼放呢?
[00:01:11.000 --> 00:01:13.800]  我是不是說什麼都要先說個神字
[00:01:13.800 --> 00:01:15.400]  神,新年快樂
[00:01:15.400 --> 00:01:17.600]  神,恭喜發財,是不是這樣呢?
[00:01:17.600 --> 00:01:19.400]  不是這樣,那就太膚淺了
[00:01:19.400 --> 00:01:21.400]  當然不會那麼膚淺了
[00:01:21.400 --> 00:01:25.000]  我們不知道怎樣將神放在先
[00:01:25.000 --> 00:01:28.800]  在一個新的環境,新的情況下,我們怎樣將神放在先
[00:01:28.800 --> 00:01:33.200]  不需要擔心,神不是隨便丟下你,不理你的
[00:01:33.200 --> 00:01:37.400]  聖經裏面不停教導我們怎樣將神放在首位
[00:01:37.400 --> 00:01:39.800]  放在先,第一位
[00:01:39.800 --> 00:01:42.000]  今天我們會去留意一件事
[00:01:42.000 --> 00:01:45.600]  我們在聖經裏面看看大衛,神積聚大衛這個人
[00:01:45.600 --> 00:01:50.200]  這個人物,怎樣讓我們知道怎樣將神放在首位,放在先
[00:01:50.200 --> 00:01:54.400]  我希望大家在我講志之先都知道誰是大衛
[00:01:54.400 --> 00:01:56.800]  我希望大家知道大衛
[00:01:56.800 --> 00:02:00.400]  大衛是以色列國的一個君王
[00:02:00.400 --> 00:02:03.800]  一個頂峰的時候的一個君王,神是很喜悅的一個人
[00:02:03.800 --> 00:02:06.400]  雖然他都頗壞的
[00:02:06.400 --> 00:02:10.400]  但是他每次做錯都願意回到神面前,真心地悔改
[00:02:10.400 --> 00:02:13.600]  他是一個君王,同一時間
[00:02:13.600 --> 00:02:16.600]  他又很有藝術感
[00:02:16.600 --> 00:02:21.000]  很有心情的人,很喜歡作詩
[00:02:21.000 --> 00:02:22.200]  他是一個詩人
