
[00:00:00.000 --> 00:00:04.000]  好,今天我們回到「獵王」幾下的分享
[00:00:04.000 --> 00:00:05.320]  今天的題目是
[00:00:05.320 --> 00:00:08.800]  「對付漢不見的敵人」
[00:00:08.800 --> 00:00:10.760]  不過先說說敵人吧
[00:00:10.760 --> 00:00:12.480]  一說到敵人
[00:00:12.480 --> 00:00:14.480]  不知道你馬上想起什麼呢?
[00:00:14.480 --> 00:00:16.080]  不知道你馬上會不會
[00:00:16.080 --> 00:00:18.080]  彈了一個人的樣子出來
[00:00:18.080 --> 00:00:20.280]  希望那個不是我吧,是不是?
[00:00:20.280 --> 00:00:23.000]  很多時候我們一說敵人
[00:00:23.000 --> 00:00:26.320]  可能這些畫面就少不免
[00:00:26.320 --> 00:00:29.200]  哇,戰爭裡面是敵人
[00:00:29.200 --> 00:00:31.600]  好,戰爭啦
[00:00:31.600 --> 00:00:32.720]  你一想起戰爭
[00:00:32.720 --> 00:00:34.720]  他們當然是敵對啦,是不是?
[00:00:34.720 --> 00:00:37.400]  不過原來有時戰爭呢
[00:00:37.400 --> 00:00:42.000]  不一定只是坦克車、機關槍、大炮
[00:00:42.000 --> 00:00:45.400]  有些戰爭都是敵人來的
[00:00:45.400 --> 00:00:47.400]  貿易戰,是不是?
[00:00:47.400 --> 00:00:49.400]  我相信貿易戰裡面
[00:00:49.400 --> 00:00:51.200]  真的是互相為敵的
[00:00:51.200 --> 00:00:53.400]  現在我們科技很發達
[00:00:53.400 --> 00:00:56.400]  人工智能是不是很火熱?
[00:00:56.400 --> 00:00:57.920]  哇,很厲害吧?
[00:00:57.920 --> 00:01:01.600]  誰知道在人工智能的範疇裡面
[00:01:01.600 --> 00:01:03.600]  都競爭很大的
[00:01:03.600 --> 00:01:06.600]  最近出了一個新的競爭對手
[00:01:06.600 --> 00:01:08.600]  這個敵人很大,叫什麼名字?
[00:01:08.600 --> 00:01:10.600]  哇,是啦
[00:01:10.600 --> 00:01:14.600]  喂,出GTT當然不高興啦,是不是?
[00:01:14.600 --> 00:01:17.600]  哇,我應該是大佬來的,是不是?
[00:01:17.600 --> 00:01:19.600]  為什麼爆一個新星出來Deep Seek?
[00:01:19.600 --> 00:01:21.400]  那究竟怎樣呢?
[00:01:21.400 --> 00:01:23.400]  很明顯是敵人
[00:01:23.400 --> 00:01:26.600]  我們再看近一點我們生活的層面
[00:01:26.600 --> 00:01:29.200]  原來我們接觸到很多的東西
[00:01:29.200 --> 00:01:33.000]  可能都是敵人、敵我的關係
[00:01:33.000 --> 00:01:37.000]  例如,家裡有沒有人養貓的?
[00:01:37.000 --> 00:01:41.600]  貓應該是和老鼠是敵對的,是不是?
[00:01:41.600 --> 00:01:43.600]  應該是啦,是不是?
[00:01:43.600 --> 00:01:45.600]  現在有些變異的
[00:01:45.600 --> 00:01:47.600]  我不知道為什麼
[00:01:47.600 --> 00:01:51.600]  我想問一下,警察和賊是否應該敵對的呢?
[00:01:51.600 --> 00:01:54.600]  都應該是,都應該是敵對的
[00:01:54.600 --> 00:01:57.600]  好了,又再近一點
[00:01:57.600 --> 00:01:59.600]  如果要減肥
[00:01:59.600 --> 00:02:02.600]  有沒有敵人呢?你猜
