
[00:00:00.000 --> 00:00:02.000]  Hello 大家早晨
[00:00:02.000 --> 00:00:03.320]  早晨
[00:00:03.320 --> 00:00:07.760]  我們今天就講這個《出埃及記》
[00:00:07.760 --> 00:00:08.760]  繼續講
[00:00:08.760 --> 00:00:13.000]  應該是今年我最後一次講到
[00:00:13.000 --> 00:00:17.760]  我們會講《出埃及記》十六章一至到五節
[00:00:17.760 --> 00:00:20.640]  我們一起先讀出經文
[00:00:20.640 --> 00:00:23.560]  好 預備
[00:00:23.560 --> 00:00:24.960]  我們一起讀
[00:00:24.960 --> 00:00:28.320]  以色列傳會眾從爾林起程
[00:00:28.320 --> 00:00:32.080]  在出埃及之後第二個月十五日
[00:00:32.080 --> 00:00:34.920]  到了爾林和西奈中間
[00:00:34.920 --> 00:00:36.560]  遜的曠野
[00:00:36.560 --> 00:00:39.160]  以色列傳會眾在曠野
[00:00:39.160 --> 00:00:41.960]  向摩西和阿倫發怨言
[00:00:41.960 --> 00:00:44.120]  以色列人對他們說
[00:00:44.120 --> 00:00:48.400]  我們寧願在埃及地死在耶和華手中
[00:00:48.400 --> 00:00:52.800]  那時我們坐在玉窩旁吃餅得飽
[00:00:52.800 --> 00:00:55.200]  你們卻將我們領出來
[00:00:55.200 --> 00:01:00.120]  到這曠野要叫這傳會眾都餓死
[00:01:00.120 --> 00:01:02.280]  耶和華對摩西說
[00:01:02.280 --> 00:01:05.960]  漢娜 我要從天降食物給你們
[00:01:05.960 --> 00:01:07.800]  百姓可以出去
[00:01:07.800 --> 00:01:10.560]  每天收集當天的份量
[00:01:10.560 --> 00:01:16.040]  這樣我就可以考驗他們是否遵行我的旨意
[00:01:16.040 --> 00:01:17.880]  到了第六天
[00:01:17.880 --> 00:01:19.560]  他們預備食物
[00:01:19.560 --> 00:01:24.760]  所收集的份量要比每天所收集的多一倍
[00:01:25.800 --> 00:01:28.200]  這是今天讀的經文
[00:01:28.200 --> 00:01:32.400]  我們可能要先了解一下背景
[00:01:32.400 --> 00:01:37.880]  剛才提到他們在哪裡出發
[00:01:37.880 --> 00:01:40.840]  在爾林這個地方
[00:01:40.840 --> 00:01:43.320]  其實你看上一章就知道
[00:01:43.320 --> 00:01:46.520]  爾林是一個很棒的地方
[00:01:46.520 --> 00:01:49.600]  那裡說有十二管水泉
[00:01:49.600 --> 00:01:52.040]  有七十棵的棕樹
[00:01:52.040 --> 00:01:55.960]  可想而知它是一個綠洲
[00:01:55.960 --> 00:01:58.800]  應該是有食物有水喝的
[00:01:58.800 --> 00:02:04.560]  他們應該都很想留念在那個地方
[00:02:04.560 --> 00:02:11.000]  但是神卻將他們帶到信的曠野那裡
[00:02:11.000 --> 00:02:16.320]  這個大概是到出埃及之後一個月的時間
[00:02:16.320 --> 00:02:18.800]  他說2月15日
[00:02:18.800 --> 00:02:22.760]  去到這個地步的時候
[00:02:22.760 --> 00:02:26.600]  可能以色列人都開始去問
[00:02:26.600 --> 00:02:28.360]  究竟我們去哪裡
[00:02:28.360 --> 00:02:31.800]  還有為什麼去到曠野這個地方沒有食物
[00:02:31.800 --> 00:02:33.320]  明明都挺好的
[00:02:33.320 --> 00:02:35.640]  有綠洲又有水喝
[00:02:35.640 --> 00:02:42.280]  他們就和摩西和阿倫發怨言
[00:02:42.280 --> 00:02:46.800]  他說我寧願死在埃及
[00:02:46.800 --> 00:02:49.960]  都不要在這裡餓死
[00:02:49.960 --> 00:02:54.400]  我們看到他講的這段說話
