
[00:00:00.000 --> 00:00:12.000]  在大年初二的日子先祝福大家新年進步 身體健康
[00:00:12.000 --> 00:00:15.000]  相信大家都聽過一句話
[00:00:15.000 --> 00:00:20.000]  未食五月種 寒衣勿入籠
[00:00:20.000 --> 00:00:25.000]  意思是未食五月初五的端午種
[00:00:25.000 --> 00:00:27.000]  冬天衫不要收起來
[00:00:27.000 --> 00:00:32.000]  因為在端午節之前 天氣會時冷時熱
[00:00:32.000 --> 00:00:37.000]  端午節沒多久就夏至 天氣就會熱定
[00:00:37.000 --> 00:00:41.000]  之前不懂 過完年既然入春
[00:00:41.000 --> 00:00:45.000]  我就趕快把冬天衫收起來
[00:00:45.000 --> 00:00:48.000]  大家都知道結果是怎樣
[00:00:48.000 --> 00:00:50.000]  誰知就熱化 凍化
[00:00:50.000 --> 00:00:52.000]  我就要再抽衫出來
[00:00:52.000 --> 00:00:55.000]  當你撞個板之後
[00:00:55.000 --> 00:01:02.000]  你會體會有時長者的智慧真是無家之寶
[00:01:02.000 --> 00:01:06.000]  曾言的作者就是一位智者
[00:01:06.000 --> 00:01:11.000]  他是一章一至七節來告訴讀者
[00:01:11.000 --> 00:01:16.000]  他編輯這本書的目的就是要使人有智慧
[00:01:16.000 --> 00:01:20.000]  使人能夠明白通達的言語
[00:01:20.000 --> 00:01:23.000]  使愚夢人能夠靈巧
[00:01:23.000 --> 00:01:28.000]  也使年輕人有知識 有謀略
[00:01:28.000 --> 00:01:32.000]  到了第七節他更提到要敬畏耶和華
[00:01:32.000 --> 00:01:36.000]  因為這是智慧的開端
[00:01:36.000 --> 00:01:42.000]  這甚至是全卷的「真言」一個藥節的金句
[00:01:42.000 --> 00:01:45.000]  楊牧谷曾經這樣形容「真言」
[00:01:45.000 --> 00:01:52.000]  他說「讓壞人變好 讓好人變得更加好」
[00:01:52.000 --> 00:01:57.000]  「真言」是教導我們做人的一卷書
[00:01:57.000 --> 00:02:03.000]  更加準確的是教導我們如何做一個敬畏耶和華的人
[00:02:03.000 --> 00:02:08.000]  在「真言」的三章一至十二節
[00:02:08.000 --> 00:02:11.000]  在書的編排裏面
[00:02:11.000 --> 00:02:16.000]  其實一至十二節運用了很多正反的交替手法
[00:02:16.000 --> 00:02:19.000]  一方面正用「要」
[00:02:19.000 --> 00:02:24.000]  一方面「勸誡」用「不可」或「不要」
[00:02:24.000 --> 00:02:27.000]  接著有「上帝的祝福」就用「必」
[00:02:27.000 --> 00:02:32.000]  如果大家剛才聽主席幫他讀經的時候都有留意到
[00:02:32.000 --> 00:02:35.000]  他說「不要」 第一節「不要」這是一個反句
[00:02:35.000 --> 00:02:39.000]  接著「要」 接著「必」就是上帝的賜福
[00:02:39.000 --> 00:02:45.000]  在整卷的第三章裏面都是這樣的鋪排
[00:02:45.000 --> 00:02:49.000]  有「你要怎樣」、「你不要怎樣」或「你不可怎樣」
[00:02:49.000 --> 00:02:51.000]  然後「你要怎樣」 接著就有「必」
[00:02:51.000 --> 00:02:55.000]  接著我們看到在整個鋪排裏面有六個「要」
[00:02:55.000 --> 00:02:58.000]  六個「不要」和六個「必」
[00:02:58.000 --> 00:03:02.000]  其實我們看到作者在這裏這麼整齊的排序
[00:03:02.000 --> 00:03:06.000]  將正反兩面擺在讀者的面前
[00:03:06.000 --> 00:03:10.000]  今天我們能不能得到上帝的祝福
[00:03:10.000 --> 00:03:14.000]  就在乎怎樣去選擇
[00:03:14.000 --> 00:03:18.000]  在經文裏面我們會看到
[00:03:18.000 --> 00:03:24.000]  一開始作者就說「我兒,不要忘記我的教誨」
[00:03:24.000 --> 00:03:28.000]  「教誨」在華本是譯作「法則」「Torah」
[00:03:28.000 --> 00:03:33.000]  不只是說到生活一些要注意的事項那麼簡單
[00:03:33.000 --> 00:03:37.000]  是說到等同於耶和華的誡命一樣
[00:03:37.000 --> 00:03:42.000]  那為甚麼我們要去謹守耶和華的命令呢
[00:03:42.000 --> 00:03:45.000]  在第二節他說「帶來長久的日子」
[00:03:45.000 --> 00:03:47.000]  或者「會加你長久的日子」
[00:03:47.000 --> 00:03:51.000]  「能夠給你有生命的連隨和平安」
[00:03:51.000 --> 00:03:54.000]  我們嘗試參考在聖經裏面有關長壽
[00:03:54.000 --> 00:03:56.000]  或者在世長壽的經文
[00:03:56.000 --> 00:03:59.000]  我們可以看到在二福所書有說到
[00:03:59.000 --> 00:04:02.000]  很熟悉的經文「當孝敬父母」
[00:04:02.000 --> 00:04:04.000]  「使你得福在世長壽」
[00:04:04.000 --> 00:04:06.000]  在《春安及記》和《生命記》
[00:04:06.000 --> 00:04:08.000]  分別都是這樣記載
[00:04:08.000 --> 00:04:12.000]  而是說「要賜福你,當你孝敬父母」
[00:04:12.000 --> 00:04:16.000]  「使你在地上的日子得以長久」
[00:04:16.000 --> 00:04:20.000]  原來在聖經裏面無論長久或者長壽
[00:04:20.000 --> 00:04:24.000]  不是指到長命、百歲的意思
[00:04:24.000 --> 00:04:30.000]  是指到神的子民能夠在他應許之地安居樂業
[00:04:30.000 --> 00:04:34.000]  嘗試我們多參考兩個譯本
[00:04:34.000 --> 00:04:36.000]  這兩個譯本就是《辛普奇》的譯本
[00:04:36.000 --> 00:04:41.000]  會將年歲和平安譯為「生活美滿」
[00:04:41.000 --> 00:04:43.000]  在一個英文譯本裏面
[00:04:43.000 --> 00:04:47.000]  它也譯作「Your life will be satisfying」
[00:04:47.000 --> 00:04:49.000]  同樣有這個意思
[00:04:49.000 --> 00:04:53.000]  就是我們看到幾個譯本有一個清楚的意思
[00:04:53.000 --> 00:04:56.000]  就是你的生活當遵守耶和華的吩咐的時候
[00:04:56.000 --> 00:04:59.000]  你的生活將會滿足
[00:04:59.000 --> 00:05:02.000]  那麼到底生活滿足
[00:05:02.000 --> 00:05:05.000]  又或者生活美滿是甚麼意思呢
[00:05:05.000 --> 00:05:07.000]  我在網上看到一篇這樣的分享
[00:05:07.000 --> 00:05:09.000]  我覺得很有意思
[00:05:09.000 --> 00:05:14.000]  它說:「在你的人生當中,你有智慧做好工作」
[00:05:14.000 --> 00:05:16.000]  「你從工作得到滿足感」
[00:05:16.000 --> 00:05:19.000]  「藉著工作你有賺錢的能力」
[00:05:19.000 --> 00:05:23.000]  「處理應付生活所需、沒有缺乏」
[00:05:23.000 --> 00:05:28.000]  「工作之後你有時間參與一些自己喜歡做的事」
[00:05:28.000 --> 00:05:32.000]  「令你感到身心自在」
[00:05:32.000 --> 00:05:35.000]  「一般人以為擁有很多就會滿足」
[00:05:35.000 --> 00:05:37.000]  「其實真正的滿足」
[00:05:37.000 --> 00:05:41.000]  「是你能夠將你所擁有的和人分享」
[00:05:41.000 --> 00:05:43.000]  「懂得付出和施捨的人」
[00:05:43.000 --> 00:05:46.000]  「這就是生活滿足」
[00:05:46.000 --> 00:05:48.000]  在經文裏告訴我們
[00:05:48.000 --> 00:05:51.000]  究竟我們怎樣能夠生活滿足
[00:05:51.000 --> 00:05:54.000]  作者說:「我的孩子,你不要忘記」
[00:05:54.000 --> 00:05:56.000]  「不要忘記我的教訓」
[00:05:56.000 --> 00:05:58.000]  「不要忘記上帝的誡命」
[00:05:58.000 --> 00:06:02.000]  「意思是我們要以神的價值觀和法則」
[00:06:02.000 --> 00:06:05.000]  「為我們生活人生的方向」
[00:06:05.000 --> 00:06:06.000]  「我們要怎樣」
[00:06:06.000 --> 00:06:08.000]  「你將神的誡命」
[00:06:08.000 --> 00:06:11.000]  「不要忘記之餘,藏在心」
[00:06:11.000 --> 00:06:13.000]  「你這樣做,你照著行」
[00:06:13.000 --> 00:06:16.000]  「你就可以生活滿足」
[00:06:16.000 --> 00:06:21.000]  我們除了遵守誡命有生活滿足之外
[00:06:21.000 --> 00:06:23.000]  在第三節、十節
[00:06:23.000 --> 00:06:27.000]  作者繼續提到有以下四個祝福
[00:06:27.000 --> 00:06:29.000]  第一個是第三至第四節
[00:06:29.000 --> 00:06:31.000]  「神人會喜愛」
[00:06:31.000 --> 00:06:35.000]  第五至六節是「路徑平坦」
[00:06:35.000 --> 00:06:39.000]  到第七至八節是「身體會有力」
[00:06:39.000 --> 00:06:41.000]  到第九至十節
[00:06:41.000 --> 00:06:45.000]  我們得到的祝福是「滿滿」
[00:06:45.000 --> 00:06:50.000]  我們怎樣可以得到神人的喜愛呢?
[00:06:50.000 --> 00:06:51.000]  經文說到
[00:06:51.000 --> 00:06:54.000]  「不可使慈愛誠實離開你」
[00:06:54.000 --> 00:06:56.000]  「要繫在你頸項上」
[00:06:56.000 --> 00:06:58.000]  當我們看到這幾個字的時候
[00:06:58.000 --> 00:06:59.000]  我們便會想起
[00:06:59.000 --> 00:07:01.000]  在生命記的命令
[00:07:01.000 --> 00:07:02.000]  都是這樣去記載
[00:07:02.000 --> 00:07:06.000]  我們要將上帝的壞語藏在心裡
[00:07:06.000 --> 00:07:07.000]  是在手上
[00:07:07.000 --> 00:07:10.000]  我們要留在意念裡
[00:07:10.000 --> 00:07:14.000]  慈愛和信實、誠實
[00:07:14.000 --> 00:07:16.000]  是代表神的自己
[00:07:16.000 --> 00:07:18.000]  我看到在春安及記
