
[00:00:00.000 --> 00:00:06.040]  很高興見到大家一齊回來敬拜神
[00:00:06.040 --> 00:00:10.740]  今日繼續是講獵王紀
[00:00:10.740 --> 00:00:16.140]  獵王紀上21章
[00:00:16.140 --> 00:00:19.400]  今日我跟大家講的
[00:00:19.400 --> 00:00:22.780]  主要不是講以利亞
[00:00:22.780 --> 00:00:25.400]  而是講阿蝦王
[00:00:25.400 --> 00:00:30.660]  講阿蝦王他怎樣賣了自己
[00:00:30.660 --> 00:00:34.920]  如果大家還記得上一次講到是講十九節
[00:00:34.920 --> 00:00:38.200]  或者我們十八、十九節在之前那幾章
[00:00:38.200 --> 00:00:40.840]  是講以利亞
[00:00:40.840 --> 00:00:44.980]  以利亞先知在加密山上求雨
[00:00:44.980 --> 00:00:52.000]  求雨成功就解救了三年以來的大旱災
[00:00:52.000 --> 00:01:01.420]  之後幾年以色列國相當繁榮
[00:01:01.420 --> 00:01:05.040]  相當強盛
[00:01:05.040 --> 00:01:14.840]  在這幾年以色列曾經打仗打敗雅蘭人兩次
[00:01:14.840 --> 00:01:19.560]  收復了很多的失地城池
[00:01:19.560 --> 00:01:27.920]  本來可以好好享受一下國泰民安的生活
[00:01:27.920 --> 00:01:30.200]  誰知這個阿蝦王
[00:01:30.200 --> 00:01:37.960]  他就是我們中國人所講的發達或者發財的不立稟
[00:01:37.960 --> 00:01:42.300]  他不單沒有好好管治國家的人民
[00:01:42.300 --> 00:01:44.840]  帶領他們去侍奉神
[00:01:44.840 --> 00:01:50.120]  反而他就是為了滿足自己個人的慾望、私慾
[00:01:50.120 --> 00:01:54.960]  要去霸佔人家的前緣
[00:01:54.960 --> 00:01:59.160]  竟然用陰謀、詭計來陷害人
[00:01:59.160 --> 00:02:01.760]  將人家一家殺了
[00:02:01.760 --> 00:02:09.240]  然後將人家的前緣佔為己有
[00:02:09.240 --> 00:02:18.880]  這段訊息與今日的講題「賣了自己」有什麼關係呢?
[00:02:18.880 --> 00:02:21.280]  是很有關係的
[00:02:21.280 --> 00:02:24.520]  我們要知道「賣了自己」
[00:02:24.520 --> 00:02:31.440]  就是「行耶和華眼中看為惡的事」
[00:02:31.440 --> 00:02:34.920]  這句經文的另一個翻譯
[00:02:34.920 --> 00:02:40.720]  是「在耶和華眼前作惡」
[00:02:40.720 --> 00:02:42.120]  其實是一樣的意思
[00:02:42.120 --> 00:02:45.680]  但是「在神眼前作惡」
[00:02:45.680 --> 00:02:50.120]  我們就很清楚明白是什麼一回事了
[00:02:50.120 --> 00:02:56.080]  「賣了自己」就是「在神眼前作惡」
[00:02:56.080 --> 00:03:04.240]  阿蝦王他怎樣「賣了自己」在神眼前作惡呢?
[00:03:04.240 --> 00:03:09.080]  就是他假借公義的律法
[00:03:09.080 --> 00:03:15.440]  用來陷害無辜的喇叭
[00:03:15.440 --> 00:03:18.360]  結果遭受神的審判
[00:03:18.360 --> 00:03:25.840]  阿蝦他自己的一家一族後來全部被消滅
[00:03:25.840 --> 00:03:30.360]  從阿蝦身上我們要學的功課就是
[00:03:30.360 --> 00:03:34.880]  我們不要輕視神的誡命和祂的吩咐
[00:03:34.880 --> 00:03:37.880]  雖然這個世界的潮流
[00:03:37.880 --> 00:03:41.440]  或者我們周圍的人都會告訴我們
[00:03:41.440 --> 00:03:47.760]  我們是無需太過認真在神的吩咐裡面
[00:03:47.760 --> 00:03:53.520]  但是我們知道神祂在道德倫理方面
[00:03:53.520 --> 00:03:59.640]  在真理方面的標準是從來都沒有改變過
[00:03:59.640 --> 00:04:06.160]  祂也必定會按祂所定的標準來審判世人
[00:04:06.160 --> 00:04:09.400]  所以我們要堅守真理
[00:04:09.400 --> 00:04:12.240]  堅守聖經的教導
[00:04:12.240 --> 00:04:15.000]  做神光明聖潔的兒女
[00:04:15.000 --> 00:04:19.040]  也做主耶穌所喜悅的門徒
[00:04:19.040 --> 00:04:24.760]  這個就是今天我想和大家一起學的功課
[00:04:24.760 --> 00:04:34.320]  我們先看今天的經文列王紀上有一章第二節
[00:04:34.320 --> 00:04:37.600]  阿蝦對拿伯說
[00:04:37.600 --> 00:04:40.920]  你將你的葡萄園給我作菜園
[00:04:40.920 --> 00:04:45.280]  因為是靠近我的功
[00:04:45.280 --> 00:04:52.840]  給我這個字原文是用了一個命令式的字
[00:04:52.840 --> 00:04:54.960]  意思就是說
[00:04:54.960 --> 00:04:59.880]  拿伯你要將你的葡萄園給了我
[00:04:59.880 --> 00:05:03.880]  這個是命令不是請求
[00:05:03.880 --> 00:05:08.160]  皇帝說話都會這樣
[00:05:08.160 --> 00:05:15.200]  為什麼阿蝦想要拿伯的葡萄園呢
[00:05:15.200 --> 00:05:20.280]  從經文的顯示我們可以想像一下他的背景
[00:05:20.280 --> 00:05:25.440]  想像阿蝦皇帝太平盛世有一日
[00:05:25.440 --> 00:05:29.920]  起身在露台向外面望
[00:05:29.920 --> 00:05:34.600]  看到他自己的皇宮外面四周圍的地方
[00:05:34.600 --> 00:05:36.040]  田園都是他的
[00:05:36.040 --> 00:05:40.320]  不過除了眼前有一塊地不是他的
[00:05:40.320 --> 00:05:41.240]  是誰的
[00:05:41.240 --> 00:05:45.800]  是拿伯的
[00:05:45.800 --> 00:05:48.080]  他一直望著那塊地的時候
[00:05:48.080 --> 00:05:52.480]  越望越覺得遺憾
[00:05:52.480 --> 00:05:56.920]  心裏想如果那塊地都是歸我的
[00:05:56.920 --> 00:05:59.200]  我的產業就完美了
[00:05:59.200 --> 00:06:01.000]  一望望全部都是自己
[00:06:01.000 --> 00:06:03.720]  等於一個有錢人整條街都是他的時候
[00:06:03.720 --> 00:06:06.000]  剛剛中間有一間店舖不是他的
[00:06:06.000 --> 00:06:09.200]  你想想多硬
[00:06:09.200 --> 00:06:10.160]  那又怎樣
[00:06:10.160 --> 00:06:12.240]  這些故事聽得多了
[00:06:12.240 --> 00:06:22.240]  就出盡辦法要拿到位置將剩下的店舖
[00:06:22.240 --> 00:06:24.160]  越看就越不舒服
[00:06:24.160 --> 00:06:25.920]  越看越硬
[00:06:25.920 --> 00:06:28.960]  越看就越不開心
[00:06:28.960 --> 00:06:34.400]  心裏想一定要霸佔那塊地不可
[00:06:34.400 --> 00:06:39.880]  於是就去找拿伯幫他整理一下
[00:06:39.880 --> 00:06:40.960]  他出命令
[00:06:40.960 --> 00:06:44.120]  他命令他交出這個葡萄園
[00:06:44.120 --> 00:06:45.800]  你可以說其實是怎樣
[00:06:45.800 --> 00:06:55.040]  是他的佔有慾驅使他要去奪取人家的田地
[00:06:55.040 --> 00:07:00.480]  我們繼續看第二節下面這裡
[00:07:00.480 --> 00:07:01.520]  阿黃他說
[00:07:01.520 --> 00:07:04.640]  我就把更好的葡萄園換給你
[00:07:04.640 --> 00:07:09.760]  或是你要銀紙我就按著價值給你
[00:07:09.760 --> 00:07:14.560]  這樣看來你都覺得很公平
[00:07:14.560 --> 00:07:19.520]  但其實不是真的那麼公平
[00:07:19.520 --> 00:07:22.760]  你有沒有權可以說不賣
[00:07:22.760 --> 00:07:23.360]  他沒有
[00:07:23.360 --> 00:07:25.600]  只是問你要不賣地要不換地
[00:07:25.600 --> 00:07:28.720]  現在那些奸商收購都是這樣
[00:07:28.720 --> 00:07:31.120]  逼到你不賣又怎樣
[00:07:31.120 --> 00:07:34.240]  找橫手來搞你
[00:07:34.240 --> 00:07:39.400]  潑油或者整天半夜敲門
[00:07:39.400 --> 00:07:45.000]  你遲早都要賣給他
[00:07:45.000 --> 00:07:46.840]  好字好公平
[00:07:46.840 --> 00:07:50.120]  要麼就換地要麼就賣地
[00:07:50.120 --> 00:07:52.080]  不能不給
[00:07:52.080 --> 00:07:56.240]  就是這樣
[00:07:56.240 --> 00:07:58.760]  第三節
[00:07:58.760 --> 00:08:01.200]  誰知拿伯就這樣說
[00:08:01.200 --> 00:08:08.440]  我敬歸耶和華萬不敢將我先人樓下的產業給你
[00:08:08.440 --> 00:08:10.000]  就這樣看這句話
