
[00:00:00.000 --> 00:00:04.120]  今天的題目是《峰迴路轉》
[00:00:04.120 --> 00:00:06.520]  想到《峰迴路轉》
[00:00:06.520 --> 00:00:08.320]  世界上很多事情
[00:00:08.320 --> 00:00:10.120]  很多都以為沒有了
[00:00:10.120 --> 00:00:11.320]  失去了
[00:00:11.320 --> 00:00:14.320]  怎知道又會失而復得
[00:00:14.320 --> 00:00:17.720]  我在網上看到這宗新聞
[00:00:17.720 --> 00:00:19.920]  原來有一位在加拿大
[00:00:19.920 --> 00:00:22.920]  D.C.省的女士
[00:00:22.920 --> 00:00:26.120]  她在四十一年前被人偷了銀包
[00:00:26.120 --> 00:00:27.720]  近日她的銀包
[00:00:27.720 --> 00:00:32.120]  竟然在另一位男士的後衣裡找到
[00:00:32.120 --> 00:00:33.520]  發現了
[00:00:33.520 --> 00:00:36.520]  於是這位男士將她的銀包
[00:00:36.520 --> 00:00:39.120]  交給警察交還
[00:00:39.120 --> 00:00:41.120]  當這位女士知道
[00:00:41.120 --> 00:00:43.120]  我四十一年前不見了銀包
[00:00:43.120 --> 00:00:44.520]  現在再出現
[00:00:44.520 --> 00:00:49.720]  她一度懷疑這件事是真是假
[00:00:49.720 --> 00:00:53.320]  直到警方將她的學生證
[00:00:53.320 --> 00:00:55.520]  銀包裡有學生證
[00:00:55.520 --> 00:00:58.320]  電郵給她看見學生證
[00:00:58.320 --> 00:01:01.520]  才知道原來是真的
[00:01:01.520 --> 00:01:02.720]  很驚訝
[00:01:02.720 --> 00:01:04.120]  發生了什麼事呢?
[00:01:04.120 --> 00:01:05.720]  有一天這位男士
[00:01:05.720 --> 00:01:09.520]  在她自己的後衣裡整理完異
[00:01:09.520 --> 00:01:14.120]  掘地掘了一個很舊的銀包
[00:01:14.120 --> 00:01:17.320]  不過銀包裡有張挺好的
[00:01:17.320 --> 00:01:19.920]  初中的中學生學生證
[00:01:19.920 --> 00:01:23.920]  大家有看到學生證的年份是什麼時候嗎?
[00:01:23.920 --> 00:01:26.120]  81至82年
[00:01:26.120 --> 00:01:29.120]  真的幾十年前了
[00:01:29.120 --> 00:01:31.120]  這位男士很好心
[00:01:31.120 --> 00:01:32.520]  他馬上想到什麼呢?
[00:01:32.520 --> 00:01:35.120]  會不會是跟失蹤人口有關係呢?
[00:01:35.120 --> 00:01:38.920]  所以他馬上將銀包和這些物件
[00:01:38.920 --> 00:01:40.720]  交給警察
[00:01:40.720 --> 00:01:43.520]  警察因為這張學生證的緣故
[00:01:43.520 --> 00:01:45.320]  讓他找到事主
[00:01:45.320 --> 00:01:47.120]  就是這位女士
[00:01:47.120 --> 00:01:50.520]  這位女士收回物件
[00:01:50.520 --> 00:01:52.720]  見到這張學生證的時候
[00:01:52.720 --> 00:01:54.320]  她也覺得很好笑
[00:01:54.320 --> 00:01:57.720]  她一早已經忘記這件事了
[00:01:57.720 --> 00:01:59.320]  於是她就打電話給她
[00:01:59.320 --> 00:02:01.720]  還有聯絡的初中同學
[00:02:01.720 --> 00:02:03.120]  很好的同學
[00:02:03.120 --> 00:02:05.120]  就將這件事告訴她
[00:02:05.120 --> 00:02:06.520]  他們倆在討論
[00:02:06.520 --> 00:02:07.920]  真是奇妙
[00:02:07.920 --> 00:02:10.320]  不過更加討論了很多
[00:02:10.320 --> 00:02:13.720]  他們在中學時期很開心的片段
[00:02:13.720 --> 00:02:15.720]  湧出來
[00:02:15.720 --> 00:02:16.720]  我就在想
[00:02:16.720 --> 00:02:19.920]  這位女士其實不只找回銀包
[00:02:19.920 --> 00:02:25.320]  其實她找回久違了一些很珍貴的回憶
[00:02:25.320 --> 00:02:27.120]  是不是呢?
[00:02:27.120 --> 00:02:30.720]  峰迴路轉怎止失而復得呢?
[00:02:30.720 --> 00:02:34.920]  這裡有多少人喜歡做運動?
[00:02:34.920 --> 00:02:37.520]  哦,只有幾隻手舉起
[00:02:37.520 --> 00:02:39.920]  其實我知道不足為奇
[00:02:39.920 --> 00:02:41.520]  我問了這麼多課
[00:02:41.520 --> 00:02:43.520]  其實我也要為你們感恩
[00:02:43.520 --> 00:02:45.720]  因為喜歡做運動的手
[00:02:45.720 --> 00:02:48.920]  是遠比你們報了研習會少的
[00:02:48.920 --> 00:02:54.720]  不知道是否真的要先調整一下心理
[00:02:54.720 --> 00:02:57.120]  不過這也是恩典
[00:02:57.120 --> 00:02:59.920]  為什麼我會說運動呢?
[00:02:59.920 --> 00:03:04.920]  原因是峰迴路轉常常在運動的比賽出現
[00:03:04.920 --> 00:03:06.920]  你們認不認得她?
[00:03:06.920 --> 00:03:08.320]  一定認識她,對不對?
[00:03:08.320 --> 00:03:11.920]  我們香港劍神張家朗
[00:03:11.920 --> 00:03:13.920]  他在奧運奪金之路
[00:03:13.920 --> 00:03:15.920]  你以為這麼小事嗎?
[00:03:15.920 --> 00:03:17.920]  真的很刺激
[00:03:17.920 --> 00:03:19.920]  特別去到八強
[00:03:19.920 --> 00:03:22.320]  不要以為我很會劍擊
[00:03:22.320 --> 00:03:24.720]  我基本上是零知識
[00:03:24.720 --> 00:03:26.120]  不過剛好那一場
[00:03:26.120 --> 00:03:29.520]  我在電視機面前從頭看到尾
[00:03:29.520 --> 00:03:31.920]  非常刺激緊張
[00:03:31.920 --> 00:03:32.720]  為什麼呢?
[00:03:32.720 --> 00:03:33.920]  爭入四強
[00:03:33.920 --> 00:03:36.920]  他對著俄羅斯的劍手
[00:03:36.920 --> 00:03:40.920]  打著打著已經落後到3比9了
[00:03:40.920 --> 00:03:45.120]  再打著打著就變成9比14了
[00:03:45.120 --> 00:03:47.320]  哇,很嚴重了
[00:03:47.320 --> 00:03:49.520]  死定了,為什麼這樣說呢?
[00:03:49.520 --> 00:03:53.120]  原因是原來劍擊15分就贏了
[00:03:53.120 --> 00:03:55.120]  他已經去到9比14了
[00:03:55.120 --> 00:03:56.120]  你明白嗎?
[00:03:56.120 --> 00:03:59.720]  不過張家朗真的厲害了
[00:03:59.720 --> 00:04:01.720]  他完全沒有放棄
[00:04:01.720 --> 00:04:04.920]  竟然連取6分
[00:04:04.920 --> 00:04:06.520]  剛才我說9比14
