
[00:00:00.000 --> 00:00:03.560]  教會今年的主題是照明人生
[00:00:03.560 --> 00:00:05.560]  我們常常會問一個問題
[00:00:05.560 --> 00:00:07.560]  甚麼是照明?
[00:00:07.560 --> 00:00:09.560]  甚麼是照明?
[00:00:09.560 --> 00:00:11.560]  今年我們用照明人生這個主題
[00:00:11.560 --> 00:00:14.360]  很多的材料是來自一本書
[00:00:14.360 --> 00:00:17.000]  我已經介紹過,是楊錫昌牧師所寫的
[00:00:17.000 --> 00:00:19.560]  他簡稱,人稱他做楊醫
[00:00:19.560 --> 00:00:21.560]  甚麼是照明呢?他說
[00:00:21.560 --> 00:00:23.560]  神向人發出呼召
[00:00:23.560 --> 00:00:25.560]  人以生命來對回應
[00:00:25.560 --> 00:00:27.560]  這個就是照明了
[00:00:27.560 --> 00:00:29.560]  他說這番說話很容易說
[00:00:29.560 --> 00:00:31.560]  我們要慢慢消化理解
[00:00:31.560 --> 00:00:33.560]  背後有三個信念,是和創造有關
[00:00:33.560 --> 00:00:35.560]  上帝創造人的時候
[00:00:35.560 --> 00:00:38.560]  就已經賦予人個別和獨特的心意
[00:00:38.560 --> 00:00:40.560]  第二神在創造人之後
[00:00:40.560 --> 00:00:42.560]  就呼喚他
[00:00:42.560 --> 00:00:44.560]  召喚他,按他的心意
[00:00:44.560 --> 00:00:46.560]  你做回這個人吧
[00:00:46.560 --> 00:00:48.560]  這是第二個觀念
[00:00:48.560 --> 00:00:50.560]  第三,是和回應有關的
[00:00:50.560 --> 00:00:52.560]  當人以生命來對回應上帝
[00:00:52.560 --> 00:00:54.560]  這個創造和呼喚的時候
[00:00:54.560 --> 00:00:56.560]  就活出這個獨特的心意
[00:00:56.560 --> 00:00:58.560]  這個就是照明
[00:00:58.560 --> 00:01:00.560]  大補堂今年的主題
[00:01:00.560 --> 00:01:01.560]  「照明人生」
[00:01:01.560 --> 00:01:03.560]  目的是很想幫助弟兄姊妹
[00:01:03.560 --> 00:01:05.560]  明白自己人生的照明
[00:01:05.560 --> 00:01:09.560]  從而經歷一個豐盛又滿足的生命
[00:01:09.560 --> 00:01:11.560]  我們分三季
[00:01:11.560 --> 00:01:14.560]  無論是崇拜還是活動上高
[00:01:14.560 --> 00:01:16.560]  很想幫助弟兄姊妹明白
[00:01:16.560 --> 00:01:19.560]  一至四月是說人生需要有照明
[00:01:19.560 --> 00:01:22.560]  五至八月是說人生的照明需要回顧
[00:01:22.560 --> 00:01:26.560]  九至十月是說人生照明需要回應
[00:01:26.560 --> 00:01:29.560]  一月我第一講的時候
[00:01:29.560 --> 00:01:33.560]  是說上主按他的心意創造我們
[00:01:33.560 --> 00:01:35.560]  是從創造的角度看照明
[00:01:35.560 --> 00:01:37.560]  今天我是說
[00:01:37.560 --> 00:01:40.560]  上主按他的心意召喚我們
[00:01:40.560 --> 00:01:43.560]  都是從創造的角度講
[00:01:43.560 --> 00:01:45.560]  先說上帝創造了我們
[00:01:45.560 --> 00:01:47.560]  我們每個人都是獨特的
[00:01:47.560 --> 00:01:50.560]  我們每個人都領受了上帝的心意
[00:01:50.560 --> 00:01:53.560]  和他特別的意念
[00:01:53.560 --> 00:01:56.560]  但是他召喚我們 是提名的召喚我們
[00:01:56.560 --> 00:01:59.560]  今天的訊息是很想讓你知道
[00:01:59.560 --> 00:02:02.560]  上主是提名召喚我們
[00:02:02.560 --> 00:02:04.560]  如果我們這樣知道的時候
[00:02:04.560 --> 00:02:06.560]  你就會知道怎樣去順靠他
[00:02:06.560 --> 00:02:08.560]  順服他的生活
[00:02:08.560 --> 00:02:10.560]  當我們明白
[00:02:10.560 --> 00:02:14.560]  當我們知道上主原來是提名召喚我們
[00:02:14.560 --> 00:02:18.560]  我們就會知道怎樣順靠他
[00:02:18.560 --> 00:02:21.560]  順服他的生活
[00:02:21.560 --> 00:02:23.560]  並且為他而活
[00:02:23.560 --> 00:02:27.560]  交代一下剛才我們所讀的經文的背景
[00:02:27.560 --> 00:02:30.560]  你所讀的經文提到一個人物叫塞魯士
[00:02:30.560 --> 00:02:32.560]  但如果你從西班牙教會找到
[00:02:32.560 --> 00:02:35.560]  但是你知道塞魯士是一個新的譯名
