
[00:00:00.000 --> 00:00:04.440]  剛纔我說 我以前能夠去到神的家中敬拜
[00:00:04.440 --> 00:00:08.320]  或者今天我們在自己的家裏面來去敬拜
[00:00:08.320 --> 00:00:10.720]  都是因典
[00:00:10.720 --> 00:00:14.120]  我記得有一次在教會里面崇拜的時候
[00:00:14.120 --> 00:00:15.680]  聚會結束了
[00:00:15.680 --> 00:00:19.480]  一位年長的姐妹走過來很開心地跟我說
[00:00:19.480 --> 00:00:22.680]  感謝神又可以有一次敬拜了
[00:00:22.680 --> 00:00:26.480]  我想問問她 爲什麼這麼說呢?
[00:00:26.480 --> 00:00:30.560]  她說:我不知道下次能不能來
[00:00:30.560 --> 00:00:33.880]  我也不肯定下次會有什麼變化
[00:00:33.880 --> 00:00:38.640]  但是今天能夠敬拜 已經是因典
[00:00:38.640 --> 00:00:40.240]  第一次問我們感謝上帝
[00:00:40.240 --> 00:00:43.040]  今天讓我們能夠雖然在疫情之下
[00:00:43.040 --> 00:00:46.400]  仍然可以在網上來敬拜上帝
[00:00:46.400 --> 00:00:48.320]  是何等大的恩惠
[00:00:48.320 --> 00:00:52.840]  我們珍惜這個時間來去仰望尋求主的恩
[00:00:52.840 --> 00:00:55.520]  今年早上和大家一起思想一段經文
[00:00:55.520 --> 00:00:57.960]  詩篇第十六篇
[00:00:57.960 --> 00:01:02.960]  這篇詩篇是我人生一段很寶貴很寶貴的經文
[00:01:02.960 --> 00:01:06.080]  我稱爲自己的生命之詩
[00:01:06.080 --> 00:01:08.880]  也都很盼望透過詩篇裏面所講的說話
[00:01:08.880 --> 00:01:10.760]  不斷來幫助我
[00:01:10.760 --> 00:01:16.200]  將我的心定精在上帝的身上
[00:01:16.200 --> 00:01:20.520]  常常地 堅定地來去跟隨祂
[00:01:20.520 --> 00:01:21.680]  大家和我再一起祈禱
[00:01:21.680 --> 00:01:26.320]  我們一起再次仰望主
[00:01:26.320 --> 00:01:29.240]  天上的主 永恆的上帝
[00:01:29.240 --> 00:01:33.120]  禰永永遠遠是我們所愛的
[00:01:33.120 --> 00:01:37.920]  因爲唯獨禰是我們生命的主
[00:01:37.920 --> 00:01:39.960]  主我們好像詩人所講
[00:01:39.960 --> 00:01:43.320]  除你以外 在天上我們有誰呢?
[00:01:43.320 --> 00:01:48.480]  除你以外 在地上我們也沒有所愛無的
[00:01:48.480 --> 00:01:50.920]  因爲禰爲至高
[00:01:50.920 --> 00:01:54.240]  禰是我們生命最美善的
