
[00:00:00.000 --> 00:00:06.000]  好多信徒都好奇 究竟牧師每日是做什麼的呢
[00:00:06.000 --> 00:00:10.000]  我記得是2008年
[00:00:10.000 --> 00:00:13.000]  我和太太被邀請回來香港
[00:00:13.000 --> 00:00:15.000]  在一個堂會變牧會
[00:00:15.000 --> 00:00:19.000]  有一位信徒就跟我說
[00:00:19.000 --> 00:00:25.000]  牧師你今年五十五歲進入退休的年紀
[00:00:25.000 --> 00:00:30.000]  我看到你回來香港為了一份好工作 做牧師
[00:00:30.000 --> 00:00:36.000]  慢慢進入休息的境界 真的很聰明
[00:00:36.000 --> 00:00:39.000]  這位信徒是誰我就忘記了
[00:00:39.000 --> 00:00:43.000]  不過他說的話準不準確是另外一回事
[00:00:43.000 --> 00:00:50.000]  但是他對我的祝福和開心是我很感激的
[00:00:50.000 --> 00:00:55.000]  間中有信徒問我牧師星期日講道
[00:00:55.000 --> 00:00:59.000]  一至六他做什麼呢 是不是很空閒呢
[00:00:59.000 --> 00:01:04.000]  今天的信息就可以給你一些明白
[00:01:04.000 --> 00:01:09.000]  究竟一個牧人是做什麼的
[00:01:09.000 --> 00:01:15.000]  我們首先看看保羅寫這封信
[00:01:15.000 --> 00:01:23.000]  這段話在他的字旅行間你會感受到他的情況是怎麼樣
[00:01:23.000 --> 00:01:30.000]  他說我願意你們知道我為你們和在老底家的人
[00:01:30.000 --> 00:01:37.000]  以及所有沒有跟我見過面的人士這樣竭力奮鬥
[00:01:37.000 --> 00:01:41.000]  英文的翻譯就是struggle
[00:01:41.000 --> 00:01:48.000]  保羅為他的信徒 甚至一些沒有見過面
[00:01:48.000 --> 00:01:51.000]  但是因為他的信徒而信主的人
[00:01:51.000 --> 00:01:54.000]  struggle 竭力奮鬥
[00:01:54.000 --> 00:01:59.000]  保羅寫這封信的時候 他是坐牢的 在羅馬坐牢
[00:01:59.000 --> 00:02:04.000]  他第一次坐牢 第一次坐牢的環境是好一點
[00:02:04.000 --> 00:02:06.000]  他可以自己租一間房子
[00:02:06.000 --> 00:02:13.000]  不過每一刻他都有一個士兵和他的鍊子鎖在一起
[00:02:13.000 --> 00:02:16.000]  他是被囚禁的
[00:02:16.000 --> 00:02:21.000]  那個士兵是每六個小時換間的
[00:02:21.000 --> 00:02:24.000]  然後第二個士兵也是和他鎖在一起
[00:02:24.000 --> 00:02:26.000]  24小時他都是這樣
[00:02:26.000 --> 00:02:30.000]  究竟他這個奮鬥這個struggle是怎樣struggle呢
[00:02:30.000 --> 00:02:33.000]  他不是和士兵struggle 因為沒得struggle的
[00:02:33.000 --> 00:02:37.000]  他的struggle就是在禱告裏面 在牧養裏面禱告
[00:02:37.000 --> 00:02:44.000]  他為哥羅西老底家那些信徒有祈禱
[00:02:44.000 --> 00:02:47.000]  而且也靠牧養 他寫信牧養他們
[00:02:47.000 --> 00:02:50.000]  還有有些人可以探望他
[00:02:50.000 --> 00:02:53.000]  他有自己的房子 瑞士有人探望他
[00:02:53.000 --> 00:02:56.000]  有些信徒來探望他 他也牧養他們
[00:02:56.000 --> 00:03:02.000]  但是他就用這個竭力奮鬥這個struggle
[00:03:02.000 --> 00:03:05.000]  他的生活就是竭力奮鬥
[00:03:05.000 --> 00:03:08.000]  我可以說如果一個忠心的傳道人
[00:03:08.000 --> 00:03:11.000]  一個牧師 好像我們教會 江惠明牧師那樣
[00:03:11.000 --> 00:03:14.000]  是struggle 每一天都是struggle
[00:03:14.000 --> 00:03:19.000]  那保羅struggle是什麼呢
[00:03:19.000 --> 00:03:23.000]  他說是要為叫那些信徒心裏得著勉勵
[00:03:23.000 --> 00:03:26.000]  在愛中彼此聯繫
[00:03:26.000 --> 00:03:34.000]  可以得著憤怨性和確信而有的豐盛
[00:03:34.000 --> 00:03:39.000]  認識上帝的奧悲
[00:03:39.000 --> 00:03:42.000]  那如果我們畫一幅圖畫看
[00:03:42.000 --> 00:03:46.000]  勉勵的愚民的意思是
[00:03:46.000 --> 00:03:49.000]  就是將一個人帶到你的身邊
[00:03:49.000 --> 00:03:52.000]  來培育他 來鼓勵他
[00:03:52.000 --> 00:03:55.000]  英文就翻譯做encourage
[00:03:55.000 --> 00:04:00.000]  愛中結連 英文的翻譯就是need in love
[00:04:00.000 --> 00:04:04.000]  原文就是銷行 兩個銷行在一起
[00:04:04.000 --> 00:04:08.000]  你想像我和你的愛銷行在一起 黏在一起
[00:04:08.000 --> 00:04:12.000]  勉勵和愛心的聯繫
[00:04:12.000 --> 00:04:15.000]  就以致我們有悟性
[00:04:15.000 --> 00:04:18.000]  understanding 和有信心
[00:04:18.000 --> 00:04:20.000]  他們的心得著勉勵
