
[00:00:00.000 --> 00:00:10.000]  上個禮拜我們講什麼 還記得嗎
[00:00:10.000 --> 00:00:15.000]  新人系列之二是什麼
[00:00:15.000 --> 00:00:18.000]  穿上什麼
[00:00:18.000 --> 00:00:21.000]  穿上基督
[00:00:21.000 --> 00:00:31.000]  好了 跟你旁邊說你穿上基督了嗎
[00:00:31.000 --> 00:00:35.000]  我們穿上之前需要怎麼樣
[00:00:35.000 --> 00:00:37.000]  先脫掉 是不是
[00:00:37.000 --> 00:00:42.000]  當然這個脫掉跟穿上是同時發生的
[00:00:42.000 --> 00:00:45.000]  不是說三禮拜聽完那個信息之後
[00:00:45.000 --> 00:00:47.000]  我就整個舊人脫掉了
[00:00:47.000 --> 00:00:48.000]  從此之後就新的了
[00:00:48.000 --> 00:00:51.000]  不是 你會發現你的舊人還在
[00:00:51.000 --> 00:00:53.000]  還會不會吵架 會不會
[00:00:53.000 --> 00:00:57.000]  參加完恩外夫妻營之後much better
[00:00:57.000 --> 00:01:01.000]  但是是不是從此舊人就沒了
[00:01:01.000 --> 00:01:02.000]  還在 對不對
[00:01:02.000 --> 00:01:06.000]  還會吵架 還會生氣 還會有苦讀
[00:01:06.000 --> 00:01:10.000]  還會嫉妒 還是會斤斤計較 會不會
[00:01:10.000 --> 00:01:15.000]  只有一個人說會 會嗎
[00:01:15.000 --> 00:01:20.000]  好 把這一切舊的性情通通把它脫掉
[00:01:20.000 --> 00:01:22.000]  脫掉這些淫亂 脫掉這些嫉妒
[00:01:22.000 --> 00:01:24.000]  脫掉這些的驕傲
[00:01:24.000 --> 00:01:27.000]  脫掉這一切的不好的這些性情
[00:01:27.000 --> 00:01:31.000]  把它脫掉 天天的脫
[00:01:31.000 --> 00:01:35.000]  但是同時要put on什麼
[00:01:35.000 --> 00:01:41.000]  新的人
[00:01:41.000 --> 00:01:44.000]  我們前面講的說
[00:01:44.000 --> 00:01:48.000]  老的告訴我們說要穿上憐憫
[00:01:48.000 --> 00:01:52.000]  還有呢 恩慈
[00:01:52.000 --> 00:01:56.000]  還有呢 謙虛
[00:01:56.000 --> 00:01:59.000]  下面 溫柔
[00:01:59.000 --> 00:02:02.000]  再過來 忍耐 對不對
[00:02:02.000 --> 00:02:04.000]  講了這五件事情
[00:02:04.000 --> 00:02:06.000]  但是其實後面他又說
[00:02:06.000 --> 00:02:10.000]  他說你們要彼此互相寬容
[00:02:10.000 --> 00:02:13.000]  然後呢 彼此饒恕
[00:02:13.000 --> 00:02:16.000]  所以寬容 饒恕
[00:02:16.000 --> 00:02:19.000]  其實又加上了兩個 對不對
[00:02:19.000 --> 00:02:21.000]  所以我們要穿上憐憫 謙虛
[00:02:21.000 --> 00:02:23.000]  憐憫之恩慈 我們要穿上謙虛 溫柔
[00:02:23.000 --> 00:02:26.000]  我們要穿上忍耐 我們還要怎麼樣
[00:02:26.000 --> 00:02:29.000]  穿上包容 還要穿上什麼
[00:02:29.000 --> 00:02:32.000]  饒恕
[00:02:32.000 --> 00:02:35.000]  現在就是沒
[00:02:35.000 --> 00:02:41.000]  接著保羅說在這一切以外
[00:02:41.000 --> 00:02:45.000]  要存著什麼
[00:02:45.000 --> 00:02:52.000]  在這一切以外要存著愛心
[00:02:52.000 --> 00:02:55.000]  保羅說在這一切以外要存著愛心
[00:02:55.000 --> 00:02:59.000]  因為愛就是聯絡全得的
[00:02:59.000 --> 00:03:01.000]  所以保羅說在這一切以外
[00:03:01.000 --> 00:03:03.000]  是指什麼呢
[00:03:03.000 --> 00:03:04.000]  這一切以外就是說
[00:03:04.000 --> 00:03:09.000]  在前面所說的憐憫 恩慈 謙虛
[00:03:09.000 --> 00:03:15.000]  溫柔 忍耐 包容 饒恕之外
[00:03:15.000 --> 00:03:17.000]  還要怎麼樣
[00:03:17.000 --> 00:03:22.000]  再加上愛
[00:03:22.000 --> 00:03:25.000]  這個愛其實他說在這一切以外
[00:03:25.000 --> 00:03:27.000]  是指的在這一切以上
[00:03:27.000 --> 00:03:31.000]  換句話說 愛是一個整合體
[00:03:31.000 --> 00:03:33.000]  愛是好像一個袋子一樣
[00:03:33.000 --> 00:03:41.000]  把這七個新人的性情把它連在一起
[00:03:41.000 --> 00:03:43.000]  所以他說要存著愛心
[00:03:43.000 --> 00:03:46.000]  存就是穿上
