
[00:00:00.000 --> 00:00:04.060]  《路加福音》第21章第一到第四節
[00:00:04.060 --> 00:00:05.560]  我把這個經文唸出了
[00:00:05.560 --> 00:00:09.060]  對不起 我用的字體比較小一點
[00:00:09.060 --> 00:00:12.220]  原先希望把更多的東西放下去
[00:00:12.220 --> 00:00:13.820]  所以大家若是看不見的話
[00:00:13.820 --> 00:00:16.920]  不好意思 我下次會改正一下
[00:00:16.920 --> 00:00:20.620]  這個經文是講到主耶穌去了聖所
[00:00:20.620 --> 00:00:24.220]  在主耶穌受難周的時候
[00:00:24.220 --> 00:00:28.120]  所遇見的其中幾個的事情
[00:00:28.120 --> 00:00:34.300]  第一個事情當然是主耶穌還沒有進耶路撒冷城的時候
[00:00:34.300 --> 00:00:39.060]  在趕南山上 慰到以色列的百姓哀痛
[00:00:39.060 --> 00:00:43.160]  進去耶路撒冷教訓的期間
[00:00:43.160 --> 00:00:48.060]  再次的指出法利塞人文士的錯誤
[00:00:48.060 --> 00:00:53.560]  在耶穌基督與門徒進到聖所的期間
[00:00:53.560 --> 00:01:00.660]  就記載了這個《路加福音》21章一到第四節的一個很短的紀錄
[00:01:00.660 --> 00:01:04.340]  這個紀錄講到主耶穌抬頭觀看
[00:01:04.340 --> 00:01:14.740]  看到財主把當天要貢獻給聖所的這個奉獻投在庫裡面
[00:01:14.740 --> 00:01:19.740]  但主耶穌又看見了當中有一個窮的寡婦
[00:01:19.740 --> 00:01:21.040]  請大家注意
[00:01:21.040 --> 00:01:25.040]  寡婦加上窮就是真窮
[00:01:25.040 --> 00:01:28.740]  真的寡婦投上了兩個小的錢
[00:01:28.740 --> 00:01:32.040]  主耶穌就在那個時候停下來
[00:01:32.040 --> 00:01:40.600]  轉身向著他十二個門徒來講論到關於奉獻的事
[00:01:40.600 --> 00:01:42.980]  主耶穌在聖所的當中
[00:01:42.980 --> 00:01:47.920]  據說主耶穌進去的時候是透過東邊的門
[00:01:47.920 --> 00:01:54.360]  這個東門進到這個外邦的這個地方
[00:01:54.360 --> 00:02:03.240]  從這個外邦的這個停樓的小的空間進到這個聖所的範圍
[00:02:03.240 --> 00:02:12.960]  所以主耶穌可能就跟門徒坐在這個用石頭蓋成的這個樓梯的裡面
[00:02:12.960 --> 00:02:22.120]  往下觀看 竟然讓他看見了財主跟一個窮的寡婦奉獻的情況
[00:02:22.120 --> 00:02:24.960]  那大家要了解一下當中的一些背景
[00:02:24.960 --> 00:02:27.960]  下面有一個圖片給大家了解一下
[00:02:27.960 --> 00:02:30.160]  請下一個POWER POINT
[00:02:30.160 --> 00:02:31.800]  可以嗎?
[00:02:31.800 --> 00:02:33.960]  再下一個
[00:02:33.960 --> 00:02:36.800]  若是大家能夠看出來的時候
[00:02:36.800 --> 00:02:41.560]  前面黑的那個上面的部分是至聖所的部分
[00:02:41.560 --> 00:02:48.240]  然後在前面一個圈的部分就進到至聖所的這個台階
[00:02:48.240 --> 00:02:54.440]  前面的地方這是主耶穌和十二個門徒停樓的地方
[00:02:54.440 --> 00:02:58.960]  我們叫這個地方是叫外邦的院
[00:02:58.960 --> 00:03:03.640]  也可以說是婦女只可以在當中停樓
[00:03:03.640 --> 00:03:06.520]  不能進去至聖所的地方
[00:03:06.520 --> 00:03:14.280]  裡面有四個門 東邊的門 南邊的 西邊的 北邊的
[00:03:14.280 --> 00:03:22.520]  那麼在這三個進去的門的裡面有13個不一樣的奉獻箱
[00:03:22.520 --> 00:03:24.200]  我不知道大家有沒有曉得
[00:03:24.200 --> 00:03:27.720]  在過去新約的時代
[00:03:27.720 --> 00:03:30.760]  很多猶太人進到聖所去敬拜的時候
[00:03:30.760 --> 00:03:32.800]  他們都奉獻
