
[00:00:00.000 --> 00:00:04.160]  鄧珠妹 我想這樣說
[00:00:04.160 --> 00:00:06.800]  我們是信耶穌的人
[00:00:06.800 --> 00:00:09.360]  信耶穌的人說的是甚麼
[00:00:09.360 --> 00:00:12.660]  信耶穌的人說的是「信」字
[00:00:12.660 --> 00:00:14.500]  信耶穌的人說的是「信」字
[00:00:14.500 --> 00:00:16.700]  那麼我們這個「信」
[00:00:16.700 --> 00:00:20.300]  信耶穌這個「信」究竟是怎樣的呢
[00:00:20.300 --> 00:00:22.400]  好像剛才我們給錢去祝福人
[00:00:22.400 --> 00:00:24.700]  我們很多時候會為人祈禱
[00:00:24.700 --> 00:00:27.400]  我們會奉耶穌的名去祝福那個人
[00:00:27.400 --> 00:00:30.600]  其實我們心底裏面我們相不相信
[00:00:30.600 --> 00:00:32.600]  我們這個祝福
[00:00:32.600 --> 00:00:36.600]  如果我們真是從神而來的那個領受
[00:00:36.600 --> 00:00:38.600]  那個英許呢
[00:00:38.600 --> 00:00:41.500]  我們信不信這件事會發生呢
[00:00:41.500 --> 00:00:43.700]  聖經裏面有很多的說話
[00:00:43.700 --> 00:00:45.700]  聖經裏面有很多的英許
[00:00:45.700 --> 00:00:50.000]  其實可能是我們以前或者現在都在讀的
[00:00:50.000 --> 00:00:53.500]  其實你當它是一個故事
[00:00:53.500 --> 00:00:56.500]  你當它是一個歷史的記載
[00:00:56.500 --> 00:00:58.500]  還是你真是相信
[00:00:58.500 --> 00:01:00.500]  這個是神的說話
[00:01:00.500 --> 00:01:01.800]  是神的英許
[00:01:01.800 --> 00:01:05.500]  它是必然會發生的
[00:01:05.500 --> 00:01:09.500]  今天如果我們說「信心」
[00:01:09.500 --> 00:01:11.700]  因為神告訴我們
[00:01:11.700 --> 00:01:13.700]  這一季我們
[00:01:13.700 --> 00:01:17.500]  其實在《尋禽》裏面我們領受的那個訊息是甚麼
[00:01:17.500 --> 00:01:20.000]  「彭信燃燒救災軍」
[00:01:20.000 --> 00:01:22.500]  所以「信」這個環節
[00:01:22.500 --> 00:01:24.800]  對於我們來說是非常之重要的
[00:01:24.800 --> 00:01:27.500]  究竟今天我們的「信」其實是怎樣的呢
[00:01:27.500 --> 00:01:32.500]  你有沒有檢視過你自己的「信」
[00:01:32.500 --> 00:01:34.500]  所謂「信耶穌」這個「信」
[00:01:34.500 --> 00:01:36.500]  其實它是怎樣的
[00:01:36.500 --> 00:01:40.500]  你有沒有跟聖經裏面說「信」去對照一下呢
[00:01:40.500 --> 00:01:44.500]  以致到究竟我所「信」的
[00:01:44.500 --> 00:01:48.500]  跟聖經所說的那個「信」的本質
[00:01:48.500 --> 00:01:52.500]  那個基礎有沒有差別呢
[00:01:52.500 --> 00:01:57.500]  我今天很想跟大家透過希伯來書第十一章去看
[00:01:57.500 --> 00:02:00.500]  其實我們怎樣見證和經歷「信心」
[00:02:00.500 --> 00:02:03.500]  「信心」在聖經裏面說的是怎樣的呢
[00:02:03.500 --> 00:02:06.500]  希伯來書第十一章
[00:02:06.500 --> 00:02:09.500]  其實很重要是談論到
[00:02:09.500 --> 00:02:11.500]  「信心」是甚麼來的
[00:02:11.500 --> 00:02:13.500]  而在這個談論的過程裏面
[00:02:13.500 --> 00:02:15.500]  希伯來書的作者
[00:02:15.500 --> 00:02:19.500]  列了很多在歷史裏面出現過
[00:02:19.500 --> 00:02:24.500]  被神視為極具「信心」的見證人
[00:02:24.500 --> 00:02:26.500]  有名的
[00:02:26.500 --> 00:02:28.500]  即是你能說出他的名字的
[00:02:28.500 --> 00:02:30.500]  有十多個
[00:02:30.500 --> 00:02:32.500]  說不出的名字的
[00:02:32.500 --> 00:02:34.500]  有無數那麼多個
[00:02:34.500 --> 00:02:36.500]  包括甚麼呢
[00:02:36.500 --> 00:02:41.500]  包括在初期教會成立的時候
[00:02:41.500 --> 00:02:44.500]  有很多很多的信徒
[00:02:44.500 --> 00:02:47.500]  因為堅持相信耶穌
[00:02:47.500 --> 00:02:52.500]  要行出那個信仰的行為來的時候
[00:02:52.500 --> 00:02:56.500]  被迫霸 被迫害 被壓迫
