
[00:00:00.000 --> 00:00:06.000]  請您打開我們今天思想的經文 哥林多前書第十五章
[00:00:06.000 --> 00:00:09.000]  哥林多前書第十五章
[00:00:09.000 --> 00:00:12.000]  找到的好不好請聽我讀出
[00:00:12.000 --> 00:00:16.000]  弟兄們 我要你們認清我先前傳給你們的福音
[00:00:16.000 --> 00:00:22.000]  這福音你們領受了 又靠著它站立得住
[00:00:22.000 --> 00:00:26.000]  你們若能夠持守我傳給你們的信息
[00:00:26.000 --> 00:00:33.000]  就必因這福音得救 否則你們是徒然傷損
[00:00:33.000 --> 00:00:37.000]  我當日所領受又傳給你們的最重要的就是
[00:00:37.000 --> 00:00:42.000]  照聖經所說 基督為我們的罪死了 而且埋葬了
[00:00:42.000 --> 00:00:45.000]  又照聖經所說 第三天復活了
[00:00:45.000 --> 00:00:48.000]  還顯給基伐漢 又顯給十二師徒漢
[00:00:48.000 --> 00:00:51.000]  後來一次顯給五百多弟兄漢
[00:00:51.000 --> 00:00:57.000]  其中一大半到現在還在 卻也有已經睡了的
[00:00:57.000 --> 00:01:02.000]  以後就顯給雅各漢 再顯給眾師徒漢
[00:01:02.000 --> 00:01:04.000]  最後也顯給我漢
[00:01:04.000 --> 00:01:07.000]  我與同未到產期而生的人一般
[00:01:07.000 --> 00:01:10.000]  我願是師徒最少的 不配稱為師徒
[00:01:10.000 --> 00:01:13.000]  因為我曾迫害過神的教會
[00:01:13.000 --> 00:01:16.000]  然而由於神的恩典 我才成了今日的我
[00:01:16.000 --> 00:01:20.000]  並且他所賜給我的恩典不是徒然的
[00:01:20.000 --> 00:01:23.000]  我被眾師徒格外勞苦 其實不是我
[00:01:23.000 --> 00:01:26.000]  而是神的恩典與我同在
[00:01:26.000 --> 00:01:29.000]  無論是我或是其他師徒 我們都如此存
[00:01:29.000 --> 00:01:32.000]  你們也都如此馴了
[00:01:32.000 --> 00:01:35.000]  既然我們全基督是從死裡復活了
[00:01:35.000 --> 00:01:39.000]  怎麼在你們中間有人說 沒有死人復活的事呢?
