
[00:00:00.000 --> 00:00:04.000]  好 今天我們要來分享的主題是
[00:00:04.000 --> 00:00:06.000]  給你的好消息
[00:00:06.000 --> 00:00:08.000]  跟你旁邊的人說給你的好消息
[00:00:08.000 --> 00:00:10.000]  給你的好消息
[00:00:10.000 --> 00:00:14.000]  好 那我們要先來看一個
[00:00:14.000 --> 00:00:19.000]  看一個很久很久很久以前的故事
[00:00:19.000 --> 00:00:22.000]  在很久很久以前
[00:00:22.000 --> 00:00:25.000]  一個曠野裡面
[00:00:25.000 --> 00:00:27.000]  有一些牧羊人
[00:00:27.000 --> 00:00:29.000]  想像一下牧羊人
[00:00:29.000 --> 00:00:32.000]  牠們大概長什麼樣子
[00:00:32.000 --> 00:00:35.000]  牧羊人在做什麼呢
[00:00:35.000 --> 00:00:36.000]  牧羊
[00:00:36.000 --> 00:00:39.000]  牧羊人就是要看顧牠們的羊群
[00:00:39.000 --> 00:00:42.000]  牠們的工作就是看顧羊群
[00:00:42.000 --> 00:00:44.000]  那牠們要很謹慎
[00:00:44.000 --> 00:00:47.000]  因為野獸可能會來這樣
[00:00:47.000 --> 00:00:49.000]  傷害羊群
[00:00:49.000 --> 00:00:52.000]  野獸可能會來吞吃羊群
[00:00:52.000 --> 00:00:54.000]  白天牠們要放牧羊群
[00:00:54.000 --> 00:00:58.000]  夜晚牠們也要輪流守夜
[00:00:58.000 --> 00:01:00.000]  免得野獸夜晚來襲
[00:01:00.000 --> 00:01:02.000]  那在看守羊群的時候
[00:01:02.000 --> 00:01:05.000]  牠們要把墓葬握在手裡
[00:01:05.000 --> 00:01:10.000]  然後眼觀四面
[00:01:10.000 --> 00:01:12.000]  耳聽八方
[00:01:12.000 --> 00:01:15.000]  環視四周
[00:01:15.000 --> 00:01:16.000]  瞻前顧後
[00:01:16.000 --> 00:01:19.000]  只是牠不知道牠們會不會屬羊
[00:01:19.000 --> 00:01:20.000]  因為如果屬羊的話
[00:01:20.000 --> 00:01:22.000]  可能會讓牠們睡著
[00:01:22.000 --> 00:01:24.000]  所以不曉得牠們會不會屬羊
[00:01:24.000 --> 00:01:26.000]  但是這群牧羊人
[00:01:26.000 --> 00:01:29.000]  牠們在當時的社會文化當中
[00:01:29.000 --> 00:01:32.000]  牠們是社會地位比較低的
[00:01:32.000 --> 00:01:35.000]  牠們是比較被輕視的一群人
[00:01:35.000 --> 00:01:38.000]  那牠們在放羊的時候
[00:01:38.000 --> 00:01:41.000]  會想些什麼
[00:01:41.000 --> 00:02:02.000]  牠們可能會討論一些什麼事情
[00:02:02.000 --> 00:02:04.000]  羊照顧好
[00:02:04.000 --> 00:02:06.000]  是這樣嗎
[00:02:06.000 --> 00:02:07.000]  還有呢
[00:02:07.000 --> 00:02:10.000]  牠們還會討論什麼事情
[00:02:10.000 --> 00:02:11.000]  星星
[00:02:11.000 --> 00:02:13.000]  今天晚上星星很漂亮
[00:02:13.000 --> 00:02:16.000]  聽說前幾天有流星
[00:02:16.000 --> 00:02:17.000]  還有呢
[00:02:17.000 --> 00:02:19.000]  牠們還會討論什麼
[00:02:19.000 --> 00:02:21.000]  家裡的事情
[00:02:21.000 --> 00:02:23.000]  牠們跟我們一樣
[00:02:23.000 --> 00:02:24.000]  那我們在一起的時候
[00:02:24.000 --> 00:02:28.000]  會討論些什麼事情
[00:02:28.000 --> 00:02:30.000]  什麼事都討論對不對
[00:02:30.000 --> 00:02:32.000]  特別國家大事
[00:02:32.000 --> 00:02:35.000]  偶爾也會討論一下對不對
[00:02:35.000 --> 00:02:36.000]  在牠們那個時候
[00:02:36.000 --> 00:02:38.000]  牠們也可能會討論一下
[00:02:38.000 --> 00:02:40.000]  當時的熱門新聞
[00:02:40.000 --> 00:02:42.000]  當時有一個話題
[00:02:42.000 --> 00:02:44.000]  和牠們息息相關
[00:02:44.000 --> 00:02:45.000]  那個話題是什麼呢
[00:02:45.000 --> 00:02:48.000]  那個話題就是牠們當時的政府
[00:02:48.000 --> 00:02:50.000]  下了一道命令
[00:02:50.000 --> 00:02:53.000]  要進行人口普查
[00:02:53.000 --> 00:02:55.000]  要登記戶籍
[00:02:55.000 --> 00:02:57.000]  為什麼呢
[00:02:57.000 --> 00:02:58.000]  你們知道為什麼要登記戶籍
[00:02:58.000 --> 00:03:00.000]  為什麼要人口普查
[00:03:00.000 --> 00:03:03.000]  為什麼要點人頭
[00:03:03.000 --> 00:03:04.000]  通常我們在算人頭的時候
[00:03:04.000 --> 00:03:07.000]  是要做哪些事情
[00:03:07.000 --> 00:03:12.000]  繳錢的時候
[00:03:12.000 --> 00:03:15.000]  要發便當的時候
[00:03:15.000 --> 00:03:17.000]  要繳錢的時候
[00:03:17.000 --> 00:03:19.000]  通常就是跟我們要
[00:03:19.000 --> 00:03:22.000]  有一些這些作為的時候
[00:03:22.000 --> 00:03:23.000]  會要點人頭
