
[00:00:00.000 --> 00:00:05.420]  過去幾個月 東方閃電 無孔不入
[00:00:05.420 --> 00:00:11.840]  無論在地鐵的出口 在旺的地方 一檔一檔的攤檔
[00:00:11.840 --> 00:00:17.960]  甚至在街頭巷尾 他們都到處向人派他們的單張
[00:00:17.960 --> 00:00:23.420]  我想問一問有多少個你在地鐵的出口 旺的地方 街頭巷尾
[00:00:23.420 --> 00:00:27.240]  有聽過 看過 或者你看報紙都看到
[00:00:27.240 --> 00:00:29.720]  東方閃電 這些人的傳教
[00:00:29.720 --> 00:00:32.340]  我請你舉手好不好 舉那些
[00:00:32.340 --> 00:00:38.640]  嘩 你看一看 我想八成以上的頂尖智媒都看到 聽到
[00:00:38.640 --> 00:00:40.520]  接著第二個問題想問
[00:00:40.520 --> 00:00:49.440]  有多少人在地鐵的出口 旺的 街頭巷尾 或者 甚至在附近
[00:00:49.440 --> 00:00:55.240]  有看過 聽過 拿過恩福的頂尖智媒向你派傳單
[00:00:55.240 --> 00:00:59.480]  邀請你來的 我請你舉手
[00:00:59.480 --> 00:01:02.120]  一隻手都沒有
[00:01:02.120 --> 00:01:05.160]  這個就是分別
[00:01:05.160 --> 00:01:07.320]  頂尖智媒
[00:01:07.320 --> 00:01:11.640]  最近 剛剛幾天前收到一份東西
[00:01:11.640 --> 00:01:17.440]  就是有感而發的 一些的目者說了出來
[00:01:17.440 --> 00:01:20.560]  整個的歐洲
[00:01:20.560 --> 00:01:25.960]  曾幾何時 教會是大多數
[00:01:25.960 --> 00:01:34.720]  但是現在 已經成為一個被逼迫的少數
[00:01:34.720 --> 00:01:42.520]  美國 加拿大 同樣走著這一條的路
[00:01:42.520 --> 00:01:46.280]  我都讓大家知道 遲早有一天
[00:01:46.280 --> 00:01:49.120]  如果我們不急起直追
[00:01:49.120 --> 00:01:52.400]  我對這個福音沒有一種的緊迫性
[00:01:52.400 --> 00:01:57.000]  傳福音 也都 傳不傳都沒有所謂
[00:01:57.000 --> 00:02:00.800]  然後被那些異端 那些邪教 各方面的人
[00:02:00.800 --> 00:02:05.720]  霸佔街頭巷尾 到處去傳
[00:02:05.720 --> 00:02:08.840]  遲早有一天 你會發覺到
[00:02:08.840 --> 00:02:12.080]  就是這個從聖經而來的價值觀
[00:02:12.080 --> 00:02:16.280]  會變成色微 沒人聽得到
[00:02:16.280 --> 00:02:18.680]  在這個世界裏面聽到的
[00:02:18.680 --> 00:02:27.280]  都是一些不合神心意的人生觀 價值觀 道德觀 婚姻觀
[00:02:27.280 --> 00:02:33.680]  剛剛昨天 我收到一份東西
[00:02:33.680 --> 00:02:36.920]  是講到紐西蘭有一個組織在他們的Facebook
[00:02:36.920 --> 00:02:45.120]  設立專頁 爭取他們那種婚姻合法化
[00:02:45.120 --> 00:02:47.800]  他們那種婚姻呢 大家都知道
[00:02:47.800 --> 00:02:51.760]  紐西蘭其實都已經通過了同性婚姻合法化了
[00:02:51.760 --> 00:02:54.400]  通過了 但是一通過之後
[00:02:54.400 --> 00:02:58.240]  很短的時間 這個組織已經成立
[00:02:58.240 --> 00:03:05.640]  這個組織呢 是叫做多夫多妻合法化的組織
[00:03:05.640 --> 00:03:09.520]  他們很簡單
[00:03:09.520 --> 00:03:15.720]  你們一夫一妻 是你們選擇的自由
[00:03:15.720 --> 00:03:22.880]  我們的選擇的自由 就是無界限
[00:03:22.880 --> 00:03:28.160]  人都喜歡新鮮 人都喜歡多些選擇
[00:03:28.160 --> 00:03:35.160]  為什麼你不給我們 將這些無謂的框框打倒
[00:03:35.160 --> 00:03:44.640]  然後讓我們一起享受真正大愛無限的境界呢
[00:03:44.640 --> 00:03:52.040]  這個境界就是多妻多夫 換句話來說
[00:03:52.040 --> 00:03:57.240]  任何人都可以是他的妻 任何人都可以是他們的夫
[00:03:57.240 --> 00:04:03.840]  你只要願意加入這個組織 你就可以做了
[00:04:03.840 --> 00:04:10.360]  上一上去看一看Polygamy
[00:04:10.360 --> 00:04:16.320]  這個Facebook你會看到很多他們的宣傳
[00:04:16.320 --> 00:04:22.200]  東方閃電這個邪教 無所不用其極
[00:04:22.200 --> 00:04:26.320]  他們用謊話 用色誘 用錢財的誘惑
[00:04:26.320 --> 00:04:31.640]  用綁架 用迷惑 用迷藥
[00:04:31.640 --> 00:04:35.240]  那些是連不信的人都不會用的手段
[00:04:35.240 --> 00:04:39.080]  他們全部全部都會用
[00:04:39.080 --> 00:04:43.560]  但他們稱他們的教會是甚麼呢 是叫做全能神教會
[00:04:43.560 --> 00:04:48.480]  後來在香港他們發覺全能神教會這個名字臭了
[00:04:48.480 --> 00:04:52.800]  太多人知道了 每個記者都追著來
[00:04:52.800 --> 00:04:55.720]  所以他們改了個名 叫做新歌教會
[00:04:55.720 --> 00:04:57.720]  仍然是叫做教會
[00:04:57.720 --> 00:05:00.920]  然後在另一個地方也可能會有另一種的名
[00:05:00.920 --> 00:05:04.000]  我們都不知道那些是不是跟他們有關的
[00:05:04.000 --> 00:05:08.520]  另一方面 統一教又說他自己是教會
[00:05:08.520 --> 00:05:17.680]  甚至是一個全世界一個共和 和諧 愛的教會
[00:05:17.680 --> 00:05:23.600]  基督門徒福音會公開否定三位一體的信仰
[00:05:23.600 --> 00:05:27.000]  張熹和否定了三位一體的信仰的時候
[00:05:27.000 --> 00:05:33.120]  他們的教會仍然叫做基督門徒福音會的教會
[00:05:33.120 --> 00:05:35.320]  仍然是叫做教會
[00:05:35.320 --> 00:05:37.560]  他們的教會
[00:05:37.560 --> 00:05:41.880]  我們看到所有這些異端邪教
