
[00:00:00.000 --> 00:00:04.000]  在剛過去星期在電視裏面
[00:00:04.000 --> 00:00:08.500]  就是無線來介紹一個國家
[00:00:08.500 --> 00:00:12.000]  一個最慘 全世界最慘的國家
[00:00:12.000 --> 00:00:13.500]  知不知道是哪個國家
[00:00:13.500 --> 00:00:17.000]  有人看過這個節目
[00:00:17.000 --> 00:00:19.000]  就是委內瑞拉
[00:00:19.000 --> 00:00:21.000]  這個委內瑞拉的國家
[00:00:21.000 --> 00:00:22.500]  因為油價下跌
[00:00:22.500 --> 00:00:28.500]  以致物價通脹高達80%
[00:00:28.500 --> 00:00:32.500]  大家在昨天的新聞看到
[00:00:32.500 --> 00:00:36.500]  委內瑞拉有些超級市場被人搶落一空
[00:00:36.500 --> 00:00:39.500]  因為那些人要排隊買東西
[00:00:39.500 --> 00:00:41.500]  糧食短缺等等
[00:00:41.500 --> 00:00:47.500]  你會活在一個這麼悲慘的國家裏面
[00:00:47.500 --> 00:00:48.500]  你會怎樣
[00:00:48.500 --> 00:00:50.500]  你一定會想
[00:00:50.500 --> 00:00:52.500]  當然很多人死了 要死了
[00:00:52.500 --> 00:00:54.500]  這麼慘真的要死
[00:00:54.500 --> 00:00:59.500]  那些青年人說沒有手機上網都要死了
[00:00:59.500 --> 00:01:01.500]  在這麼慘的地方
[00:01:01.500 --> 00:01:03.500]  當然很多人死了
[00:01:03.500 --> 00:01:05.500]  奇怪
[00:01:05.500 --> 00:01:08.500]  這個介紹裏面問那些華人
[00:01:08.500 --> 00:01:11.500]  多不多人死 多不多人自殺
[00:01:11.500 --> 00:01:13.500]  那個華人說
[00:01:13.500 --> 00:01:15.500]  都聽不到的
[00:01:15.500 --> 00:01:17.500]  沒有人自殺的
[00:01:17.500 --> 00:01:20.500]  這麼慘的地方都沒有人自殺
[00:01:20.500 --> 00:01:24.500]  其實據一些資料顯示都有
[00:01:24.500 --> 00:01:28.500]  十萬個有四至五個左右
[00:01:28.500 --> 00:01:30.500]  這樣的人自殺真的很低
[00:01:30.500 --> 00:01:34.500]  在一個這麼慘 全世界最慘的地方
[00:01:34.500 --> 00:01:37.500]  竟然這麼少人自殺
[00:01:37.500 --> 00:01:40.500]  為甚麼一個這麼富裕的日本
[00:01:40.500 --> 00:01:43.500]  但十萬人竟然有二十多人自殺呢
[00:01:43.500 --> 00:01:46.500]  很奇怪
[00:01:46.500 --> 00:01:49.500]  我們受甚麼影響呢
[00:01:49.500 --> 00:01:53.500]  是環境決定我們慘與
[00:01:53.500 --> 00:01:56.500]  我們的心開不開心
[00:01:56.500 --> 00:01:58.500]  還是甚麼決定呢
[00:01:58.500 --> 00:02:02.500]  你覺得快樂是怎樣得來的呢
[00:02:02.500 --> 00:02:05.500]  很多人說快樂因為我有那些東西
[00:02:05.500 --> 00:02:07.500]  我有手機上網
[00:02:07.500 --> 00:02:08.500]  我有大屋
[00:02:08.500 --> 00:02:09.500]  我有工作
[00:02:09.500 --> 00:02:10.500]  我就快樂了
[00:02:10.500 --> 00:02:12.500]  你會不會這樣想
[00:02:12.500 --> 00:02:14.500]  我能夠長壽我就快樂
[00:02:14.500 --> 00:02:16.500]  我沒有病沒有痛我就快樂了
[00:02:16.500 --> 00:02:19.500]  究竟快樂源於哪裏
[00:02:19.500 --> 00:02:21.500]  你有沒有想過這個問題
[00:02:21.500 --> 00:02:28.500]  有一個專家說
[00:02:28.500 --> 00:02:32.500]  快樂不是在外在的環境
[00:02:32.500 --> 00:02:36.500]  快樂是取決於你的心靈
[00:02:36.500 --> 00:02:38.500]  他引用了幾個例子
[00:02:38.500 --> 00:02:42.500]  第一 不知道大家的孫子
[00:02:42.500 --> 00:02:46.500]  或者你的小朋友有沒有偏食
[00:02:46.500 --> 00:02:49.500]  很多小朋友不喜歡吃菜
[00:02:49.500 --> 00:02:50.500]  不知道你的小朋友
[00:02:50.500 --> 00:02:51.500]  你的孫子
[00:02:51.500 --> 00:02:52.500]  或者你的子女
[00:02:52.500 --> 00:02:54.500]  是不是不喜歡吃菜
[00:02:54.500 --> 00:02:56.500]  他說你嘗試一下
[00:02:56.500 --> 00:03:00.500]  你告訴他這些菜是麥當勞買回來的
[00:03:00.500 --> 00:03:02.500]  他會怎樣
[00:03:02.500 --> 00:03:05.500]  一聽到麥當勞這三個字
[00:03:05.500 --> 00:03:07.500]  立即改變了甚麼
[00:03:07.500 --> 00:03:10.500]  改變他的味蕾也說不定
[00:03:10.500 --> 00:03:12.500]  改變他的感覺也說不定
[00:03:12.500 --> 00:03:15.500]  麥當勞是不一樣的
[00:03:15.500 --> 00:03:17.500]  是不是這樣
[00:03:17.500 --> 00:03:18.500]  你是不是這樣
[00:03:18.500 --> 00:03:19.500]  想一想
[00:03:19.500 --> 00:03:21.500]  真的
[00:03:21.500 --> 00:03:22.500]  這裏有兩個麵包
[00:03:22.500 --> 00:03:23.500]  不知道你試過沒有
[00:03:23.500 --> 00:03:27.500]  一個叫安格斯漢堡包
[00:03:27.500 --> 00:03:29.500]  試過沒有
[00:03:29.500 --> 00:03:31.500]  一個巨無霸
[00:03:31.500 --> 00:03:33.500]  哪個比較好吃
[00:03:33.500 --> 00:03:39.500]  你都沒有吃過怎麼知道
[00:03:39.500 --> 00:03:42.500]  是呀 怎麼知道
[00:03:42.500 --> 00:03:46.500]  你又知道
[00:03:46.500 --> 00:03:49.500]  誰決定他比較好吃
[00:03:49.500 --> 00:03:53.500]  安格斯的名字
[00:03:53.500 --> 00:03:58.500]  我吃過差不多
[00:03:58.500 --> 00:04:00.500]  因為安格斯
[00:04:00.500 --> 00:04:03.500]  所以其實你開不開心
[00:04:03.500 --> 00:04:05.500]  都是甚麼
[00:04:05.500 --> 00:04:07.500]  有時不是那個環境
[00:04:07.500 --> 00:04:09.500]  是不是很好吃
[00:04:09.500 --> 00:04:13.500]  我不是鼓吹你喝紅酒
[00:04:13.500 --> 00:04:16.500]  一看紅酒好不好喝
[00:04:16.500 --> 00:04:18.500]  你會看是甚麼
[00:04:18.500 --> 00:04:19.500]  是不是很貴
[00:04:19.500 --> 00:04:21.500]  看看是甚麼
