
[00:00:00.000 --> 00:00:02.120]  二賽亞書第六章八節
[00:00:02.120 --> 00:00:05.400]  是一段非常熟悉的經文
[00:00:05.400 --> 00:00:10.960]  劍美說「我可以差遣誰呢?誰肯為我們去呢?」
[00:00:10.960 --> 00:00:15.080]  接著二賽亞說「我在這裡請差遣我」
[00:00:15.080 --> 00:00:18.760]  差不多是宣教月的金句
[00:00:18.760 --> 00:00:20.800]  但說到復興
[00:00:20.800 --> 00:00:25.760]  我認為我們必須用多些時間去看整個第六章
[00:00:25.760 --> 00:00:27.400]  由一節看到第十三節
[00:00:27.400 --> 00:00:29.080]  不要只停在第八節
[00:00:29.080 --> 00:00:32.880]  因為第九到十三節結尾
[00:00:32.880 --> 00:00:34.960]  其實大家都很熟悉
[00:00:34.960 --> 00:00:38.360]  四頁課音書、《士徒行傳》、《羅馬書》
[00:00:38.360 --> 00:00:41.680]  都引用之後二賽亞說的話
[00:00:41.680 --> 00:00:44.680]  所以當我們把整個第六章看的時候
[00:00:44.680 --> 00:00:48.040]  我們就能夠更加全面去理解
[00:00:48.040 --> 00:00:52.160]  二賽亞親身經歷到的神的復興
[00:00:52.160 --> 00:00:54.600]  如果大家手上有聖經或手機
[00:00:54.600 --> 00:00:58.400]  我鼓勵大家打開來看二賽亞書第六章
[00:00:58.400 --> 00:01:01.040]  這樣就更容易了解上文下理
[00:01:01.040 --> 00:01:04.920]  不過在進入二賽亞書第六章之前
[00:01:04.920 --> 00:01:06.720]  我想和大家先去思想一下
[00:01:06.720 --> 00:01:11.120]  究竟復興的意思是什麼呢?
[00:01:11.120 --> 00:01:13.280]  從字面上來看
[00:01:13.280 --> 00:01:16.200]  Revive 大家都知道這個字根
[00:01:16.200 --> 00:01:19.320]  意思是使一個人復活
[00:01:19.320 --> 00:01:23.840]  復活、復興不只是保溫
[00:01:23.840 --> 00:01:28.840]  好像把食物放回廚房的暖爐上
[00:01:28.840 --> 00:01:31.200]  復興不是補鮮
[00:01:31.200 --> 00:01:34.560]  不是把食物放進雪櫃裡
[00:01:34.560 --> 00:01:38.320]  復興不是把食物在冰箱解凍
[00:01:38.320 --> 00:01:41.960]  用微波爐來加熱
[00:01:41.960 --> 00:01:44.440]  復興究竟是什麼意思呢?
[00:01:44.440 --> 00:01:47.880]  復興是鹹魚翻生
[00:01:47.880 --> 00:01:51.280]  就像死魚下水配色油水
[00:01:52.120 --> 00:01:54.960]  復興應用在一個人的身上
[00:01:54.960 --> 00:01:57.120]  是指一個死人的復活
[00:01:57.120 --> 00:02:00.560]  復興應用在一個婚姻上
[00:02:00.560 --> 00:02:03.080]  是指已經離異了的
[00:02:03.080 --> 00:02:05.080]  分居離婚的夫婦
[00:02:05.080 --> 00:02:08.520]  能夠破鏡重圓重新在一起
[00:02:08.520 --> 00:02:11.000]  復興應用在一間公司裡
[00:02:11.000 --> 00:02:13.040]  是指一個已經破產
[00:02:13.040 --> 00:02:14.960]  就是Job Chapter 11 之後
[00:02:14.960 --> 00:02:16.520]  能夠脫離破產
[00:02:16.520 --> 00:02:18.680]  恢復正常的營運
[00:02:18.680 --> 00:02:21.720]  復興如果應用在一個國家來說
[00:02:21.720 --> 00:02:23.440]  是指一個像以色列那樣
[00:02:23.440 --> 00:02:26.320]  亡國已經好幾千年的國家
[00:02:26.320 --> 00:02:28.200]  能夠重新復活
[00:02:28.200 --> 00:02:32.920]  所以復興其實是從無生有
[00:02:32.920 --> 00:02:36.280]  復興如果應用在一間房屋裡
[00:02:36.280 --> 00:02:38.680]  就不只是翻新
[00:02:38.680 --> 00:02:40.520]  改一下地毯
[00:02:40.520 --> 00:02:42.840]  改一下油裝修
[00:02:42.840 --> 00:02:47.320]  復興是指把房子完全清拆
[00:02:47.320 --> 00:02:50.240]  然後從地基開始重新建造
[00:02:50.440 --> 00:02:52.720]  復興不只是休養
[00:02:52.720 --> 00:02:54.520]  不是有些小毛病
[00:02:54.520 --> 00:02:56.240]  或者有些小創傷
[00:02:56.240 --> 00:02:57.560]  他要去治療
[00:02:57.560 --> 00:03:03.120]  復興是至少已經死到心跳都沒了
[00:03:03.120 --> 00:03:05.920]  那些人重新救出來
[00:03:05.920 --> 00:03:09.280]  如果我們意思不是說復興的時候
[00:03:09.280 --> 00:03:13.040]  其實我們有很多的基督教術語可以用
[00:03:13.040 --> 00:03:15.320]  有時候我們真的需要休息
[00:03:15.320 --> 00:03:19.000]  有時候我們真的要買個漂亮的床褥睡覺
[00:03:19.560 --> 00:03:23.400]  有時候我們的事情
