
[00:00:00.000 --> 00:00:05.000]  今天是十二月,想和大家思想亞國書一個題目
[00:00:05.000 --> 00:00:08.000]  四章十三至十七節,回顧互回應
[00:00:08.000 --> 00:00:12.000]  或者開始的時候,我們可以一起重新圖局
[00:00:12.000 --> 00:00:13.000]  天父,我們再一次感謝你
[00:00:13.000 --> 00:00:16.000]  給你寶貴的話語作為我們生命的指引
[00:00:16.000 --> 00:00:21.000]  求你藉著你的話語去提醒、勸勉、教導、督責、安慰、挑戰我們
[00:00:21.000 --> 00:00:26.000]  讓我們能夠在生命有改變,心態有改變
[00:00:26.000 --> 00:00:29.000]  奉耶穌基督名求,阿們
[00:00:29.000 --> 00:00:33.000]  在1998年,出名的電影導演Steven Spielberg
[00:00:33.000 --> 00:00:36.000]  拍出一套我認為是非常出色的電影
[00:00:36.000 --> 00:00:38.000]  中文名叫《雷霆救兵》
[00:00:38.000 --> 00:00:40.000]  有多少人看過這齣電影?
[00:00:40.000 --> 00:00:42.000]  哇,差不多一半看過
[00:00:42.000 --> 00:00:44.000]  就是《Saving Private Ryan》
[00:00:44.000 --> 00:00:49.000]  這一套表面上看來是一套有關戰爭殘酷的電影
[00:00:49.000 --> 00:00:53.000]  是第二次世界大戰的時候,在歐洲所發生的一個故事
[00:00:53.000 --> 00:00:56.000]  但是如果你深看一層這個電影的時候
[00:00:56.000 --> 00:00:59.000]  其實它是在說人生的問題
[00:00:59.000 --> 00:01:01.000]  第二次世界大戰的時候
[00:01:01.000 --> 00:01:05.000]  1944年6月6日,民軍在諾曼底登陸
[00:01:05.000 --> 00:01:07.000]  但是它反攻
[00:01:07.000 --> 00:01:12.000]  當時美軍的一個士兵叫Captain John Miller
[00:01:12.000 --> 00:01:17.000]  帶著他自己的隊伍在Omaha Beach登陸
[00:01:17.000 --> 00:01:20.000]  但是遇到德軍強烈的一個抵抗
[00:01:20.000 --> 00:01:26.000]  幾乎他的隊伍裡有一半的士兵喪生
[00:01:26.000 --> 00:01:30.000]  當他登陸成功了,繼續前進的時候
[00:01:30.000 --> 00:01:37.000]  突然之間,美軍的總帥有電報下來找John Miller
