
[00:00:00.000 --> 00:00:05.000]  今天我們又可以一齊在教會的敬拜。
[00:00:05.000 --> 00:00:09.000]  三月是我們教會的關愛年會。
[00:00:09.000 --> 00:00:12.000]  每一年呢,我們現在定了三月,
[00:00:12.000 --> 00:00:18.000]  都會思想到世界上很多不同地方,
[00:00:18.000 --> 00:00:22.000]  香港以外的第三世界,或者缺乏的地方,
[00:00:22.000 --> 00:00:25.000]  我們都會有為它禱告啦,
[00:00:25.000 --> 00:00:31.000]  為它們的地方,我們有一些奉獻啦。
[00:00:31.000 --> 00:00:36.000]  教會又會差派不同的使者,關愛使者,
[00:00:36.000 --> 00:00:41.000]  去那裏服事,去那裏關懷,去見證。
[00:00:41.000 --> 00:00:43.000]  現在世界好混亂,
[00:00:43.000 --> 00:00:46.000]  今天會藉著創世紀二十六章,
[00:00:46.000 --> 00:00:48.000]  一齊去思想一個題目叫做,
[00:00:48.000 --> 00:00:55.000]  懼怕者的倚靠。
[00:00:55.000 --> 00:00:59.000]  領子妹,今天你心裏面有沒有什麼懼怕?
[00:00:59.000 --> 00:01:02.000]  我們會從這段經文,創世紀二十六章,
[00:01:02.000 --> 00:01:07.000]  一齊去思考,當屬神的人遇到恐懼的時候,
[00:01:07.000 --> 00:01:13.000]  他怎樣倚靠神來渡過所有的難關呢?
[00:01:13.000 --> 00:01:20.000]  我們一齊在神面前安靜禱告。
[00:01:20.000 --> 00:01:26.000]  天上的阿爸父,我們再一次來您面前俯伏,
[00:01:26.000 --> 00:01:29.000]  來您面前敬拜。
[00:01:29.000 --> 00:01:32.000]  我們會唱感恩讚美的詩歌,
[00:01:32.000 --> 00:01:35.000]  我們會唱歡喜快樂的詩歌,
[00:01:35.000 --> 00:01:38.000]  不是因為我們看不到世上很多的痛苦,
[00:01:38.000 --> 00:01:41.000]  很多的戰亂,很多的不幸,
[00:01:41.000 --> 00:01:45.000]  但是我們知道,我們不只是看到地上,
[00:01:45.000 --> 00:01:48.000]  我們也看天上,
[00:01:48.000 --> 00:01:51.000]  看到聖經你老祖已經預言,
[00:01:51.000 --> 00:01:56.000]  在末世的日子,基督你回來之前,
[00:01:56.000 --> 00:01:58.000]  世界上會有很多戰亂,
[00:01:58.000 --> 00:02:01.000]  很多人的罪會顯出來,
[00:02:01.000 --> 00:02:05.000]  周圍去屠殺,肆意妄為,
[00:02:05.000 --> 00:02:07.000]  但是神祢仍然在掌管,
[00:02:07.000 --> 00:02:10.000]  我求主祢讓他們敬畏祢的心,
[00:02:10.000 --> 00:02:14.000]  知道我們不要向罪去妥協,
[00:02:14.000 --> 00:02:16.000]  不要因為別人用暴力,
[00:02:16.000 --> 00:02:21.000]  我們又繼續去反應,去回應更多的暴力,
[00:02:21.000 --> 00:02:24.000]  求主祢真的讓我們有智慧,
[00:02:24.000 --> 00:02:28.000]  今天我們來到關愛年會,
[00:02:28.000 --> 00:02:31.000]  去到在各地的很多基督徒,
[00:02:31.000 --> 00:02:33.000]  成為關愛使者,
[00:02:33.000 --> 00:02:36.000]  去見證祢,去傳揚祢的福音,
[00:02:36.000 --> 00:02:38.000]  有去服事,
[00:02:38.000 --> 00:02:41.000]  有些地方他們不能夠去講,
[00:02:41.000 --> 00:02:43.000]  他們用他們生命的見證,
