
[00:00:00.000 --> 00:00:05.400]  近來如果大家去留意本地新聞
[00:00:05.400 --> 00:00:12.060]  我相信除了有一宗新聞不斷有爭論、有報道
[00:00:12.060 --> 00:00:14.480]  就是佔領中環
[00:00:14.480 --> 00:00:16.660]  另外你看到報紙的時候
[00:00:16.660 --> 00:00:21.360]  會不會看到近期在說一個叫做Plan B
[00:00:21.360 --> 00:00:22.580]  Plan B
[00:00:22.580 --> 00:00:25.780]  如果你沒有追過新聞
[00:00:25.780 --> 00:00:27.320]  可能你會覺得一頭霧水
[00:00:27.320 --> 00:00:29.980]  哪一家電訊公司這麼厲害
[00:00:29.980 --> 00:00:31.580]  他出一個Plan B
[00:00:31.580 --> 00:00:34.420]  真的可以上頭條?這麼厲害?
[00:00:34.420 --> 00:00:35.660]  其實當然不是
[00:00:35.660 --> 00:00:38.560]  其實這個Plan B是什麼呢?
[00:00:38.560 --> 00:00:41.620]  有報道說有靈通消息人士說
[00:00:41.620 --> 00:00:43.840]  中央因為不滿特首的表現
[00:00:43.840 --> 00:00:45.480]  所以會有一個換特首的計劃
[00:00:45.480 --> 00:00:48.440]  這個計劃就是叫做Plan B的由來
[00:00:48.440 --> 00:00:51.880]  但是今天的講題是Plan C
[00:00:51.880 --> 00:00:53.180]  Plan C
[00:00:53.180 --> 00:00:55.740]  就是說什麼呢?
[00:00:55.740 --> 00:00:59.840]  其實我根本沒有注意
[00:00:59.840 --> 00:01:02.080]  OK
[00:01:02.080 --> 00:01:04.760]  我之後不知道怎麼說
[00:01:04.760 --> 00:01:08.500]  其實Plan C當然我原意不是這樣
[00:01:08.500 --> 00:01:11.100]  其實是在說
[00:01:11.100 --> 00:01:12.820]  面對一些困難
[00:01:12.820 --> 00:01:15.460]  面對一些困難問題的時候
[00:01:15.460 --> 00:01:17.020]  是不是有神的心意呢?
[00:01:17.020 --> 00:01:21.020]  面對一些困難或者問題是不是有神的心意呢?
[00:01:21.020 --> 00:01:23.400]  如果有的話
[00:01:23.400 --> 00:01:25.160]  我們怎麼處理呢?
[00:01:25.160 --> 00:01:28.980]  神想我們採取哪一個計劃呢?
[00:01:28.980 --> 00:01:30.640]  一起打開一段經文
[00:01:30.640 --> 00:01:32.840]  這一段經文大家非常熟悉的
[00:01:32.840 --> 00:01:33.780]  我相信
[00:01:33.780 --> 00:01:37.620]  就是《歷代之下》七章十三到十四節
[00:01:37.620 --> 00:01:41.640]  《歷代之下》七章十三到十四節
[00:01:41.640 --> 00:01:47.580]  《歷代之下》
[00:01:47.580 --> 00:01:49.340]  夠弱的
[00:01:49.340 --> 00:01:49.880]  夠弱
[00:01:49.880 --> 00:01:50.880]  《歷代之下》
[00:01:50.880 --> 00:01:55.080]  《歷代之下》七章十三到十四節
[00:01:58.200 --> 00:01:59.980]  找到的話我們一起讀這一段經文
[00:01:59.980 --> 00:02:02.980]  因為大家很熟悉
[00:02:02.980 --> 00:02:04.700]  我相信有些人會會背
[00:02:04.700 --> 00:02:06.220]  但是我們也一起讀
[00:02:06.220 --> 00:02:06.620]  預備
[00:02:06.620 --> 00:02:07.800]  一二三
[00:02:07.800 --> 00:02:10.680]  我若使天閉塞不下雨
[00:02:10.680 --> 00:02:13.480]  或使蝗蟲吃借地的出產
