
[00:00:00.000 --> 00:00:02.880]  在上個月的主撐崇拜當中
[00:00:02.880 --> 00:00:07.080]  我和大家試上試篇一百零四篇
[00:00:07.080 --> 00:00:12.800]  就將一百零四篇和《創世記》的第一章作爲一個對照
[00:00:12.800 --> 00:00:17.400]  《創世記》的第一章說到
[00:00:17.400 --> 00:00:23.280]  在創世以先大地是混沌的水
[00:00:23.280 --> 00:00:27.160]  神就從混沌去創造秩序
[00:00:27.160 --> 00:00:30.600]  神說有就有
[00:00:30.600 --> 00:00:33.240]  而且是十分的好
[00:00:33.240 --> 00:00:37.120]  所以在《創世記》的第一章三十一節這麼說
[00:00:37.120 --> 00:00:40.640]  神像一切所造的像那
[00:00:40.640 --> 00:00:44.800]  都非常好十分的好
[00:00:44.800 --> 00:00:47.920]  同樣詩人在詩篇一百零四篇
[00:00:47.920 --> 00:00:51.800]  是認同《創世記》第一章的說法
[00:00:51.800 --> 00:00:57.840]  是認定神所看見的事物是好的
[00:00:57.840 --> 00:01:01.280]  是認定是跟神的眼光去看
[00:01:01.280 --> 00:01:04.320]  周圍所創造的事物
[00:01:04.320 --> 00:01:08.280]  當然詩人他又說到他知道的
[00:01:08.280 --> 00:01:13.000]  他是見到世界仍然有混亂、苦難和邪惡
[00:01:13.000 --> 00:01:15.640]  但是他仍然看見
[00:01:15.640 --> 00:01:20.840]  他仍然看見神所創造的美好
[00:01:20.840 --> 00:01:24.480]  詩人就邀請我們一起去看世界
[00:01:24.480 --> 00:01:29.000]  經歷神和世界的美事
[00:01:29.000 --> 00:01:32.120]  雖然詩人是見到周圍有不好的地方
[00:01:32.120 --> 00:01:36.040]  不過詩人他說我見到一切美好的
[00:01:36.040 --> 00:01:37.480]  我要繼續的讚美神
[00:01:37.480 --> 00:01:39.760]  所以詩人就說
[00:01:39.760 --> 00:01:41.240]  我的心啊
[00:01:41.240 --> 00:01:43.720]  你要傾重耶和華
[00:01:43.720 --> 00:01:46.080]  耶和華我的神啊
[00:01:46.080 --> 00:01:49.240]  你爲至大
[00:01:49.240 --> 00:01:51.480]  講完這段經文以後
[00:01:51.480 --> 00:01:54.520]  我就鼓勵你們要跟神一樣
[00:01:54.520 --> 00:01:57.880]  用神的眼光看大自然的創造
[00:01:57.880 --> 00:02:00.160]  看一切所做的都非常好
[00:02:00.160 --> 00:02:04.040]  所以希望你們能夠
[00:02:04.040 --> 00:02:06.160]  可以愛大自然世界
[00:02:06.160 --> 00:02:09.320]  多點跑去大自然的當中
[00:02:09.320 --> 00:02:11.360]  打開你的心扉
[00:02:11.360 --> 00:02:15.920]  向這位造物主去唱讚美的詩歌
[00:02:15.920 --> 00:02:19.880]  與萬物結聯、與神去結聯
[00:02:19.880 --> 00:02:20.880]  講完不道之後
[00:02:20.880 --> 00:02:22.320]  我也跟大家說
[00:02:22.320 --> 00:02:25.120]  我們這些傳道人講完之後
[00:02:25.120 --> 00:02:26.680]  要做的
[00:02:26.680 --> 00:02:29.360]  要言聽恨從
[00:02:29.360 --> 00:02:31.680]  所以今天和你們交功課
[00:02:31.680 --> 00:02:33.840]  我做了
[00:02:33.840 --> 00:02:37.040]  我約了神學院的一位老師
[00:02:37.040 --> 00:02:38.880]  杜錦本博士
[00:02:38.880 --> 00:02:42.800]  去到馬鞍山的山腰走走
[00:02:42.800 --> 00:02:44.440]  他很喜歡行山的
[00:02:44.440 --> 00:02:48.880]  杜博士他說行山可以整理思緒
[00:02:48.880 --> 00:02:51.440]  可以能夠心扛神怡
[00:02:51.440 --> 00:02:55.080]  親近大自然、親近神
[00:02:55.080 --> 00:03:00.480]  接着我又約了陸倫傳牧師
[00:03:00.480 --> 00:03:02.640]  梁明財牧師
[00:03:02.640 --> 00:03:05.640]  去走走
[00:03:05.640 --> 00:03:09.440]  接着我今天早上
[00:03:09.440 --> 00:03:11.600]  我提過馬牧師
[00:03:11.600 --> 00:03:15.000]  我約了Winnie和Karen
[00:03:15.000 --> 00:03:17.040]  我稍後會逐一邀約
[00:03:17.040 --> 00:03:18.880]  昨天有位執士
[00:03:18.880 --> 00:03:20.800]  聽完我的分享之後
[00:03:20.800 --> 00:03:22.040]  說曹牧師
