
[00:00:00.000 --> 00:00:03.000]  今年的御府麒麟週四十天
[00:00:03.000 --> 00:00:07.000]  來到復活節這一天的時候
[00:00:07.000 --> 00:00:09.000]  我和大家有幾個視頻
[00:00:09.000 --> 00:00:15.000]  第三十八集是主耶穌復活
[00:00:15.000 --> 00:00:19.000]  在這三集裡面是復活第一、第二、第三
[00:00:19.000 --> 00:00:24.000]  向門徒顯現是第一個復活的題目
[00:00:24.000 --> 00:00:28.000]  由四十個角度看主耶穌基督復活
[00:00:28.000 --> 00:00:31.000]  時間關係或身體有軟弱
[00:00:31.000 --> 00:00:34.000]  工作等等未能準時完成
[00:00:34.000 --> 00:00:39.000]  不過和大家先看三十八、三十九、四十一
[00:00:39.000 --> 00:00:42.000]  是主耶穌復活一、二、三
[00:00:42.000 --> 00:00:43.000]  我們禱告
[00:00:43.000 --> 00:00:47.000]  讚美復活的主
[00:00:47.000 --> 00:00:52.000]  祢自己勝過人類最大的死亡
[00:00:52.000 --> 00:00:53.000]  這個問題
[00:00:53.000 --> 00:00:57.000]  主我們最大的就是死
[00:00:58.000 --> 00:01:01.000]  死成為困住了我們整個人
[00:01:01.000 --> 00:01:05.000]  成為我們人生一個最大的困局
[00:01:05.000 --> 00:01:10.000]  但原來死亡並不能將主耶穌自己驅禁
[00:01:10.000 --> 00:01:12.000]  讚美耶穌
[00:01:12.000 --> 00:01:15.000]  祢勝過死亡從死裡復活
[00:01:15.000 --> 00:01:18.000]  做到人無法做到的事情
[00:01:18.000 --> 00:01:22.000]  而祢就是救拔每一個一生因怕死
[00:01:22.000 --> 00:01:24.000]  成為死的奴隸的人
[00:01:25.000 --> 00:01:30.000]  讚美我們這些因怕死而成為死亡奴隸的主
[00:01:30.000 --> 00:01:34.000]  祢自己就像當日摩西一樣
[00:01:34.000 --> 00:01:38.000]  帶領著在埃及地做奴隸致死的人
[00:01:38.000 --> 00:01:42.000]  終於脫離埃及死亡的國度
[00:01:42.000 --> 00:01:45.000]  踏進永生之中
[00:01:45.000 --> 00:01:48.000]  讚美三一上主
[00:01:48.000 --> 00:01:50.000]  讚美父神
[00:01:50.000 --> 00:01:52.000]  祢愛我們救拔人類
[00:01:52.000 --> 00:01:57.000]  差顯愛子祢自己耶穌基督來到我們當中
[00:01:57.000 --> 00:02:02.000]  為我們勝過死亡釘在十字架上
[00:02:02.000 --> 00:02:04.000]  流血死
[00:02:04.000 --> 00:02:08.000]  而且埋葬復活
[00:02:08.000 --> 00:02:11.000]  在今天這個紀念復活的日子
[00:02:11.000 --> 00:02:13.000]  讚美上主
[00:02:13.000 --> 00:02:14.000]  感謝聖靈
[00:02:14.000 --> 00:02:17.000]  因為也是聖靈的大能
[00:02:17.000 --> 00:02:20.000]  讓耶穌基督從死裡復活
[00:02:20.000 --> 00:02:25.000]  顯明耶穌基督自己滿有神聖
[00:02:25.000 --> 00:02:27.000]  聖經這樣說
[00:02:27.000 --> 00:02:29.000]  按聖善的靈講
[00:02:29.000 --> 00:02:31.000]  使基督從死裡復活
[00:02:31.000 --> 00:02:34.000]  證明自己是神的已至
[00:02:34.000 --> 00:02:36.000]  讚美祢
[00:02:36.000 --> 00:02:38.000]  讚美三一上主
[00:02:38.000 --> 00:02:41.000]  昔在今在以後永在
[00:02:41.000 --> 00:02:44.000]  說過的就必定成就
[00:02:44.000 --> 00:02:47.000]  經上記載耶穌復活的事
[00:02:47.000 --> 00:02:50.000]  都一一應言
[00:02:50.000 --> 00:02:52.000]  願祢的名德就榮耀尊貴
[00:02:52.000 --> 00:02:54.000]  願一切各道權柄榮耀
[00:02:54.000 --> 00:02:56.000]  全歸我主
[00:02:56.000 --> 00:02:58.000]  阿們
[00:02:58.000 --> 00:03:00.000]  弟兄姊妹
[00:03:00.000 --> 00:03:04.000]  在第38講提到復活的第一的時候
[00:03:04.000 --> 00:03:07.000]  向門徒顯然
[00:03:07.000 --> 00:03:10.000]  復活的主耶穌在復活之後
[00:03:10.000 --> 00:03:12.000]  祂特別做的事情就是
[00:03:12.000 --> 00:03:15.000]  向門徒顯然
[00:03:15.000 --> 00:03:19.000]  路加福音24章第35節
[00:03:19.000 --> 00:03:21.000]  兩個人
[00:03:21.000 --> 00:03:26.000]  就把路上所遇見和抹餅的時候
[00:03:26.000 --> 00:03:29.000]  怎麼被他們認出來的事
[00:03:29.000 --> 00:03:31.000]  都說了一遍
[00:03:31.000 --> 00:03:36.000]  24章第35節這兩個人
[00:03:36.000 --> 00:03:39.000]  就是他們在那一天
[00:03:39.000 --> 00:03:45.000]  他們見到主耶穌被害
[00:03:45.000 --> 00:03:48.000]  被抓去殺死埋葬
[00:03:48.000 --> 00:03:51.000]  一班門徒除了這十二個門徒
[00:03:51.000 --> 00:03:53.000]  一班門徒都聚集很多個
[00:03:53.000 --> 00:03:56.000]  其實主耶穌不止十二個門徒
[00:03:56.000 --> 00:03:58.000]  祂曾經試過有七十人
[00:03:58.000 --> 00:04:00.000]  把他們派出去兩個兩個
[00:04:00.000 --> 00:04:02.000]  這樣傳福音
[00:04:02.000 --> 00:04:04.000]  另外聖經保羅說
[00:04:04.000 --> 00:04:06.000]  祂有二百個信徒
[00:04:06.000 --> 00:04:09.000]  後來說祂有五百人一齊
[00:04:09.000 --> 00:04:11.000]  主耶穌向他們顯明
[00:04:11.000 --> 00:04:12.000]  顯現自己
[00:04:12.000 --> 00:04:14.000]  你會發現主耶穌是
[00:04:14.000 --> 00:04:17.000]  很著意向門徒顯現自己
[00:04:17.000 --> 00:04:19.000]  在這裡提到那兩個人
[00:04:19.000 --> 00:04:21.000]  將路上遇見的事
[00:04:21.000 --> 00:04:24.000]  這兩個人就是門徒裏面
[00:04:24.000 --> 00:04:27.000]  由耶路撒冷回到他們的家
[00:04:27.000 --> 00:04:29.000]  以馬五師
[00:04:29.000 --> 00:04:32.000]  那條不是很近的村
[00:04:32.000 --> 00:04:35.000]  聖經說是二十五里
[00:04:35.000 --> 00:04:37.000]  也很遠的
[00:04:37.000 --> 00:04:39.000]  只是走路
[00:04:39.000 --> 00:04:41.000]  早點就走了
[00:04:41.000 --> 00:04:43.000]  在馬五師路上一直走一直聊
[00:04:43.000 --> 00:04:45.000]  我們遇到這件事
[00:04:45.000 --> 00:04:47.000]  為什麼老師耶穌會這樣的遭遇
[00:04:47.000 --> 00:04:48.000]  這麼慘
[00:04:48.000 --> 00:04:51.000]  究竟神是怎樣心意的呢
[00:04:51.000 --> 00:04:54.000]  其實耶穌為什麼會這樣的呢
[00:04:54.000 --> 00:04:55.000]  就這樣
[00:04:55.000 --> 00:04:58.000]  忽然之間我們人生的路就打斷了
[00:04:58.000 --> 00:04:59.000]  究竟是什麼呢
[00:04:59.000 --> 00:05:01.000]  很疑惑
[00:05:01.000 --> 00:05:04.000]  這個時間有一個人靠近和他們聊天
[00:05:04.000 --> 00:05:06.000]  其實就是耶穌復活了
[00:05:06.000 --> 00:05:08.000]  和他們顯現
[00:05:08.000 --> 00:05:11.000]  其實那天就是復活的一天
[00:05:11.000 --> 00:05:15.000]  在路上和耶穌聊天
[00:05:15.000 --> 00:05:18.000]  忽然之間就起定
[00:05:18.000 --> 00:05:20.000]  向他們詳細講解
[00:05:20.000 --> 00:05:23.000]  將聖經所講的東西
[00:05:23.000 --> 00:05:25.000]  舊約聖經所講的東西
[00:05:25.000 --> 00:05:27.000]  全部和他們指明出來
[00:05:27.000 --> 00:05:30.000]  然後就走到晚上
[00:05:30.000 --> 00:05:32.000]  回到家裏
[00:05:32.000 --> 00:05:34.000]  看來耶穌要繼續前行
[00:05:34.000 --> 00:05:36.000]  他們還沒認得耶穌
[00:05:36.000 --> 00:05:39.000]  耶穌就說我要繼續前行
[00:05:39.000 --> 00:05:40.000]  他們就說這麼晚了
[00:05:40.000 --> 00:05:41.000]  不如住在這裏
[00:05:41.000 --> 00:05:43.000]  住一晚再走
[00:05:43.000 --> 00:05:44.000]  這麼晚不要走
[00:05:44.000 --> 00:05:46.000]  在這裏吃個飯
[00:05:46.000 --> 00:05:47.000]  繼續聊天
[00:05:47.000 --> 00:05:49.000]  聊得很好
[00:05:49.000 --> 00:05:50.000]  忽然之間
[00:05:50.000 --> 00:05:51.000]  吃飯的時候
[00:05:51.000 --> 00:05:53.000]  主耶穌就擦餅
[00:05:53.000 --> 00:05:54.000]  一擦餅
[00:05:54.000 --> 00:05:55.000]  他們就認得
[00:05:55.000 --> 00:05:57.000]  啊 耶穌啊
[00:05:57.000 --> 00:05:58.000]  然後是老師
[00:05:58.000 --> 00:06:00.000]  然後耶穌就不見了
[00:06:00.000 --> 00:06:02.000]  哇 大吃一驚
[00:06:02.000 --> 00:06:03.000]  那怎麼辦
[00:06:03.000 --> 00:06:05.000]  哇 耶穌原來真的復活了
[00:06:05.000 --> 00:06:06.000]  那怎麼辦
[00:06:06.000 --> 00:06:08.000]  那我們等明天吧
[00:06:08.000 --> 00:06:09.000]  不要了
[00:06:09.000 --> 00:06:10.000]  現在馬上跑回去
[00:06:10.000 --> 00:06:12.000]  和我們的彼得大哥他們講
[00:06:12.000 --> 00:06:14.000]  於是他們就回來了
[00:06:14.000 --> 00:06:17.000]  怎麼樣被他們認出來
[00:06:17.000 --> 00:06:20.000]  都述說了一遍
[00:06:20.000 --> 00:06:22.000]  向門徒顯現
