
[00:00:00.000 --> 00:00:02.000]  (主席) 各位兄弟姊妹 早安
[00:00:02.000 --> 00:00:06.000]  (主席) 在這個疫症裏祝願各位平安
[00:00:06.000 --> 00:00:13.000]  (主席) 只要你的思想境界夠高超
[00:00:13.000 --> 00:00:18.000]  (主席) 有藝術家一樣敏銳的情感
[00:00:18.000 --> 00:00:21.000]  (主席) 對靈性有深度的體會
[00:00:21.000 --> 00:00:26.000]  (主席) 你總是會覺得你不屬於這裏
[00:00:26.000 --> 00:00:29.000]  (主席) 你屬於高遠的藍天
[00:00:29.000 --> 00:00:32.000]  (主席) 遼闊的大海
[00:00:32.000 --> 00:00:35.000]  (主席) 無際的星空
[00:00:35.000 --> 00:00:38.000]  (主席) 無拘無束的流浪
[00:00:38.000 --> 00:00:41.000]  (主席) 鮮花綻放的原野
[00:00:41.000 --> 00:00:44.000]  (主席) 滿懷溫馨的黃昏
[00:00:44.000 --> 00:00:48.000]  (主席) 你屬於詩 屬於美酒
[00:00:48.000 --> 00:00:51.000]  (主席) 屬於神話中的英雄
[00:00:51.000 --> 00:00:56.000]  (主席) 而人間那些平淡無味的語言
[00:00:56.000 --> 00:00:59.000]  (主席) 令人作嘔的謊話
[00:00:59.000 --> 00:01:01.000]  (主席) 扭曲的嘴臉
[00:01:01.000 --> 00:01:03.000]  (主席) 卑鬱的手段
[00:01:03.000 --> 00:01:05.000]  (主席) 暴力的爭奪
[00:01:05.000 --> 00:01:07.000]  (主席) 對你來說
[00:01:07.000 --> 00:01:10.000]  (主席) 就十足像你在看YouTube的時候
[00:01:10.000 --> 00:01:13.000]  (主席) 忽然間爆出來的那些擁場的廣告
[00:01:13.000 --> 00:01:16.000]  (主席) 令人厭煩不堪
[00:01:16.000 --> 00:01:22.000]  (主席) 但是生活也有不得不如此的另外一面
[00:01:22.000 --> 00:01:25.000]  (主席) 人好像被綁在大地上的野獸
[00:01:25.000 --> 00:01:27.000]  (主席) 有原始的獸性
[00:01:27.000 --> 00:01:29.000]  (主席) 有肉體的慾望
[00:01:29.000 --> 00:01:32.000]  (主席) 有基本的渴求
[00:01:32.000 --> 00:01:37.000]  (主席) 我們就是這麼奇特的組合
[00:01:37.000 --> 00:01:41.000]  (主席) 是精神和泥土的結合
[00:01:41.000 --> 00:01:44.000]  (主席) 介乎天使與野獸之間
[00:01:44.000 --> 00:01:48.000]  (主席) 存乎上天與下地之中
[00:01:48.000 --> 00:01:53.000]  (主席) 人性的這兩種向度所構成的衝突和張力
[00:01:53.000 --> 00:01:57.000]  (主席) 引發出人類永遠都在追問的問題
[00:01:57.000 --> 00:02:02.000]  (主席) 究竟理想重要還是現實重要呢?
[00:02:02.000 --> 00:02:07.000]  (主席) 上帝口出的話重要還是麵包重要呢?
[00:02:07.000 --> 00:02:11.000]  (主席) 好像耶穌一樣活出生命的重量重要嗎?
[00:02:11.000 --> 00:02:16.000]  (主席) 還是像烏龜一樣縮起來保命重要呢?
[00:02:16.000 --> 00:02:22.000]  (主席) 不同的人在不同的時代有不同的答案
