
[00:00:00.000 --> 00:00:04.460]  好 弟兄姐妹平安 我們再一次低頭祈禱
[00:00:04.460 --> 00:00:09.880]  天父大願你帶領我們今天再一次來到你的話語面前的時候
[00:00:09.880 --> 00:00:15.700]  今天你給了我們是非常之嚴厲的一段警告
[00:00:15.700 --> 00:00:21.180]  也給我們的心 好像昔日聽聖經的人一樣
[00:00:21.180 --> 00:00:27.280]  我們今天聽到你的聲音 奉耶穌基督的名祈求 阿們
[00:00:27.280 --> 00:00:32.880]  今天繼續來說希伯來書 我們今天已經去到第三章了
[00:00:32.880 --> 00:00:37.300]  剛才讀那一段的經文是很漫長的
[00:00:37.300 --> 00:00:40.580]  但是你一路讀的時候你會發覺
[00:00:40.580 --> 00:00:45.000]  它當中講了很多的東西是非常之嚴肅的
[00:00:45.000 --> 00:00:52.800]  已經超越了單是解釋一些舊約聖經的道理這麼簡單
[00:00:52.800 --> 00:00:56.680]  是一個非常之嚴厲的警告
[00:00:56.680 --> 00:00:59.040]  今天所讀的這段聖經
[00:00:59.040 --> 00:01:04.740]  這個也是很符合希伯來書的一個寫作的目的
[00:01:04.740 --> 00:01:08.320]  和它的寫作的手法
[00:01:08.320 --> 00:01:11.720]  事實上希伯來書的讀者
[00:01:11.720 --> 00:01:14.900]  如果你看到希伯來書11章的時候
[00:01:14.900 --> 00:01:18.260]  你就知道其實當中的人很多是面對著
[00:01:18.260 --> 00:01:23.820]  非常之嚴峻的一個信仰的考驗
[00:01:23.820 --> 00:01:30.400]  基本上你可以想像好像進入了一個壓力測試的階段
[00:01:30.400 --> 00:01:34.320]  如果你做電腦你就知道什麼叫做壓力測試
[00:01:34.320 --> 00:01:40.160]  就是如果你有一個新的電腦系統做完的時候
[00:01:40.160 --> 00:01:42.800]  就是我以前做電腦的壓力測試
[00:01:42.800 --> 00:01:49.680]  譬如那個電腦系統新出現的時候
[00:01:49.680 --> 00:01:53.800]  還沒有給所有人用的時候 就找一大幫
[00:01:53.800 --> 00:02:00.760]  傳著要搞壞你的電腦的一些同事
[00:02:00.760 --> 00:02:06.020]  一起來幫忙 不斷的去進入一些
[00:02:06.020 --> 00:02:10.800]  超出了正常範圍的內容 各樣東西
[00:02:10.800 --> 00:02:14.320]  試一下它 在這樣的壓力測試之下
[00:02:14.320 --> 00:02:18.240]  會不會運作不了
[00:02:18.240 --> 00:02:22.200]  而通過了壓力測試 那個系統就可以上了
[00:02:22.200 --> 00:02:25.640]  接著就可以給公眾每個人都可以用了
[00:02:25.640 --> 00:02:32.260]  事實上這個是希伯來書的讀者當時來說
[00:02:32.260 --> 00:02:35.920]  其實正正就是面對著一個這樣的壓力測試
[00:02:35.920 --> 00:02:39.300]  就是去到第11章的時候
[00:02:39.300 --> 00:02:45.940]  你聽到他們說有家業被人搶去
[00:02:45.940 --> 00:02:51.900]  有人被人抓去坐牢 不肯苟且得釋放
[00:02:51.900 --> 00:02:55.340]  這些其實他們是面對著很嚴峻的
[00:02:55.340 --> 00:02:58.840]  而寫希伯來書的時候
[00:02:58.840 --> 00:03:03.340]  基本上就是寫給一幫這樣的讀者
[00:03:03.340 --> 00:03:07.960]  他們現在的信仰正正就是面臨一個這樣的壓力測試
[00:03:07.960 --> 00:03:11.560]  在這樣的測試之下
[00:03:11.560 --> 00:03:17.060]  有些人必然的反應就是想後退
[00:03:17.060 --> 00:03:20.820]  而希伯來書寫給他們就是希望他們不要後退
[00:03:20.820 --> 00:03:23.280]  我們一起就是祈禱
[00:03:23.280 --> 00:03:27.820]  傅偉元你給我們看到今天希伯來書所讀的內容的時候
[00:03:27.820 --> 00:03:30.720]  我們都是聽到你自己的聲音
[00:03:30.720 --> 00:03:33.300]  聽到你自己在昔日的時候
[00:03:33.300 --> 00:03:36.260]  怎樣來鼓勵希伯來的信徒的時候
[00:03:36.260 --> 00:03:39.660]  今天你都跟我們藉著今天的聖經跟我們說話
[00:03:39.660 --> 00:03:42.700]  跟人家說基督的名字祈禱 阿們
[00:03:42.700 --> 00:03:44.540]  所以一開始的時候他就說
[00:03:44.540 --> 00:03:47.560]  同蒙天照的聖潔弟兄 你們應當思想
[00:03:47.560 --> 00:03:50.180]  我們為使者 為大祭司的耶穌
[00:03:50.180 --> 00:03:52.760]  他為乃設立他的盡忠
[00:03:52.760 --> 00:03:55.580]  如同摩西在神的全家盡忠一樣
[00:03:55.580 --> 00:03:57.880]  他比摩西算是更配多得榮耀
[00:03:57.880 --> 00:04:01.060]  好像建造房屋的比房屋更尊榮
[00:04:01.060 --> 00:04:04.080]  因為房屋都必有人建造
[00:04:04.080 --> 00:04:06.200]  但建造萬物的就是神
[00:04:06.200 --> 00:04:09.720]  摩西為僕人在神的全家成年盡忠
[00:04:09.720 --> 00:04:12.000]  為要證明將來必存的事
[00:04:12.000 --> 00:04:14.380]  但基督為兒子治理神的家
[00:04:14.380 --> 00:04:17.320]  你們若將可誇的盼望和膽量
[00:04:17.320 --> 00:04:20.400]  堅持到底便是他的家了
[00:04:20.400 --> 00:04:22.380]  這裡一開始的時候
[00:04:22.380 --> 00:04:24.820]  其實那個稱呼是很特別
[00:04:24.820 --> 00:04:27.300]  之前第一、二章已經說出了
[00:04:27.300 --> 00:04:29.400]  耶穌基督的超越的地位
[00:04:29.400 --> 00:04:31.960]  祂比天使更加的超越
[00:04:31.960 --> 00:04:40.620]  而祂基本上也是神設立在地上的掌權者
[00:04:40.620 --> 00:04:43.720]  即是上一次說到祂領受的王權
[00:04:43.720 --> 00:04:50.120]  祂以人的身份來領受了掌管世界的王權
[00:04:50.120 --> 00:04:53.700]  說了耶穌基督的超越之後
[00:04:53.700 --> 00:04:56.280]  接著去到第三章
[00:04:56.280 --> 00:05:02.880]  作者要勸勉那些讀希伯來書的信徒
[00:05:02.880 --> 00:05:07.040]  你看到耶穌基督這麼超越的時候
[00:05:07.040 --> 00:05:09.220]  我們是和祂一起
[00:05:09.220 --> 00:05:12.180]  上一次已經說到兒女既同有血肉之體
[00:05:12.180 --> 00:05:14.220]  祂自己親自也成為了血肉之體
[00:05:14.220 --> 00:05:16.640]  祂成為了我們的一部分
