
[00:00:00.000 --> 00:00:04.000]  今天的題目為單身平反
[00:00:04.000 --> 00:00:09.000]  不要把題目名字混亂了
[00:00:09.000 --> 00:00:11.000]  但我們都很想
[00:00:11.000 --> 00:00:16.000]  我們都專注在講道當中
[00:00:16.000 --> 00:00:21.000]  首先想和大家看看統計
[00:00:21.000 --> 00:00:26.000]  其實我們教會在2013年做了一個靈命普查報告
[00:00:26.000 --> 00:00:30.000]  多謝204位支持者回應我們的調查
[00:00:30.000 --> 00:00:31.000]  當中問了很多問題
[00:00:31.000 --> 00:00:32.000]  我只抽了一個問題
[00:00:32.000 --> 00:00:36.000]  就是我們教會的婚姻狀況是怎樣的呢?
[00:00:36.000 --> 00:00:40.000]  在兩年前到今天都有少許轉變
[00:00:40.000 --> 00:00:44.000]  但大致上這個比率我相信會不大變動
[00:00:44.000 --> 00:00:47.000]  原來一半人在204人當中
[00:00:47.000 --> 00:00:49.000]  103個都是已婚人士
[00:00:49.000 --> 00:00:51.000]  大約佔了50%
[00:00:51.000 --> 00:00:54.000]  另外未婚的有89位是44%
[00:00:54.000 --> 00:00:55.000]  其他意思是甚麼呢?
[00:00:55.000 --> 00:00:58.000]  其他意思是可能他的配偶離開了他
[00:00:58.000 --> 00:01:00.000]  可能離婚或喪偶等等
[00:01:00.000 --> 00:01:05.000]  今天我想說為單身平反
[00:01:05.000 --> 00:01:07.000]  單身我給一個定義
[00:01:07.000 --> 00:01:09.000]  他們去到一個適婚的年齡
[00:01:09.000 --> 00:01:12.000]  但未結婚或已婚
[00:01:12.000 --> 00:01:14.000]  但配偶離開了他們
[00:01:14.000 --> 00:01:16.000]  可能是喪偶或離婚
[00:01:16.000 --> 00:01:20.000]  所以在單身的界別裏
[00:01:20.000 --> 00:01:23.000]  其實除了未結婚的
[00:01:23.000 --> 00:01:27.000]  還有一些已結婚的單親媽媽
[00:01:27.000 --> 00:01:29.000]  他們都有小朋友
[00:01:29.000 --> 00:01:32.000]  其實這些單身人士都面對著各方不同的壓力
[00:01:32.000 --> 00:01:36.000]  是我們已婚人士可能留意不到或想像不到的
[00:01:36.000 --> 00:01:43.000]  例如自己、家人、教會、社會都有
[00:01:43.000 --> 00:01:47.000]  有些不平等的待遇或特別的目光會在他們身上
[00:01:47.000 --> 00:01:49.000]  我試試舉兩個例子
[00:01:49.000 --> 00:01:53.000]  第一個例子是有些餐廳特別情人節
[00:01:53.000 --> 00:01:55.000]  很多時候都會有情侶套餐
[00:01:55.000 --> 00:01:57.000]  但沒有單身套餐
[00:01:57.000 --> 00:01:58.000]  這樣都明白了
[00:01:58.000 --> 00:02:00.000]  在雙贏雙當然是兩個人吃
[00:02:00.000 --> 00:02:02.000]  可以優待多一點
