
[00:00:00.000 --> 00:00:07.440]  感謝天父給我第二次來到Swindon這個地方
[00:00:07.440 --> 00:00:11.600]  第一次就是我的兒子一歲零十個月
[00:00:11.600 --> 00:00:15.760]  趁著他還沒有兩歲可以有10%坐飛機
[00:00:15.760 --> 00:00:18.880]  由我太太當時要上班
[00:00:18.880 --> 00:00:23.200]  我就和爸爸媽媽和兒子來了英國
[00:00:23.200 --> 00:00:25.840]  這是第一次我來到英國
[00:00:25.840 --> 00:00:34.080]  來到英國有機會來參加Swindon的一個
[00:00:34.080 --> 00:00:37.680]  好像是春令會 不是應該是秋令會
[00:00:37.680 --> 00:00:40.160]  一起坐巴士一起去玩
[00:00:40.160 --> 00:00:45.280]  當時陳全道說我曾經來過這裡的一個教會
[00:00:45.280 --> 00:00:47.040]  其實我忘記了
[00:00:47.040 --> 00:00:51.520]  但是他就將梁全道的那個
[00:00:51.520 --> 00:00:56.000]  我們當時有幅相傳給我看
[00:00:56.000 --> 00:00:59.520]  有相為證 有我 有我爸爸
[00:00:59.520 --> 00:01:01.200]  有我媽媽還有我兒子
[00:01:01.200 --> 00:01:02.800]  還不是 沒得說了
[00:01:02.800 --> 00:01:04.960]  原來真的來過這裡的
[00:01:04.960 --> 00:01:07.120]  這次第二次來這裡
[00:01:07.120 --> 00:01:08.240]  也是很特別的
[00:01:08.240 --> 00:01:10.640]  這次有機會來到
[00:01:10.640 --> 00:01:15.200]  第一次坐英國的火車和坐英國的地鐵
[00:01:15.200 --> 00:01:20.640]  由Dunkester來到這裡和大家有機會見面
[00:01:20.640 --> 00:01:27.680]  這一次我一直將過去差不多一年半前
[00:01:27.680 --> 00:01:32.080]  一個信息 神給我的一個信息
[00:01:32.080 --> 00:01:34.160]  就在《出海及記》第19章
[00:01:34.160 --> 00:01:37.440]  第一節到第六節的那個啟示
[00:01:37.440 --> 00:01:38.560]  來給我看到
[00:01:38.560 --> 00:01:40.320]  今天早上我就說了
[00:01:40.320 --> 00:01:43.520]  原來每個信徒都有相職的身份
[00:01:43.520 --> 00:01:46.160]  我今天來到第二堂
[00:01:46.160 --> 00:01:49.520]  我就想和大家來講另外一個議題
[00:01:49.520 --> 00:01:51.520]  但是離不開相職
[00:01:51.520 --> 00:01:53.760]  也都是這麼說
[00:01:53.760 --> 00:01:55.520]  從2024年11月
[00:01:55.520 --> 00:01:58.320]  我領悟了這個相職的身份之後
[00:01:58.320 --> 00:02:00.000]  這個信息之後
[00:02:00.000 --> 00:02:04.240]  我差不多每一堂都有這兩個字相職
[00:02:04.240 --> 00:02:07.360]  這兩個字是很重要的一個信息
[00:02:07.360 --> 00:02:08.320]  對我來說
[00:02:08.320 --> 00:02:11.600]  也都對每一個信徒是很重要的信息
[00:02:11.600 --> 00:02:14.880]  今天我們看到《約書亞記》第24章的時候
[00:02:14.880 --> 00:02:17.040]  當我們看到這段經文的時候
[00:02:17.040 --> 00:02:20.080]  我們看到約書亞和那些以色列人
[00:02:20.080 --> 00:02:24.240]  好像有一種誓神拚命的經歷在那裡
[00:02:24.240 --> 00:02:25.600]  為什麼這麼說呢?
[00:02:25.600 --> 00:02:27.440]  當我們一路看的時候就說
[00:02:27.440 --> 00:02:30.320]  你信不信神?跟不跟從神?
[00:02:30.320 --> 00:02:32.000]  一定跟 一定跟
[00:02:32.000 --> 00:02:32.880]  做不做見證?
[00:02:32.880 --> 00:02:34.880]  見證 真的見證
[00:02:34.880 --> 00:02:39.520]  是真的 不是真的降禍你的
[00:02:39.520 --> 00:02:41.280]  是一定會跟從神
[00:02:41.280 --> 00:02:43.920]  這段經文似乎是
[00:02:43.920 --> 00:02:49.840]  約書亞記第24章就是成卷約書亞記的一個終結篇
[00:02:49.840 --> 00:02:51.600]  在這個終結篇裡面
[00:02:51.600 --> 00:02:52.480]  我們看到
[00:02:52.480 --> 00:02:54.720]  原來整個約書亞記是在說
[00:02:54.720 --> 00:02:58.000]  他們去到這個英許地
[00:02:58.000 --> 00:03:00.400]  所謂的加南美地
[00:03:00.400 --> 00:03:01.760]  去到這個地方
[00:03:01.760 --> 00:03:05.680]  來到去有一個很特別的一個經歷在這裡
[00:03:05.680 --> 00:03:09.360]  而一開始整個約書亞記第一章
[00:03:09.360 --> 00:03:12.960]  就說到他們已經進入了這個英許地了
[00:03:12.960 --> 00:03:14.560]  然後進入了英許地之後
[00:03:14.560 --> 00:03:17.440]  原來第一章就說到一個很重要的
[00:03:17.440 --> 00:03:19.440]  剛強壯膽
[00:03:19.440 --> 00:03:21.200]  知不知道什麼意義?
[00:03:21.200 --> 00:03:24.960]  原來當英許這個地方給你的時候
[00:03:24.960 --> 00:03:28.160]  是要你打回來的
[00:03:28.160 --> 00:03:31.200]  不是送給你的
[00:03:31.200 --> 00:03:33.040]  這一刻
[00:03:33.040 --> 00:03:38.640]  你要將整個加南地的所有民族征服了
[00:03:38.640 --> 00:03:41.280]  才是屬於你的地方
[00:03:41.280 --> 00:03:42.400]  怕不怕?
[00:03:42.400 --> 00:03:43.600]  真的怕
[00:03:43.600 --> 00:03:44.640]  因為打仗
[00:03:44.640 --> 00:03:45.760]  誰不怕?
[00:03:45.760 --> 00:03:47.360]  現在世界各地
[00:03:47.360 --> 00:03:49.600]  中東打到這樣的時候
[00:03:49.600 --> 00:03:51.040]  有時候我們會說
[00:03:51.040 --> 00:03:55.200]  為一些無辜的百姓去祈禱
[00:03:55.200 --> 00:03:56.960]  你不為那些兵士祈禱
[00:03:56.960 --> 00:03:58.400]  他也很無辜的
[00:03:58.400 --> 00:04:00.480]  他只是打工而已
[00:04:00.480 --> 00:04:04.000]  誰知道走出去要死的
[00:04:04.000 --> 00:04:06.640]  然後他的媽媽沒有了兒子
[00:04:06.640 --> 00:04:09.360]  他的老婆婆沒有了老公
[00:04:09.360 --> 00:04:11.920]  他的兒女沒有了爸爸
[00:04:11.920 --> 00:04:13.200]  在這一刻裏面
[00:04:13.200 --> 00:04:16.640]  我們發覺原來打架的過程裏面
[00:04:16.640 --> 00:04:19.680]  真的約書給神來說
[00:04:19.680 --> 00:04:22.000]  你要剛強壯膽
[00:04:22.000 --> 00:04:26.240]  他們接著就找了一些探子進去看這個地方
[00:04:26.240 --> 00:04:28.960]  探子差點被抓了
[00:04:28.960 --> 00:04:30.720]  幸好有拉合妓女
[00:04:30.720 --> 00:04:34.720]  讓他們有機會逃脫了
[00:04:34.720 --> 00:04:39.920]  然後他們進入英女地
[00:04:39.920 --> 00:04:41.600]  過這個約旦河
[00:04:41.600 --> 00:04:43.680]  這個過約旦河很特別
[00:04:43.680 --> 00:04:46.400]  因為過約旦河就像過紅海一樣
[00:04:46.400 --> 00:04:47.600]  過紅海
[00:04:47.600 --> 00:04:49.760]  摩西的腳一踏進水裏
[00:04:49.760 --> 00:04:50.960]  水就分開
[00:04:50.960 --> 00:04:53.200]  他們走乾淨地過紅海
[00:04:53.200 --> 00:04:57.280]  但是原來這件事是重複的在這裏出現
[00:04:57.280 --> 00:05:01.760]  就是約書帶他們過約旦河
[00:05:01.760 --> 00:05:04.320]  都是這樣的
[00:05:04.320 --> 00:05:06.080]  這個給我們看到
[00:05:06.080 --> 00:05:08.720]  原來有一個很特殊的現象
[00:05:08.720 --> 00:05:12.160]  就是摩西帶領以色列人出埃及
[00:05:12.160 --> 00:05:13.440]  離開了世界
[00:05:13.440 --> 00:05:16.960]  離開了法老這個在預表魔鬼
[00:05:16.960 --> 00:05:19.120]  預表世界的地方
[00:05:19.120 --> 00:05:20.480]  進入迦南地
[00:05:20.480 --> 00:05:22.160]  預表天堂的地方
[00:05:22.160 --> 00:05:24.160]  但是摩西
[00:05:24.160 --> 00:05:26.320]  他是代表
[00:05:26.320 --> 00:05:30.480]  律法不能夠帶人進入天堂
[00:05:30.480 --> 00:05:31.200]  迦南
[00:05:31.200 --> 00:05:32.640]  誰帶他們去
[00:05:32.640 --> 00:05:33.920]  約書
[00:05:33.920 --> 00:05:37.200]  約書的字根就是救恩的意思
[00:05:37.200 --> 00:05:41.200]  所以救恩帶人進入迦南地
[00:05:41.200 --> 00:05:43.680]  所以他們就過了迦南地
[00:05:43.680 --> 00:05:47.440]  遇到第一個大城市叫做耶利哥城
[00:05:47.440 --> 00:05:50.320]  在耶利哥城這麼堅固
[00:05:50.320 --> 00:05:51.360]  怎麼打
[00:05:51.360 --> 00:05:53.920]  第一場就打到硬仗
[00:05:53.920 --> 00:05:58.400]  神就叫他們圍著這個城七次吹號吹角
[00:05:58.400 --> 00:06:00.480]  這個城自動倒下了
[00:06:00.480 --> 00:06:02.320]  如果你去以色列地
[00:06:02.320 --> 00:06:04.720]  你仍然可以看到耶利哥城
[00:06:04.720 --> 00:06:05.920]  那個城牆
[00:06:05.920 --> 00:06:07.360]  毀壞在那裡
[00:06:07.360 --> 00:06:09.120]  還沒翻轉
[00:06:09.120 --> 00:06:10.480]  還沒重建
[00:06:10.480 --> 00:06:11.760]  在這個過了之後
[00:06:11.760 --> 00:06:14.320]  他們跟著一個一個一個的民族
[00:06:14.320 --> 00:06:15.520]  來征服
[00:06:15.520 --> 00:06:17.760]  征服了之後就分地了
[00:06:17.760 --> 00:06:20.240]  十二個支派分了地之後
[00:06:20.240 --> 00:06:22.160]  有些就抽籤
[00:06:22.160 --> 00:06:23.680]  來分了地
[00:06:23.680 --> 00:06:24.800]  分了之後
[00:06:24.800 --> 00:06:26.640]  在這個事情裡面
[00:06:26.640 --> 00:06:28.400]  約書怎麼跟他們說
[00:06:28.400 --> 00:06:29.360]  約書說
[00:06:29.360 --> 00:06:31.200]  我和我家
[00:06:31.200 --> 00:06:33.520]  必定侍奉神
[00:06:33.520 --> 00:06:34.560]  你想想
[00:06:34.560 --> 00:06:37.680]  當在第24章一開始的時候
[00:06:37.680 --> 00:06:38.960]  就告訴我們知道
[00:06:38.960 --> 00:06:41.520]  約書帶領那幫以色列人
[00:06:41.520 --> 00:06:43.600]  去到一個事件的地方
[00:06:43.600 --> 00:06:48.800]  來到那裡去祭神祭怨做一些事情
[00:06:48.800 --> 00:06:50.960]  你想想事件是什麼地方
[00:06:50.960 --> 00:06:56.560]  事件就是昔日神童阿伯拉罕他們的先祖
[00:06:56.560 --> 00:07:01.040]  來到去說你的子孫後代
[00:07:01.040 --> 00:07:02.480]  好像天上的星
[00:07:02.480 --> 00:07:03.600]  地上的沙
[00:07:03.600 --> 00:07:05.520]  這麼多的一個地方
[00:07:05.520 --> 00:07:08.000]  然後在那裡就允許他們
[00:07:08.000 --> 00:07:12.960]  來到去可以得到一個很特別的神的眷顧
[00:07:12.960 --> 00:07:16.720]  而約書帶領他們去到這個地方
[00:07:16.720 --> 00:07:17.840]  終於怎麼樣
[00:07:17.840 --> 00:07:21.360]  征服了所有民族
[00:07:21.360 --> 00:07:22.800]  然後在這一刻裡面
[00:07:22.800 --> 00:07:24.640]  就在事件這個地方
[00:07:24.640 --> 00:07:27.200]  和他們再重新
[00:07:27.200 --> 00:07:28.640]  好像納約一樣
[00:07:28.640 --> 00:07:31.680]  你們現在要怎麼做
[00:07:31.680 --> 00:07:34.640]  他們一次又一次的說
[00:07:34.640 --> 00:07:36.400]  行 做見證
[00:07:36.400 --> 00:07:37.600]  跟從神
[00:07:37.600 --> 00:07:39.840]  但是約書怎麼跟他們說
[00:07:39.840 --> 00:07:42.880]  你們要除掉外邦神
[00:07:42.880 --> 00:07:46.720]  在你們中間的外邦神要除掉他
[00:07:46.720 --> 00:07:48.480]  當這一刻這樣說的時候
