
[00:00:00.000 --> 00:00:02.640]  迎春節福是我們所有人的行動
[00:00:02.640 --> 00:00:04.400]  我們面對新的一年裏面
[00:00:04.400 --> 00:00:05.800]  都是迎春節福
[00:00:05.800 --> 00:00:07.440]  在新年迎賀裏面
[00:00:07.440 --> 00:00:08.840]  不知道大家有沒有去拜年
[00:00:08.840 --> 00:00:11.320]  我都先恭祝大家
[00:00:11.320 --> 00:00:12.440]  恭喜發財
[00:00:12.440 --> 00:00:13.760]  很多人很害怕
[00:00:13.760 --> 00:00:15.760]  在教會講恭喜發財
[00:00:15.760 --> 00:00:19.280]  我昨天才和一個人來聊天
[00:00:19.280 --> 00:00:20.680]  是一個基督徒
[00:00:20.680 --> 00:00:21.920]  也是很有錢
[00:00:21.920 --> 00:00:24.160]  他說教會的人是很虛假的
[00:00:24.160 --> 00:00:26.720]  在外面跟我們拜年就講恭喜發財
[00:00:26.720 --> 00:00:29.400]  一回到教會就全部收了這句話
[00:00:29.400 --> 00:00:31.800]  就是講主恩常在
[00:00:31.800 --> 00:00:33.680]  他說為甚麼不可以發財呢?
[00:00:33.680 --> 00:00:35.000]  其實是可以發財的
[00:00:35.000 --> 00:00:37.200]  我立刻說我都會講的
[00:00:37.200 --> 00:00:39.480]  因為你有沒有留意到神祝福那些人
[00:00:39.480 --> 00:00:42.920]  基本上他們都是很有財富的
[00:00:42.920 --> 00:00:44.440]  你想想阿伯拉罕
[00:00:44.440 --> 00:00:45.760]  你想想以撒
[00:00:45.760 --> 00:00:46.960]  甚至以素
[00:00:46.960 --> 00:00:49.120]  你想想最厲害的王
[00:00:49.120 --> 00:00:50.000]  所羅門
[00:00:50.000 --> 00:00:51.400]  神祝福去的時候
[00:00:51.400 --> 00:00:53.840]  他們是很豐富的財富的
[00:00:53.840 --> 00:00:55.680]  只要我們發財立品就可以了
[00:00:55.680 --> 00:00:58.480]  只要我們來循著正途去賺錢就可以了
[00:00:58.560 --> 00:01:00.280]  基督徒怎麼會不喜歡錢呢?
[00:01:00.280 --> 00:01:01.520]  喜歡的,我喜歡錢的
[00:01:01.520 --> 00:01:03.080]  我們可以發多點財的時候
[00:01:03.080 --> 00:01:04.200]  我們就奉獻多一點
[00:01:04.200 --> 00:01:05.040]  特別是那些
[00:01:05.040 --> 00:01:06.880]  逗了很多利是的年輕人
[00:01:06.880 --> 00:01:08.240]  一定要,OK?
[00:01:08.240 --> 00:01:10.280]  祝大家前日
[00:01:10.280 --> 00:01:12.840]  前日大家生日快樂
[00:01:12.840 --> 00:01:14.480]  就是年初七的時候
[00:01:14.480 --> 00:01:16.320]  今天是初幾呀?
[00:01:16.320 --> 00:01:19.120]  今天是初八還是初九呀?
[00:01:19.120 --> 00:01:19.760]  初九
[00:01:19.760 --> 00:01:22.480]  初八大家就發到豬頭
[00:01:22.480 --> 00:01:25.480]  初九希望我們對主的愛是長長久久
[00:01:25.480 --> 00:01:26.760]  明天是初幾呀?
[00:01:26.760 --> 00:01:27.960]  初十
[00:01:27.960 --> 00:01:30.400]  希望我們每一個人都過一個十全十美的生活
[00:01:30.400 --> 00:01:30.960]  是不是?
[00:01:30.960 --> 00:01:32.960]  我可以有很多這樣的說話的
[00:01:32.960 --> 00:01:35.760]  但是我想新年最多人
[00:01:35.760 --> 00:01:37.960]  祝賀人除了恭喜發財之外
[00:01:37.960 --> 00:01:40.360]  有一句話其實我是很不喜歡
[00:01:40.360 --> 00:01:41.440]  以及我是很反對的
[00:01:41.440 --> 00:01:42.000]  是什麼?
[00:01:42.000 --> 00:01:44.320]  「心想事成」
[00:01:44.320 --> 00:01:47.080]  這句話其實一點都不好的
[00:01:47.080 --> 00:01:48.360]  為什麼呢?
[00:01:48.360 --> 00:01:51.640]  因為我相信人心比萬物都詭詐壞到極處
[00:01:51.640 --> 00:01:54.520]  「心想事成」如果真的這樣的話就大件事了
[00:01:54.520 --> 00:01:56.120]  老婆罵完老公
[00:01:56.120 --> 00:01:57.080]  老公你就死了
[00:01:57.080 --> 00:01:58.920]  真的死了的時候
[00:01:58.920 --> 00:02:00.160]  那就很大件事了
[00:02:00.160 --> 00:02:02.840]  所以有時候我們人想的東西不是很好
[00:02:02.840 --> 00:02:05.360]  還有很多時候我們都很希望什麼呢?
[00:02:05.360 --> 00:02:07.720]  就是天從人願
[00:02:07.720 --> 00:02:09.440]  天都要聽你的話
[00:02:09.440 --> 00:02:11.560]  那麼那個天就不是神了
[00:02:11.560 --> 00:02:13.120]  那個只是我們的僕人而已
[00:02:13.120 --> 00:02:15.280]  我們只是人從天願
