
[00:00:00.000 --> 00:00:06.520]  今天敬拜裡面 除了敬拜贊美這個主題之外
[00:00:06.520 --> 00:00:07.920]  還講到姓名的
[00:00:07.920 --> 00:00:12.400]  其實我覺得都是和今天的題目很有關係的
[00:00:12.400 --> 00:00:15.200]  好 先講一樣東西
[00:00:15.200 --> 00:00:20.040]  這裡我中間有哪些人是有車牌的 我想知道
[00:00:20.040 --> 00:00:21.640]  有車牌的
[00:00:21.640 --> 00:00:24.520]  家庭區是最多的 我問過幾個區都是
[00:00:24.520 --> 00:00:26.480]  當然是啦 我們年紀最大
[00:00:26.480 --> 00:00:28.480]  當然車牌都有很多種
[00:00:28.480 --> 00:00:30.280]  我那種叫做雪櫃牌
[00:00:30.280 --> 00:00:33.440]  拿了二十幾三十年 開了二十幾三十次
[00:00:33.440 --> 00:00:36.840]  所以都是等於沒那麼厲害的 差不多
[00:00:36.840 --> 00:00:38.840]  法律上是的 不過呢
[00:00:38.840 --> 00:00:42.680]  賺錢上面 其實比開車就危險了
[00:00:42.680 --> 00:00:47.960]  開車的人都有一種經驗 應該現代人開車
[00:00:47.960 --> 00:00:51.200]  都會用GPS系統
[00:00:51.200 --> 00:00:54.080]  沒有
[00:00:54.080 --> 00:00:56.240]  香港都有的
[00:00:56.240 --> 00:00:59.280]  等一下 這裡有哪個人不知道什麼是GPS
[00:00:59.280 --> 00:01:01.680]  想解釋一下 我用這個做個例子
[00:01:01.680 --> 00:01:06.480]  GPS 我想我們中間有些年紀資深點的
[00:01:06.480 --> 00:01:07.800]  可能未必會知道
[00:01:07.800 --> 00:01:10.920]  GPS系統 或者叫導航系統
[00:01:10.920 --> 00:01:13.600]  其實的意思就是在車裡面
[00:01:13.600 --> 00:01:16.400]  它特別是給司機用的
[00:01:16.400 --> 00:01:19.080]  如果有個人他想開車
[00:01:19.080 --> 00:01:22.160]  由這個A的地方去到第二個地方
[00:01:22.160 --> 00:01:25.280]  OK 他不太會路
[00:01:25.280 --> 00:01:28.600]  不太會路 或者那個地方他根本沒去過
[00:01:28.600 --> 00:01:30.120]  他在那裡開車 都可以的
[00:01:30.120 --> 00:01:32.720]  有些人在外地租車 都是這樣去
[00:01:32.720 --> 00:01:35.280]  那他怎麼由這個地方去到第二個地方呢
[00:01:35.280 --> 00:01:37.360]  通常是靠這個系統的
[00:01:37.360 --> 00:01:40.120]  當你按了你現在那個地方的地址
[00:01:40.120 --> 00:01:43.120]  你知道你去到目的地的地址之後
[00:01:43.120 --> 00:01:46.440]  這個系統就會顯示一張地圖
[00:01:46.440 --> 00:01:49.760]  就告訴你怎麼從這裡經過什麼街道
[00:01:49.760 --> 00:01:51.880]  去到另外一個地方
[00:01:51.880 --> 00:01:53.480]  基本上原理是這樣的
[00:01:53.480 --> 00:01:58.280]  按照它的指示 你就可以走這條路
[00:01:58.280 --> 00:02:00.800]  我有好幾次 不是我開車
[00:02:00.800 --> 00:02:03.160]  不過我看著隔壁開車的人用這個系統
[00:02:03.160 --> 00:02:06.520]  我覺得這個導航系統
[00:02:06.520 --> 00:02:09.600]  這個GPS系統是現代人一個很大的發明
[00:02:09.600 --> 00:02:12.280]  我覺得這些人應該拿獎
[00:02:12.280 --> 00:02:16.320]  因為它有很多種細微的變化
[00:02:16.320 --> 00:02:19.240]  第一 你可以選擇由A地去B地
[00:02:19.240 --> 00:02:21.920]  可以選擇最快的 最短的路程
[00:02:21.920 --> 00:02:23.520]  它可以幫你設計
[00:02:23.520 --> 00:02:26.840]  你可以選擇最便宜的方法
[00:02:26.840 --> 00:02:28.600]  因為特別在外國的地方
[00:02:28.600 --> 00:02:31.560]  你開車有些快公路其實要收費的
[00:02:31.560 --> 00:02:32.880]  如果你不想給那麼多錢
[00:02:32.880 --> 00:02:34.160]  不就要便宜點 是不是
[00:02:34.160 --> 00:02:35.440]  那就路長一點
[00:02:35.440 --> 00:02:40.920]  或者說你想的時間是最短的
[00:02:40.920 --> 00:02:45.000]  它就可能給你設計一個最直接的路
[00:02:45.000 --> 00:02:48.120]  就是它有不同的方式設計的
[00:02:48.120 --> 00:02:51.600]  除此之外 它會出聲
[00:02:51.600 --> 00:02:54.520]  它會提醒你去到哪個地方
[00:02:54.520 --> 00:02:55.920]  什麼時候要轉彎
[00:02:55.920 --> 00:02:57.320]  什麼時候要轉左
[00:02:57.320 --> 00:02:59.080]  什麼時候要轉右
[00:02:59.080 --> 00:03:00.680]  你可以選擇語言的
[00:03:00.680 --> 00:03:02.720]  可以選擇英文 廣東話 普通話
[00:03:02.720 --> 00:03:03.880]  起碼我知道的
[00:03:03.880 --> 00:03:05.720]  就有這些系統
[00:03:05.720 --> 00:03:09.720]  甚至選擇男聲女聲也可以
[00:03:09.720 --> 00:03:12.680]  如果你嫌那個聲音太過粗魯的話
[00:03:12.680 --> 00:03:14.840]  你選擇溫柔一點的也可以
[00:03:14.840 --> 00:03:17.760]  雖然不一定女聲的聲音是溫柔一點
[00:03:17.760 --> 00:03:20.160]  一般都是的
[00:03:20.160 --> 00:03:23.640]  好了 我好幾次的經驗就是
[00:03:23.640 --> 00:03:25.160]  坐在那個司機旁邊
