
[00:00:00.000 --> 00:00:07.000]  我會欣賞剛才worship 添唱 先尋找他的國和他的義
[00:00:07.000 --> 00:00:11.000]  這些一切你所需要的都會加給你本了
[00:00:11.000 --> 00:00:14.000]  英文聖經是see first his kingdom and his righteousness
[00:00:14.000 --> 00:00:17.000]  and all these things will be added onto you
[00:00:17.000 --> 00:00:19.000]  不是給你 是added
[00:00:19.000 --> 00:00:22.000]  in addition to 不是instead of
[00:00:22.000 --> 00:00:26.000]  剛才未崇拜之先有一個弟兄問我
[00:00:26.000 --> 00:00:29.000]  什麼叫神的國和神的義呢
[00:00:29.000 --> 00:00:32.000]  我想回答他 但是沒什麼時間
[00:00:32.000 --> 00:00:33.000]  我現在順便講一講
[00:00:33.000 --> 00:00:35.000]  某年兩三年前
[00:00:35.000 --> 00:00:40.000]  溫哥華的psychologist and psychiatrist association
[00:00:40.000 --> 00:00:44.000]  即是心理學專家和心理醫生的society
[00:00:44.000 --> 00:00:47.000]  請我去講福音 講座
[00:00:47.000 --> 00:00:50.000]  其實很大壓力的出來講話
[00:00:50.000 --> 00:00:54.000]  那班my inshore那班professional要我講inshore
[00:00:54.000 --> 00:00:57.000]  那班心理學專家心理醫生要我講心理
[00:00:57.000 --> 00:01:01.000]  在expert面前講這些東西其實很大壓力
[00:01:01.000 --> 00:01:03.000]  那我就用這段經文
[00:01:03.000 --> 00:01:06.000]  我們看這段經文不要這麼快就問
[00:01:06.000 --> 00:01:08.000]  什麼叫神的國和神的義呢
[00:01:08.000 --> 00:01:10.000]  凡是看聖經一定要看上文下文
[00:01:10.000 --> 00:01:14.000]  這個叫in that context
[00:01:14.000 --> 00:01:17.000]  主耶穌在登山普訓講這個說話之先
[00:01:17.000 --> 00:01:18.000]  是有人問他
[00:01:18.000 --> 00:01:22.000]  我們worry我們的生活
[00:01:22.000 --> 00:01:24.000]  主耶穌就回答他們
[00:01:24.000 --> 00:01:28.000]  你們不要憂愁吃什麼喝什麼穿什麼
[00:01:28.000 --> 00:01:31.000]  那班心理醫生和心理學家的病在病人面前
[00:01:31.000 --> 00:01:34.000]  Don't worry
[00:01:34.000 --> 00:01:37.000]  他們回到家一樣worry
[00:01:37.000 --> 00:01:38.000]  他們知道的
[00:01:38.000 --> 00:01:40.000]  當我和醫生講的時候
[00:01:40.000 --> 00:01:42.000]  They know what I am talking about
[00:01:42.000 --> 00:01:44.000]  主耶穌第二樣東西就說
[00:01:44.000 --> 00:01:46.000]  Here is why
[00:01:46.000 --> 00:01:47.000]  為什麼你不去憂慮呢
[00:01:47.000 --> 00:01:49.000]  因為你看天上的飛鳥
[00:01:49.000 --> 00:01:52.000]  也不種也不收也不積足在倉裡天庫上
[00:01:52.000 --> 00:01:55.000]  且養活它們何妨事你們呢
[00:01:55.000 --> 00:01:59.000]  那班professional psychiatrist and psychologist
[00:01:59.000 --> 00:02:01.000]  就和病人講
[00:02:01.000 --> 00:02:03.000]  你不要擔心
[00:02:03.000 --> 00:02:05.000]  這個原因就是這樣
[00:02:05.000 --> 00:02:09.000]  他們回到家一樣去擔心
[00:02:09.000 --> 00:02:11.000]  只有兩個session
[00:02:11.000 --> 00:02:13.000]  他們到這裡就停了
[00:02:13.000 --> 00:02:15.000]  死了我這班professional
[00:02:15.000 --> 00:02:17.000]  叫別人不要擔心
[00:02:17.000 --> 00:02:19.000]  為什麼你不需要擔心
[00:02:19.000 --> 00:02:23.000]  有些多數病人都有兩擔心
[00:02:23.000 --> 00:02:25.000]  那你做psychologist
[00:02:25.000 --> 00:02:26.000]  psychiatrist
[00:02:26.000 --> 00:02:28.000]  不只是有patient賺錢就算了
[00:02:28.000 --> 00:02:29.000]  你真的要幫他
[00:02:29.000 --> 00:02:31.000]  那開始就研究
[00:02:31.000 --> 00:02:33.000]  為什麼主耶穌走第三步呢
[00:02:33.000 --> 00:02:36.000]  那研究到耶穌走第三步呢
[00:02:36.000 --> 00:02:40.000]  就是說你們要先尋找他的國和他的義
[00:02:40.000 --> 00:02:44.000]  我們人最緊要那段時候呢
[00:02:44.000 --> 00:02:45.000]  就是童年
[00:02:45.000 --> 00:02:47.000]  很多時候和朋友講
[00:02:47.000 --> 00:02:48.000]  香港的朋友
[00:02:48.000 --> 00:02:50.000]  兩夫妻上班就什麼都不用管
[00:02:50.000 --> 00:02:52.000]  找個姐姐帶小孩上學
[00:02:52.000 --> 00:02:54.000]  又煮飯又洗衣服就行了
[00:02:54.000 --> 00:02:56.000]  你要教他
[00:02:56.000 --> 00:02:58.000]  不只是多放一雙筷子
[00:02:58.000 --> 00:03:00.000]  因為童年生活
[00:03:00.000 --> 00:03:02.000]  如果是有喜樂的
[00:03:02.000 --> 00:03:04.000]  那他一生是享用不盡
[00:03:04.000 --> 00:03:06.000]  如果童年生活是有缺陷的話
[00:03:06.000 --> 00:03:07.000]  有很多人犯罪
[00:03:07.000 --> 00:03:09.000]  就因為童年有些陰影
[00:03:09.000 --> 00:03:10.000]  但那些陰影
[00:03:10.000 --> 00:03:11.000]  童年的記憶
[00:03:11.000 --> 00:03:13.000]  那個所謂childhood memory
[00:03:13.000 --> 00:03:15.000]  那個記憶是不可以換的
[00:03:15.000 --> 00:03:16.000]  你不可以將它拿出來
[00:03:16.000 --> 00:03:19.000]  心理醫生甚至精神分析師
[00:03:19.000 --> 00:03:20.000]  最高級的心理醫生
[00:03:20.000 --> 00:03:22.000]  不可以將他老的那東西拿出來
[00:03:22.000 --> 00:03:23.000]  換那一塊
[00:03:23.000 --> 00:03:24.000]  不可以
[00:03:24.000 --> 00:03:26.000]  但耶穌就可以
[00:03:26.000 --> 00:03:28.000]  因為你既然有些陰影在那裏
[00:03:28.000 --> 00:03:29.000]  有現實
[00:03:29.000 --> 00:03:30.000]  有陰影
[00:03:30.000 --> 00:03:31.000]  有童年的陰影
[00:03:31.000 --> 00:03:34.000]  主耶穌說我再加那東西上去
[00:03:34.000 --> 00:03:36.000]  你可以擔心
[00:03:36.000 --> 00:03:38.000]  但是before you worry
[00:03:38.000 --> 00:03:39.000]  你先那東西
[00:03:39.000 --> 00:03:42.000]  那東西就是先尋找神的國和他的義
[00:03:42.000 --> 00:03:46.000]  seek ye first his kingdom and his righteousness
[00:03:46.000 --> 00:03:49.000]  那什麼叫做kingdom呢
[00:03:49.000 --> 00:03:51.000]  kingdom有兩個
[00:03:51.000 --> 00:03:53.000]  我們不要以為
[00:03:53.000 --> 00:03:54.000]  我們的上帝
[00:03:54.000 --> 00:03:57.000]  我信神而已
[00:03:57.000 --> 00:03:58.000]  你可以信可無的
[00:03:58.000 --> 00:04:00.000]  你信有就有
[00:04:00.000 --> 00:04:02.000]  你信沒有就沒有
[00:04:02.000 --> 00:04:03.000]  不是
