
[00:00:00.000 --> 00:00:03.780]  最近這幾個星期發生了很多令香港人憂心的事
[00:00:03.780 --> 00:00:06.840]  例如要經常考慮疫情的擴散
[00:00:06.840 --> 00:00:08.840]  確診個案有沒有多到
[00:00:08.840 --> 00:00:11.700]  究竟疫情何時才會完呢?
[00:00:11.700 --> 00:00:17.640]  又經常數著家裏的口罩還有多少?夠不夠用呢?
[00:00:17.640 --> 00:00:20.180]  甚至連一些平時貨源充足的
[00:00:20.180 --> 00:00:22.400]  好像米、廁紙
[00:00:22.400 --> 00:00:24.280]  又經常用來洗澡
[00:00:24.280 --> 00:00:25.860]  又經常用來洗澡
[00:00:25.860 --> 00:00:27.360]  又經常用來洗澡
[00:00:27.360 --> 00:00:28.860]  又經常用來洗澡
[00:00:28.860 --> 00:00:30.240]  像米、廁紙一樣
[00:00:30.240 --> 00:00:32.240]  我們都憂心買不到
[00:00:32.240 --> 00:00:33.580]  到處去搶
[00:00:33.580 --> 00:00:35.580]  還排隊呢?
[00:00:35.580 --> 00:00:38.080]  這些都是近來大家面對
[00:00:38.080 --> 00:00:41.200]  很真實的生活上的情況
[00:00:41.200 --> 00:00:42.880]  耶穌基督曾經說過
[00:00:42.880 --> 00:00:44.380]  不要為明天憂慮
[00:00:44.380 --> 00:00:46.720]  因為明天自有明天的憂慮
[00:00:46.720 --> 00:00:48.020]  今天的煩惱
[00:00:48.020 --> 00:00:50.020]  今天擔當就夠了
[00:00:50.020 --> 00:00:53.220]  耶穌是叫我們不用為明天憂慮
[00:00:53.220 --> 00:00:54.920]  因為今天的煩惱
[00:00:54.920 --> 00:00:57.920]  今天去擔當就已經夠了
[00:00:57.920 --> 00:01:00.140]  其實祂不是叫我們今天有酒
[00:01:00.140 --> 00:01:01.520]  今天醉
[00:01:01.520 --> 00:01:03.520]  不用為自己去打算
[00:01:03.520 --> 00:01:05.520]  而是說出了一個事實
[00:01:05.520 --> 00:01:08.020]  就是無論我們有多麼的憂心
[00:01:08.020 --> 00:01:10.940]  我們都沒有辦法知道明天會是怎樣的
[00:01:10.940 --> 00:01:12.940]  而明天是怎樣
[00:01:12.940 --> 00:01:15.440]  一切都在天父的掌握裏面
[00:01:15.440 --> 00:01:18.740]  耶穌要我們先求祂的國和祂的義
[00:01:18.740 --> 00:01:22.240]  意思就是要我們無論在任何情況之下
[00:01:22.240 --> 00:01:25.820]  我們都要先行在祂的心意裏面
[00:01:25.820 --> 00:01:28.280]  世紀重贊第三百六十三首
[00:01:28.280 --> 00:01:30.280]  天父必看顧你
[00:01:30.280 --> 00:01:31.720]  歌詞這樣說
[00:01:31.720 --> 00:01:34.020]  任遭何事不要驚怕
[00:01:34.020 --> 00:01:36.020]  天父必看顧你
[00:01:36.020 --> 00:01:39.220]  必將你藏在他恩賜下
[00:01:39.220 --> 00:01:41.220]  天父必看顧你
[00:01:41.220 --> 00:01:43.220]  事事看顧
[00:01:43.220 --> 00:01:45.220]  處處看顧
[00:01:45.220 --> 00:01:47.220]  我鼓勵你每天要有力
[00:01:47.220 --> 00:01:49.220]  喜樂充實地過
[00:01:49.220 --> 00:01:51.220]  做個有信心的人
[00:01:56.220 --> 00:01:59.220]  由 Amara.org 社群提供的字幕
