
[00:00:00.000 --> 00:00:02.800]  多謝主讓我們在聆聽主的說話
[00:00:02.800 --> 00:00:05.600]  而先讓我們再次透過禱告
[00:00:05.600 --> 00:00:09.760]  來將我們的心思、意念交給主我們的神
[00:00:09.760 --> 00:00:16.880]  父神多謝祢讓我們再次回到祢的啟示裡面
[00:00:16.880 --> 00:00:19.360]  藉著祢的僕人俄巴底亞
[00:00:19.360 --> 00:00:22.080]  將上主祢的心思
[00:00:22.080 --> 00:00:26.480]  能夠盡在祂的文字裡面
[00:00:26.480 --> 00:00:30.000]  將祂剖白給我們後世每一個
[00:00:30.000 --> 00:00:32.960]  跟從上帝祢的子民知道
[00:00:32.960 --> 00:00:37.120]  多謝祢讓我們在這些經文裡面
[00:00:37.120 --> 00:00:42.720]  能夠看到上帝祢對我們的關懷和那份的愛
[00:00:42.720 --> 00:00:48.800]  也都怎樣去讓祢的愛與義之間一同去運作
[00:00:48.800 --> 00:00:55.120]  使我們成為一個配在天國裡面作神子民的生命
[00:00:55.120 --> 00:00:58.160]  能夠從今天就開始被塑造出來
[00:00:58.160 --> 00:01:00.720]  求祢的幫助帶領
[00:01:00.720 --> 00:01:05.360]  無論在線上線下的每一個屬祢的子民
[00:01:05.360 --> 00:01:09.440]  我們都能夠一同在崇拜的裡面
[00:01:09.440 --> 00:01:13.600]  不單止透過勾歌頌讚去明白祢的心思
[00:01:13.600 --> 00:01:16.080]  也都透過直接祢的啟示
[00:01:16.080 --> 00:01:19.120]  讓我們能夠知道怎樣在我們今天
[00:01:19.120 --> 00:01:21.520]  每一時每一刻的當中
[00:01:21.520 --> 00:01:26.560]  能夠作出一個與我們所信相稱的屬靈生命
[00:01:26.560 --> 00:01:30.800]  禱告奉靠主耶穌基督德性明智而求
[00:01:30.800 --> 00:01:31.600]  阿們
[00:01:51.520 --> 00:01:53.040]  欺負的時候
[00:01:53.040 --> 00:01:55.520]  無理對待的時候
[00:01:55.520 --> 00:01:58.640]  他回到去和他家人分享
[00:01:58.640 --> 00:02:02.400]  甚至他家人同處一時之後
[00:02:02.400 --> 00:02:08.400]  反而他家人不去為他據理極憎
[00:02:08.400 --> 00:02:10.400]  而是怎樣呢
[00:02:10.400 --> 00:02:15.200]  好像表現出自己好像很公平的表現
[00:02:15.200 --> 00:02:20.000]  不單止不去幫助自己的家人
[00:02:20.000 --> 00:02:23.520]  反而還要脅著自己的家人
[00:02:23.520 --> 00:02:30.720]  憑藉著其他的外面欺負自己家人的人的勢力
[00:02:30.720 --> 00:02:36.320]  來一同去欺壓自己的家人
[00:02:36.320 --> 00:02:39.600]  為什麼會有這種情況呢
[00:02:39.600 --> 00:02:42.720]  人性為什麼會這樣呢
[00:02:42.720 --> 00:02:46.720]  為什麼會用手指咬出而不咬入呢
[00:02:46.720 --> 00:02:54.400]  主要的一個原因是原來在人的生命裡有一份罪
[00:02:54.400 --> 00:02:57.920]  這份罪叫做「自義」
[00:02:57.920 --> 00:03:01.120]  Self-righteousness
[00:03:01.120 --> 00:03:05.120]  他要在眾人的面前
[00:03:05.120 --> 00:03:10.320]  表現出自己好像是比其他人特別公義的
[00:03:10.320 --> 00:03:15.120]  他就看到就算自己家人被欺負
[00:03:15.120 --> 00:03:20.720]  他就表現出好像自己鐵面巫師一樣
[00:03:20.720 --> 00:03:25.520]  是利用一種出賣家人
[00:03:25.520 --> 00:03:30.720]  來讓自己在群眾當中
[00:03:30.720 --> 00:03:37.520]  包裝出一個被人高高在上的道德表現
[00:03:37.520 --> 00:03:40.320]  但是這種表現
[00:03:40.320 --> 00:03:45.120]  是不是最終真的能夠幫助他賺取到他所預期
[00:03:45.120 --> 00:03:49.920]  在眾人面前那份所謂好像德高望重
[00:03:49.920 --> 00:03:54.320]  或者公平巫師的一個身份呢
[00:03:54.320 --> 00:04:03.520]  還是反而被其他人看得到這個人真正醜惡的一面呢
[00:04:03.520 --> 00:04:07.520]  今天我們就來看這個題目
[00:04:07.520 --> 00:04:10.720]  一起透過俄巴底亞書
[00:04:10.720 --> 00:04:14.720]  從第十一節這一節的經文裡面
[00:04:14.720 --> 00:04:19.920]  我們去看一下一個袖手旁觀的人
[00:04:19.920 --> 00:04:24.720]  怎樣在這個世界去打滾的同時
[00:04:24.720 --> 00:04:27.120]  其實他的醜惡
[00:04:27.120 --> 00:04:33.120]  不但不能夠為他自己包裝得好像在道德高地上很清高
[00:04:33.120 --> 00:04:37.720]  反而被人看見他和他們同流合污
[00:04:37.720 --> 00:04:40.120]  都是一樣那麼骯髒的人
[00:04:40.120 --> 00:04:42.720]  所以我希望透過這段聖經
[00:04:42.720 --> 00:04:44.720]  能夠幫助大家去看一下
[00:04:44.720 --> 00:04:48.720]  進一步透過俄巴底亞這位先知
[00:04:48.720 --> 00:04:51.320]  去記述耶和華臣
[00:04:51.320 --> 00:04:57.120]  向著當時欺負他的近親倫邦
[00:04:57.120 --> 00:04:58.720]  這個以東國
[00:04:58.720 --> 00:05:02.120]  怎樣欺負猶大國的子民
[00:05:02.120 --> 00:05:03.920]  從而在當中
[00:05:03.920 --> 00:05:07.120]  以為怎樣將自己包裝得漂亮
[00:05:07.120 --> 00:05:10.320]  結果原來是被人恥笑
[00:05:10.320 --> 00:05:15.720]  讓我們再次一起去打翻開俄巴底亞書第十一節
[00:05:15.720 --> 00:05:19.320]  讓我們一起去讀一下這一節的經文
[00:05:19.320 --> 00:05:21.320]  請大家留意
[00:05:21.320 --> 00:05:24.920]  但凡我們去讀這些經文的時候
[00:05:24.920 --> 00:05:27.520]  尤其是舊約聖經
[00:05:27.520 --> 00:05:28.920]  我們要留心
[00:05:28.920 --> 00:05:31.920]  很多時候舊約聖經的翻譯
[00:05:31.920 --> 00:05:37.520]  因為有很多地方翻譯的翻譯者
[00:05:37.520 --> 00:05:41.920]  未必能夠將它全部翻譯出來
[00:05:41.920 --> 00:05:43.520]  不過我們先看一下
[00:05:43.520 --> 00:05:46.520]  我們和合本是怎樣翻譯出來的
[00:05:46.520 --> 00:05:49.520]  所以之後我們就學一下
[00:05:49.520 --> 00:05:53.520]  怎樣去更準確了解聖經的啟示
[00:05:53.520 --> 00:05:54.520]  好,請大家看節目
[00:05:54.520 --> 00:05:58.120]  我們一起打開俄巴底亞書第十一節
[00:05:58.120 --> 00:05:59.720]  我們一起去讀一下
[00:06:01.720 --> 00:06:06.720]  當外人擄掠瓦國的財物
[00:06:06.720 --> 00:06:10.720]  外邦人進入他的城門
[00:06:10.720 --> 00:06:15.520]  為耶和華冷尖轟的日子
[00:06:15.520 --> 00:06:18.320]  李景站在一旁
[00:06:18.320 --> 00:06:21.720]  仗與他們同火
[00:06:21.720 --> 00:06:24.320]  讓我和大家讀多個版本
[00:06:24.320 --> 00:06:26.720]  New English Translation
[00:06:27.720 --> 00:06:34.120]  You stood alone while strangers took his army captive
[00:06:34.120 --> 00:06:38.720]  and foreigners advanced to his gates
[00:06:38.720 --> 00:06:42.720]  When they cast lots over Jerusalem
[00:06:42.720 --> 00:06:48.720]  you behaved as though you were in league with them
[00:06:48.720 --> 00:06:53.720]  這個是New English Translation的版本
[00:06:53.720 --> 00:06:55.720]  我想讀多一個版本
[00:06:55.720 --> 00:07:00.720]  這個版本叫做New Revised Standard Version
[00:07:00.720 --> 00:07:05.720]  On that day that you stood aside
[00:07:05.720 --> 00:07:11.720]  On that day that strangers carried off his wealth
[00:07:11.720 --> 00:07:15.720]  and foreigners entered his gates
[00:07:15.720 --> 00:07:19.720]  and cast lots for Jerusalem
[00:07:19.720 --> 00:07:23.720]  you two were like one of them
[00:07:23.720 --> 00:07:26.720]  經文讀完了
[00:07:26.720 --> 00:07:30.720]  怎樣去詮釋這段聖經呢?
[00:07:30.720 --> 00:07:32.720]  首先我們先看回上文
[00:07:32.720 --> 00:07:34.720]  上文我們說過些什麼呢?
[00:07:34.720 --> 00:07:36.720]  上文我們說過
[00:07:36.720 --> 00:07:41.720]  以東人最後自招自己的徹底摧毀
[00:07:41.720 --> 00:07:47.720]  其實是因為他們沒有正面地去處理
[00:07:47.720 --> 00:07:51.720]  面對他們自己本身的罪性
[00:07:51.720 --> 00:07:55.720]  於是他們就在這個罪的循環裡面
[00:07:55.720 --> 00:07:57.720]  不斷內捲
[00:07:57.720 --> 00:08:00.720]  而結果是怎樣呢?
[00:08:00.720 --> 00:08:03.720]  罪將他們好像一個繭一樣
[00:08:03.720 --> 00:08:06.720]  狠狠地包圍著
[00:08:06.720 --> 00:08:10.720]  廣東人有句成語叫作繭自綁
