
[00:00:00.000 --> 00:00:08.000]  天賦上帝如願我們的心靈常常對準你、仰望你
[00:00:08.000 --> 00:00:11.000]  因為世界很多東西吸引我們的心
[00:00:11.000 --> 00:00:16.000]  將我們的心思、意念都會扯走
[00:00:16.000 --> 00:00:19.000]  無論是因為世上的思慮
[00:00:19.000 --> 00:00:21.000]  或者我們自己有的私慾
[00:00:21.000 --> 00:00:26.000]  很多的聲音、很多的心頭好
[00:00:26.000 --> 00:00:30.000]  會令我們對屬靈的東西不敏感
[00:00:30.000 --> 00:00:32.000]  甚至沒有胃口
[00:00:32.000 --> 00:00:34.000]  求祢幫助我們
[00:00:34.000 --> 00:00:38.000]  我們回來學習彼此相顧
[00:00:38.000 --> 00:00:41.000]  激發愛心、勉勵行善
[00:00:41.000 --> 00:00:45.000]  叫我們在屬靈的事上不會無知
[00:00:45.000 --> 00:00:49.000]  叫我們在屬靈的事上知道神祢的偉大
[00:00:49.000 --> 00:00:50.000]  祢的作為
[00:00:50.000 --> 00:00:52.000]  叫我們敏感
[00:00:52.000 --> 00:00:54.000]  聖靈在我們生命的工作
[00:00:54.000 --> 00:00:57.000]  不要被世界那麼容易吸走了
[00:00:57.000 --> 00:00:59.000]  求祢幫我們認識祢
[00:00:59.000 --> 00:01:02.000]  認識祢的話語
[00:01:02.000 --> 00:01:04.000]  我特別求主幫助我們
[00:01:04.000 --> 00:01:06.000]  懂得去愛
[00:01:06.000 --> 00:01:10.000]  亦都有敏感對罪
[00:01:10.000 --> 00:01:11.000]  有敏感
[00:01:11.000 --> 00:01:13.000]  以致我們可以真的享受
[00:01:13.000 --> 00:01:16.000]  祢賜給我們基督徒的生命
[00:01:16.000 --> 00:01:17.000]  多謝你聽我們祈禱
[00:01:17.000 --> 00:01:20.000]  奉耶穌的聖名
[00:01:20.000 --> 00:01:25.000]  早兩天,即是昨天和前天
[00:01:25.000 --> 00:01:27.000]  就出了兩個香港的數據
[00:01:27.000 --> 00:01:29.000]  前天我聽到新聞就說
[00:01:29.000 --> 00:01:31.000]  香港的失業率創新低
[00:01:31.000 --> 00:01:33.000]  是不是?有沒有看到?
[00:01:33.000 --> 00:01:35.000]  低過多少百分比?
[00:01:35.000 --> 00:01:37.000]  低過3%
[00:01:37.000 --> 00:01:39.000]  那是不是真的很好景?
[00:01:39.000 --> 00:01:42.000]  都幾好景的
[00:01:42.000 --> 00:01:44.000]  我發覺很多公司說請人請不到的
[00:01:44.000 --> 00:01:46.000]  很多工沒有人做的
[00:01:46.000 --> 00:01:51.000]  但是,昨天政府就告訴我們
[00:01:51.000 --> 00:01:53.000]  香港有創新高
[00:01:53.000 --> 00:01:55.000]  什麼創新高?
[00:01:55.000 --> 00:01:57.000]  貧窮人口有創新高
[00:01:57.000 --> 00:01:58.000]  每五個有一個
[00:01:58.000 --> 00:02:00.000]  今天施事我們有多少人?
[00:02:00.000 --> 00:02:04.000]  當一百,我們有二十個
[00:02:04.000 --> 00:02:06.000]  哪個你覺得你都幾窮的
[00:02:06.000 --> 00:02:08.000]  你拍拍手,一二三
[00:02:08.000 --> 00:02:11.000]  不止五分一
[00:02:11.000 --> 00:02:14.000]  一百三十五萬二千
[00:02:14.000 --> 00:02:19.000]  加上政府的補助補貼
[00:02:19.000 --> 00:02:21.000]  都九十九萬,即是一百
[00:02:21.000 --> 00:02:24.000]  你知道我有時分享
[00:02:24.000 --> 00:02:26.000]  香港有兩樣東西很活該
[00:02:26.000 --> 00:02:30.000]  第一,香港有一樣東西叫在職貧窮
[00:02:30.000 --> 00:02:34.000]  我小時候從來沒想過在職可以貧窮
