
[00:00:00.000 --> 00:00:03.000]  2025年很快就要結束了
[00:00:03.000 --> 00:00:03.920]  我想問問大家
[00:00:03.920 --> 00:00:05.400]  你覺得2025年
[00:00:05.400 --> 00:00:08.880]  今年是不是一個和平之年呢?
[00:00:08.880 --> 00:00:11.640]  是不是充滿和平的?
[00:00:11.640 --> 00:00:13.360]  我不知道大家同意
[00:00:13.360 --> 00:00:17.360]  我自己覺得今年並不是一個和平之年
[00:00:17.360 --> 00:00:18.800]  因為如果你打開新聞的時候
[00:00:18.800 --> 00:00:22.480]  你會發覺很多令人沮喪的新聞
[00:00:22.480 --> 00:00:26.240]  各類型的天災、水災、暴風、山火、地震等等
[00:00:26.240 --> 00:00:28.040]  不同的世界各地都有
[00:00:28.840 --> 00:00:30.920]  不僅如此,我們還有戰爭
[00:00:30.920 --> 00:00:36.680]  今天打到亂七八糟的加沙、烏克蘭
[00:00:36.680 --> 00:00:38.160]  打了幾年
[00:00:38.160 --> 00:00:39.360]  死了幾十萬人
[00:00:39.360 --> 00:00:42.120]  現在還看不到有停止的跡象
[00:00:42.120 --> 00:00:44.160]  而不僅如此
[00:00:44.160 --> 00:00:45.280]  我們還要發覺
[00:00:45.280 --> 00:00:49.840]  今天我們所面對的不僅是戰火、槍炮的戰爭
[00:00:49.840 --> 00:00:51.040]  我們還有什麼戰爭呢?
[00:00:51.040 --> 00:00:57.360]  我們還有經濟、資訊、貿易、科技戰等等
[00:00:58.880 --> 00:01:01.400]  這些所有的戰爭
[00:01:01.400 --> 00:01:03.320]  無論是天災與人禍
[00:01:03.320 --> 00:01:07.040]  都會影響到我們對這個世界的安全感
[00:01:07.040 --> 00:01:09.280]  你說也不要緊的
[00:01:09.280 --> 00:01:10.800]  我們與世無爭
[00:01:10.800 --> 00:01:12.560]  不要管世界發生什麼事
[00:01:12.560 --> 00:01:13.880]  我們留在家裡
[00:01:13.880 --> 00:01:16.720]  不要去高危的地方
[00:01:16.720 --> 00:01:17.800]  管得了別人那麼多
[00:01:17.800 --> 00:01:20.400]  留在家裡就有平安
[00:01:20.400 --> 00:01:21.240]  是不是?
[00:01:21.240 --> 00:01:23.400]  留在家裡就有平安
[00:01:23.400 --> 00:01:26.760]  大家都知道最近香港發生的那場火警
[00:01:26.760 --> 00:01:31.560]  所有村的居民
[00:01:31.560 --> 00:01:33.880]  都在家裡做自己的事
[00:01:33.880 --> 00:01:36.400]  當災難來臨的時候
[00:01:36.400 --> 00:01:38.120]  沒有一個人能夠逃避
[00:01:38.120 --> 00:01:40.760]  究竟今天我們如何在一個那麼動蕩
[00:01:40.760 --> 00:01:43.080]  那麼不安的社會裡面
[00:01:43.080 --> 00:01:45.840]  怎樣才能得到平安呢?
[00:01:45.840 --> 00:01:48.920]  讓我們通過今天的驚雲
[00:01:48.920 --> 00:01:52.080]  讓我們通過大衛的故事
[00:01:52.080 --> 00:01:53.640]  去看看
[00:01:53.640 --> 00:01:56.920]  如何在人生的暴風當中
[00:01:56.920 --> 00:01:58.560]  可以找到平安
[00:01:58.560 --> 00:02:00.200]  驚雲一開始的時候
[00:02:00.200 --> 00:02:01.720]  大衛就跟神說
[00:02:01.720 --> 00:02:06.080]  「夜禍或神,我投靠你」
[00:02:06.080 --> 00:02:08.640]  不知道大家有沒有投靠人的經驗呢?
[00:02:08.640 --> 00:02:11.280]  大家試過投靠人了嗎?
[00:02:11.280 --> 00:02:12.480]  在這個太平盛世
