
[00:00:00.000 --> 00:00:04.000]  菩薩姐妹,讓我們聽上帝的說話,以聖養為同心禱告
[00:00:04.000 --> 00:00:08.000]  弟子們,讓我們聽上帝的話之前,先同心禱告
[00:00:08.000 --> 00:00:14.000]  慈悲天父,多謝祢,讓我們能夠再次回來,可以打開祢寶貴的說話
[00:00:14.000 --> 00:00:20.000]  求祢所賜的靈,誘導我們的心,好想我們都能夠領受當中的教訓
[00:00:20.000 --> 00:00:24.000]  無論聽祂講的,都同夢主祢的恩福
[00:00:24.000 --> 00:00:29.000]  親愛的天父,感謝祢,讓我們今天能夠再次來到你寶貴的說話的跟前
[00:00:29.000 --> 00:00:32.000]  讓我們一起來到聆聽主祢的說話
[00:00:32.000 --> 00:00:40.000]  求祢所賜給我們的心靈,帶領我們學無論講的,聽的,都同夢恩福
[00:00:59.000 --> 00:01:16.000]  香港人有一句俗語,就是你不要再跟我說那麼多耶穌
[00:01:16.000 --> 00:01:19.000]  意思是什麼呢?
[00:01:19.000 --> 00:01:26.000]  就是你不要再來煩我,因為你講的那些東西已經沒有什麼新意
[00:01:26.000 --> 00:01:34.000]  我不知道為什麼,聽見這個說話,我特別因為自己是基督徒,就覺得很不自在
[00:01:34.000 --> 00:01:39.000]  當我聽到這句話的時候,特別是我作為一個基督徒,我就感到非常不自在
[00:01:39.000 --> 00:01:44.000]  不自在是什麼地方呢?不是因為別人提到耶穌的名字那麼簡單
[00:01:44.000 --> 00:01:48.000]  不自在在什麼地方呢?不是說別人提到耶穌的名字那麼簡單
[00:01:48.000 --> 00:02:00.000]  就是當我回想,昔日神為初期教會立了很多不斷讓信徒在思維上突破的教導
[00:02:00.000 --> 00:02:07.000]  就是說神在初期教會的時候,給信徒們突破了很多教導
[00:02:07.000 --> 00:02:15.000]  幫助初期教會的門徒,他們能夠脫離很多人為的枷鎖的一種屬靈生命
[00:02:15.000 --> 00:02:21.000]  就是要信徒能夠脫離這個屬靈枷鎖的一種屬靈生命
[00:02:21.000 --> 00:02:28.000]  不知道什麼時候開始,就演變成到今天的情況,就變成今日的情形
