
[00:00:00.000 --> 00:00:03.640]  歡迎大家來到我們早上的周六崇拜
[00:00:03.640 --> 00:00:05.240]  從去年一月開始
[00:00:05.240 --> 00:00:08.720]  我們一直在研讀《馬可福音》
[00:00:08.720 --> 00:00:13.400]  我們講到系列的總題叫做「非凡的見證」
[00:00:13.400 --> 00:00:16.360]  不是因為馬可是一個非凡的作者
[00:00:16.360 --> 00:00:21.280]  而是因為主耶穌基督是一個非凡的救主
[00:00:21.280 --> 00:00:25.680]  今天是2019年我們最後一次的《馬可福音》講到
[00:00:25.680 --> 00:00:31.720]  因為之後我們就會開始這個聖誕節的講道
[00:00:31.720 --> 00:00:34.560]  而我們要去到2020年可能2月份
[00:00:34.560 --> 00:00:38.720]  我們才再回到《馬可福音》
[00:00:38.720 --> 00:00:42.040]  這段聖經剛剛好幫我們總結了
[00:00:42.040 --> 00:00:46.880]  《馬可福音》第一章至十一章很重要的信息
[00:00:46.880 --> 00:00:52.520]  講到經文是《馬可福音》第十一章二十節至二十五節
[00:00:52.520 --> 00:01:00.040]  講到的題目是「信心可移山,禱告新聖殿」
[00:01:00.040 --> 00:01:04.960]  我相信大家都有聽過愚公移山的故事
[00:01:04.960 --> 00:01:09.320]  故事講到有個堅毅不屈的愚公
[00:01:09.320 --> 00:01:13.040]  他面對著家門前有兩座巨山
[00:01:13.040 --> 00:01:15.440]  他不畏懼、他不退縮
[00:01:15.440 --> 00:01:18.600]  他每天勤奮努力的工作
[00:01:18.600 --> 00:01:24.560]  於是經過多年的努力終於創造了移山的神蹟
[00:01:24.560 --> 00:01:30.440]  愚公移山堅毅創造了奇蹟
[00:01:30.440 --> 00:01:34.520]  故事教導我們只要我們不畏懼艱難
[00:01:34.520 --> 00:01:36.680]  只要我們堅持不懈
[00:01:36.680 --> 00:01:40.000]  終於都會越過所有的難關
[00:01:40.000 --> 00:01:42.320]  達到了成功
[00:01:42.320 --> 00:01:46.160]  這是我小學時候所聽的版本
[00:01:46.160 --> 00:01:50.240]  後來才知道原來這個版本是濃縮版
[00:01:50.240 --> 00:01:54.840]  不是原本整傳的版本
[00:01:54.840 --> 00:01:58.000]  當你回去聽愚公移山的整傳版的時候
[00:01:58.000 --> 00:02:01.720]  你會發覺它有很多層次
[00:02:01.720 --> 00:02:06.360]  而且故事的結局跟之前的結局是完全不一樣的
[00:02:06.360 --> 00:02:08.560]  整傳版是怎樣的呢?
[00:02:08.560 --> 00:02:13.680]  整傳版告訴我們當愚公開始有這個思想要移山的時候
[00:02:13.680 --> 00:02:15.160]  已經九十歲了
[00:02:15.160 --> 00:02:19.360]  而且他老婆說他根本是年老不無力
[00:02:19.360 --> 00:02:22.280]  愚公根本自己沒有移過山
[00:02:22.280 --> 00:02:24.320]  他只不過出了一個想法
[00:02:24.320 --> 00:02:27.400]  然後由他的兒孫去代理
[00:02:27.400 --> 00:02:29.280]  這樣也可以
[00:02:29.280 --> 00:02:32.720]  而當他們開始準備要移山的時候
[00:02:32.720 --> 00:02:34.480]  他們有一個新的問題
[00:02:34.480 --> 00:02:39.840]  就是說將那些石頭、那些泥土挖出來之後怎麼辦呢?
[00:02:39.840 --> 00:02:42.560]  你放在旁邊不就又堆起了另外一座山
[00:02:42.560 --> 00:02:48.880]  於是愚公說我們可以將那些石頭、那些沙石搬到海裡
[00:02:48.880 --> 00:02:52.000]  真的將那座山扔到海裡
[00:02:52.000 --> 00:02:53.400]  這樣也可以
