
[00:00:00.000 --> 00:00:02.000]  各位朋友、親愛的大兄姊妹
[00:00:02.000 --> 00:00:04.000]  我預祝大家聖誕節快樂
[00:00:04.000 --> 00:00:06.000]  因為我知道大家可能有些事情會出門
[00:00:06.000 --> 00:00:08.000]  去跟其他人的家人
[00:00:08.000 --> 00:00:10.000]  出去一同慶祝
[00:00:10.000 --> 00:00:12.000]  又有一些是會留在這裡的
[00:00:12.000 --> 00:00:14.000]  那我剛才介紹過
[00:00:14.000 --> 00:00:16.000]  我們有書會介紹過
[00:00:16.000 --> 00:00:19.000]  我們會有各樣的聖誕慶祝的序號
[00:00:19.000 --> 00:00:21.000]  那我們就在這個
[00:00:21.000 --> 00:00:23.000]  預備這個聖誕節期間
[00:00:23.000 --> 00:00:25.000]  我們就開始了
[00:00:25.000 --> 00:00:27.000]  這個的馬后福音
[00:00:27.000 --> 00:00:29.000]  馬后福音我們這次
[00:00:29.000 --> 00:00:31.000]  是第八講的
[00:00:31.000 --> 00:00:33.000]  上一次如果大家還記得
[00:00:33.000 --> 00:00:35.000]  今次是第八講
[00:00:35.000 --> 00:00:37.000]  第六講的時候他們開始見到
[00:00:37.000 --> 00:00:39.000]  很多的神蹟
[00:00:39.000 --> 00:00:41.000]  耶穌又有個五餅二魚
[00:00:41.000 --> 00:00:43.000]  餵飽了多少千人
[00:00:43.000 --> 00:00:45.000]  五千人
[00:00:45.000 --> 00:00:47.000]  接著又有
[00:00:47.000 --> 00:00:49.000]  第二次又有七塊餅
[00:00:49.000 --> 00:00:51.000]  多少千人
[00:00:51.000 --> 00:00:53.000]  四千個
[00:00:53.000 --> 00:00:55.000]  接著又有在船上過海的時候
[00:00:55.000 --> 00:00:57.000]  耶穌向他們顯然說
[00:00:57.000 --> 00:00:59.000]  一直都在心硬的時候
[00:00:59.000 --> 00:01:01.000]  那耶穌
[00:01:01.000 --> 00:01:03.000]  就繼續用祂的教導
[00:01:03.000 --> 00:01:05.000]  去教導祂
[00:01:05.000 --> 00:01:07.000]  因為門徒我們都是的
[00:01:07.000 --> 00:01:09.000]  我們自己都是
[00:01:09.000 --> 00:01:11.000]  我們信了主初期
[00:01:11.000 --> 00:01:13.000]  就算現在都是
[00:01:13.000 --> 00:01:15.000]  都不是真的
[00:01:15.000 --> 00:01:17.000]  怎麼可能
[00:01:17.000 --> 00:01:19.000]  會有這種時候
[00:01:19.000 --> 00:01:21.000]  上一次主日
[00:01:21.000 --> 00:01:23.000]  陳強弟兄就和我們分享了
[00:01:23.000 --> 00:01:25.000]  怎樣去寫記
[00:01:25.000 --> 00:01:27.000]  主耶穌幾多的預言
[00:01:27.000 --> 00:01:29.000]  他都會被釘十字架
[00:01:29.000 --> 00:01:31.000]  直到那些門徒
[00:01:31.000 --> 00:01:33.000]  還沒明白
[00:01:33.000 --> 00:01:35.000]  我們今天就繼續去爭拗
[00:01:35.000 --> 00:01:37.000]  他們爭拗到如果大家回去看
[00:01:37.000 --> 00:01:39.000]  繼續去看馬可福音的時候
[00:01:39.000 --> 00:01:41.000]  就會看到原來
[00:01:41.000 --> 00:01:43.000]  他們還是很不明白
[00:01:43.000 --> 00:01:45.000]  怎樣去服侍怎樣背起十字架
[00:01:45.000 --> 00:01:47.000]  跟從耶穌
[00:01:47.000 --> 00:01:49.000]  今天我們就藉著我們的經文去分享一個訊息
[00:01:49.000 --> 00:01:51.000]  究竟我們在聖誕節裡面
[00:01:51.000 --> 00:01:53.000]  我們很多時候邀請你
[00:01:53.000 --> 00:01:55.000]  有很多犯罪
[00:01:55.000 --> 00:01:57.000]  吃飯的聚會
[00:01:57.000 --> 00:01:59.000]  不是過飯的犯罪
[00:01:59.000 --> 00:02:01.000]  很多飯吃飯的聚會
[00:02:01.000 --> 00:02:03.000]  去到我們家裡面
[00:02:03.000 --> 00:02:05.000]  一同去慶祝
[00:02:05.000 --> 00:02:07.000]  又有可能去到
[00:02:07.000 --> 00:02:09.000]  家裡
[00:02:09.000 --> 00:02:11.000]  或者出去吃飯
