
[00:00:00.000 --> 00:00:01.400]  給大家招惠平安
[00:00:01.400 --> 00:00:03.840]  各位中六的同學
[00:00:03.840 --> 00:00:05.800]  我們知道今天有很多
[00:00:05.800 --> 00:00:07.760]  是無人尾孫來的中六同學
[00:00:07.760 --> 00:00:11.080]  可不可以揮一揮手
[00:00:11.080 --> 00:00:14.680]  不是,不是中六的,對吧?
[00:00:14.680 --> 00:00:18.500]  請問哪些是無人尾孫的同學?
[00:00:18.500 --> 00:00:19.480]  有的,對吧?
[00:00:19.480 --> 00:00:23.400]  還有我看到有老師、有家長
[00:00:23.400 --> 00:00:24.840]  歡迎你們
[00:00:24.840 --> 00:00:27.760]  今天我跟大家分享訊息
[00:00:27.760 --> 00:00:30.960]  就是這個亞摩斯書七章十七節
[00:00:30.960 --> 00:00:33.600]  如果你今天是第一次回來教會
[00:00:33.600 --> 00:00:35.280]  你會覺得很奇怪
[00:00:35.280 --> 00:00:37.360]  我意思是對於剛才的經文
[00:00:37.360 --> 00:00:38.720]  你可能不是太熟悉
[00:00:38.720 --> 00:00:41.560]  請你忍耐一下
[00:00:41.560 --> 00:00:43.400]  但因為今天我講的時間不會太長
[00:00:43.400 --> 00:00:47.360]  所以不會太把剛才的十節經文
[00:00:47.360 --> 00:00:49.680]  完全地講出來
[00:00:49.680 --> 00:00:51.080]  不過也要鼓勵大家
[00:00:51.080 --> 00:00:52.400]  如果你覺得
[00:00:52.400 --> 00:00:54.160]  現在的牧師好像講了一點
[00:00:54.160 --> 00:00:55.240]  沒有講了一點
[00:00:55.240 --> 00:00:58.240]  那你多回來就會聽多一點
[00:00:58.240 --> 00:01:03.200]  那就讓我們一起低頭祈禱一下
[00:01:03.200 --> 00:01:04.640]  希望我們感謝你
[00:01:04.640 --> 00:01:07.640]  讓我們在你的殿裡面一切的敬拜
[00:01:07.640 --> 00:01:09.000]  雖然現在只有我們大英姐妹
[00:01:09.000 --> 00:01:11.400]  透過網上直播一起的參與
[00:01:11.400 --> 00:01:13.520]  但無論我們在哪一個地方也好
[00:01:13.520 --> 00:01:16.480]  求你幫助我們定征在你的面前
[00:01:16.480 --> 00:01:17.880]  學武你的話語
[00:01:17.880 --> 00:01:20.960]  能夠帶來我們生命的力量
[00:01:20.960 --> 00:01:23.040]  讓我們專心在你的面前
[00:01:23.040 --> 00:01:26.520]  有緣講的和聽的也同盟你的願
[00:01:26.520 --> 00:01:28.680]  祈禱彭主耶穌基督的名求
[00:01:28.680 --> 00:01:30.360]  阿們
[00:01:30.360 --> 00:01:32.760]  好 我想問問大家一個問題
[00:01:32.760 --> 00:01:37.400]  如果你發現你最好的朋友
[00:01:37.400 --> 00:01:41.200]  他的感情關係出現了一些很嚴重的問題
[00:01:41.200 --> 00:01:48.600]  我不是說最近鬧得很熱烘烘的娛樂新聞
[00:01:48.600 --> 00:01:50.640]  不過也很相似的
[00:01:50.640 --> 00:01:54.440]  例如對方其實只有一腳踏兩船
[00:01:54.440 --> 00:01:59.240]  而你是唯一知道真相的人
[00:01:59.240 --> 00:02:02.600]  你會怎樣做呢
[00:02:02.600 --> 00:02:05.200]  我不是說姓梁的那位
[00:02:05.200 --> 00:02:08.680]  我不認識他的
[00:02:08.680 --> 00:02:10.920]  你會怎樣選擇呢
[00:02:10.920 --> 00:02:15.560]  第一 你會選擇很坦白地告訴他
[00:02:15.560 --> 00:02:17.960]  即使這樣也會讓他非常痛苦
[00:02:17.960 --> 00:02:21.680]  甚至可能暫時會怪責你
[00:02:21.680 --> 00:02:26.320]  第二 你會選擇什麼都不要說
[00:02:26.320 --> 00:02:28.720]  我很怕他傷心
[00:02:28.720 --> 00:02:33.000]  更加怕影響了你們之間的友情
[00:02:33.000 --> 00:02:34.040]  繼續任由他吧
[00:02:34.040 --> 00:02:37.560]  讓他自己有一天發現就算了
[00:02:37.560 --> 00:02:39.760]  你會選擇什麼
[00:02:39.760 --> 00:02:41.560]  你會選擇告訴他
[00:02:41.560 --> 00:02:43.600]  不過可能他會生氣
[00:02:43.600 --> 00:02:48.520]  還是你會什麼都不說
[00:02:48.520 --> 00:02:50.720]  因為你很怕他傷心
[00:02:50.720 --> 00:02:54.720]  有多少日子開心就多少日子開心吧
[00:02:54.720 --> 00:02:58.320]  你會怎樣選擇呢
[00:02:58.320 --> 00:03:01.680]  我想大部分的人
[00:03:01.680 --> 00:03:04.840]  可能你都會選擇A
[00:03:04.840 --> 00:03:06.600]  因為真正的朋友
[00:03:06.600 --> 00:03:10.760]  是希望對方活在一個真相的當中
[00:03:10.760 --> 00:03:17.160]  而不是在虛假的幸福裡浸淫
[00:03:17.160 --> 00:03:21.400]  今天我們要看上帝的話就是這樣
[00:03:21.400 --> 00:03:25.480]  我們看到上帝是一位會說真話的上帝
[00:03:25.480 --> 00:03:27.600]  他是我們的朋友
[00:03:27.600 --> 00:03:29.600]  即使有時這個真話
[00:03:29.600 --> 00:03:32.560]  是令我們有點難受
[00:03:32.560 --> 00:03:36.760]  不過都很希望把真話告訴我們
[00:03:36.760 --> 00:03:39.640]  我們首先看看今天經文的背景
