
[00:00:00.000 --> 00:00:03.200]  各位弟兄姊妹,平安,感謝神
[00:00:03.200 --> 00:00:07.100]  讓我再有機會和大家分享講解神的話語
[00:00:07.100 --> 00:00:10.800]  事實上,我們在聖經裏面
[00:00:10.800 --> 00:00:16.300]  我們亦都看到很多時常神職著不同的人的事情
[00:00:16.300 --> 00:00:18.700]  去提醒我們、教導我們的
[00:00:18.700 --> 00:00:22.600]  而今天我們當繼續看《菲勒比書》的時候
[00:00:22.600 --> 00:00:25.000]  不單止我們在結婚上個禮拜
[00:00:25.000 --> 00:00:28.500]  兩個禮拜之前提到提摩太
[00:00:28.500 --> 00:00:30.600]  這位保羅的屬靈兒子
[00:00:30.600 --> 00:00:35.300]  亦都在福音的事上與保羅同工同奴
[00:00:35.300 --> 00:00:38.100]  今次我們就看另一位同工
[00:00:38.100 --> 00:00:42.100]  保羅在書信裏面提到的「爾巴佛提」
[00:00:42.100 --> 00:00:43.600]  「爾巴佛提」這位人物
[00:00:43.600 --> 00:00:46.700]  只是在《菲勒比書》裏面出現過
[00:00:46.700 --> 00:00:48.300]  在《天后歌羅西書》
[00:00:48.300 --> 00:00:51.300]  提到有一位「爾巴佛」應該是另一個人
[00:00:51.300 --> 00:00:52.700]  他們名字雖然很接近
[00:00:52.700 --> 00:00:55.600]  但是很明顯應該是另一個人
[00:00:55.600 --> 00:00:57.100]  而「爾巴佛提」
[00:00:57.100 --> 00:01:00.800]  他是希臘背景,並不是猶太人
[00:01:00.800 --> 00:01:04.800]  因為他的名字「爾巴佛提」
[00:01:04.800 --> 00:01:10.100]  他的名字的背景是一位希臘女神的名字
[00:01:10.100 --> 00:01:11.400]  雖然到第一世紀的時候
[00:01:11.400 --> 00:01:12.500]  這個名字已經普及了
[00:01:12.500 --> 00:01:14.800]  與外邦宗教沒有太大關係
[00:01:14.800 --> 00:01:16.500]  而這個字的意思
[00:01:16.500 --> 00:01:20.600]  他的名字的意思是指有魅力、英俊的意思
[00:01:20.600 --> 00:01:25.400]  正如我們有些弟兄姊妹中文名有「俊」字一樣
[00:01:25.400 --> 00:01:27.200]  如果覺得太難記的話
[00:01:27.200 --> 00:01:30.200]  記住這個意思等於俊男,這樣就可以了
[00:01:30.200 --> 00:01:34.000]  這位外邦人在菲勒比教會
[00:01:34.000 --> 00:01:36.400]  就是在菲勒比那裏信了主耶穌
[00:01:36.400 --> 00:01:40.700]  也成為了菲勒比教會其中一位的領袖
[00:01:40.700 --> 00:01:42.100]  在書信裏面我們看到
[00:01:42.100 --> 00:01:45.300]  他是被菲勒比教會去差遣
[00:01:45.300 --> 00:01:46.900]  去代表教會
[00:01:46.900 --> 00:01:52.500]  轉達教會給保羅的一些支援和照應
[00:01:52.500 --> 00:01:56.900]  當時當中他也要放下他原本的工作、家人
[00:01:56.900 --> 00:02:02.400]  在教會的侍奉去羅馬城裏面照應保羅
[00:02:02.400 --> 00:02:07.100]  我們先讀一次這篇書信的菲勒比書
[00:02:07.100 --> 00:02:10.000]  二章二十五到三十節
[00:02:10.000 --> 00:02:11.500]  好,預備
[00:02:11.500 --> 00:02:15.300]  然而我想必須打伐爾巴佛梯
[00:02:15.300 --> 00:02:17.400]  到你門那裏去
[00:02:17.400 --> 00:02:19.500]  他是我的弟兄
[00:02:19.500 --> 00:02:23.100]  而我一同做工一同當兵
[00:02:23.100 --> 00:02:25.400]  是你們所差遣的
[00:02:25.400 --> 00:02:28.700]  也是供給我需用的
