
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹你好
[00:00:02.000 --> 00:00:04.000]  各位弟兄姊妹你們好
[00:00:04.000 --> 00:00:07.000]  剛才大家讀了一段經文
[00:00:07.000 --> 00:00:10.000]  就是耶穌基督教導我們不要憂慮
[00:00:10.000 --> 00:00:12.000]  剛才我們所念的經文
[00:00:12.000 --> 00:00:16.000]  就是主耶穌基督教導我們不要去憂慮
[00:00:16.000 --> 00:00:20.000]  今天我就和大家思想一下憂慮這個問題
[00:00:20.000 --> 00:00:23.000]  我們今天要思想的是憂慮這個問題
[00:00:23.000 --> 00:00:26.000]  表面來看憂慮是很簡單的
[00:00:26.000 --> 00:00:29.000]  是發自內心的一種掛念
[00:00:29.000 --> 00:00:32.000]  表面來看是很簡單的
[00:00:32.000 --> 00:00:35.000]  只是內心裏面的一種掛念
[00:00:35.000 --> 00:00:38.000]  這種東西是可有可無的
[00:00:38.000 --> 00:00:41.000]  就視乎每個人的反應不同
[00:00:41.000 --> 00:00:44.000]  這種東西可以有也可以沒有的
[00:00:44.000 --> 00:00:47.000]  是在乎我們怎麼樣去想
[00:00:47.000 --> 00:00:50.000]  其實憂慮就不是這麼簡單的
[00:00:50.000 --> 00:00:53.000]  其實憂慮不是這麼簡單的
[00:00:53.000 --> 00:00:55.000]  試問有多少人說
[00:00:55.000 --> 00:00:59.000]  我現在沒有憂無慮生活得很快樂
[00:00:59.000 --> 00:01:02.000]  試問有誰說我生活得很快樂
[00:01:02.000 --> 00:01:05.000]  沒憂沒累呢
[00:01:05.000 --> 00:01:13.000]  其實憂慮是發自內心的一種感受
[00:01:13.000 --> 00:01:18.000]  是這個憂慮是發自內心的一種感覺
[00:01:18.000 --> 00:01:22.000]  俗語說人無遠慮必有近憂
[00:01:22.000 --> 00:01:28.000]  俗語說人無遠慮必有近憂
[00:01:28.000 --> 00:01:32.000]  這句話是沒有錯的
[00:01:32.000 --> 00:01:35.000]  但一個人憂慮太多的時候
[00:01:35.000 --> 00:01:38.000]  就會變成一種病態叫做抑鬱症
[00:01:38.000 --> 00:01:40.000]  如果憂慮太多的話
[00:01:40.000 --> 00:01:43.000]  人會變成一種憂鬱症
[00:01:43.000 --> 00:01:46.000]  這種病態是很難醫治的
[00:01:46.000 --> 00:01:50.000]  這種病態是很難去醫治的
[00:01:50.000 --> 00:01:56.000]  有很多人認為憂慮和錢財發生關係
[00:01:56.000 --> 00:02:01.000]  有人說這個憂慮是跟錢財發生關係的
[00:02:01.000 --> 00:02:04.000]  正所謂旁賤夫妻百事憂
[00:02:04.000 --> 00:02:08.000]  正所謂是貧賤夫妻百事憂
[00:02:08.000 --> 00:02:11.000]  有人說有錢使得鬼推車
