
[00:00:00.000 --> 00:00:03.000]  我們說神是要透過十災
[00:00:03.000 --> 00:00:05.400]  讓法老
[00:00:05.400 --> 00:00:06.920]  埃及人特別是他們
[00:00:06.920 --> 00:00:08.720]  去認識他是哪一個
[00:00:08.720 --> 00:00:11.160]  十災是顯示什麼呢?
[00:00:11.160 --> 00:00:11.880]  第一
[00:00:11.880 --> 00:00:13.240]  十災要顯示的
[00:00:13.240 --> 00:00:16.280]  就是埃及人所拜的那些偶像
[00:00:16.280 --> 00:00:18.080]  全部都是沒有能力的
[00:00:18.080 --> 00:00:19.600]  唯有耶和華
[00:00:19.600 --> 00:00:22.120]  才是那位掌管天地
[00:00:22.120 --> 00:00:24.720]  創造天地萬物的獨一真神
[00:00:24.720 --> 00:00:26.720]  為什麼要顯示這件事呢?
[00:00:26.720 --> 00:00:29.200]  因為當我們回顧十災的時候
[00:00:29.200 --> 00:00:33.720]  原來我們了解埃及的一些信仰文化的時候
[00:00:33.720 --> 00:00:36.120]  我們發覺十災裡面的內容
[00:00:36.120 --> 00:00:41.040]  其實跟埃及的信仰是非常吻合的
[00:00:41.040 --> 00:00:43.680]  其實這個十災裡面的內容
[00:00:43.680 --> 00:00:47.480]  其實是針對埃及的那些拜偶像
[00:00:47.480 --> 00:00:48.640]  這件事情
[00:00:48.640 --> 00:00:51.720]  因為其實埃及人信很多的神
[00:00:51.720 --> 00:00:52.920]  不同的神
[00:00:52.920 --> 00:00:54.520]  八成家我們會看到
[00:00:54.520 --> 00:00:58.800]  而其實法老就是他們所謂的
[00:00:58.800 --> 00:01:00.240]  萬神之神
[00:01:00.240 --> 00:01:02.800]  最終在這些神之上
[00:01:02.800 --> 00:01:03.800]  就是法老
[00:01:03.800 --> 00:01:06.040]  所有人都要去拜法老
[00:01:06.040 --> 00:01:09.320]  所以法老亦都認為自己就是神
[00:01:09.320 --> 00:01:13.280]  我們開始看十災在哪十災
[00:01:13.280 --> 00:01:15.560]  第一災是水變血
[00:01:15.560 --> 00:01:17.880]  我們這裡因為今天的經文很多
[00:01:17.880 --> 00:01:20.200]  請大家自己回去詳細的看
[00:01:20.200 --> 00:01:21.840]  我在這裡做一個概要
[00:01:21.840 --> 00:01:25.320]  我們一起來看看十災和當中的內容
[00:01:25.320 --> 00:01:28.720]  第一災是水變血
[00:01:28.720 --> 00:01:32.840]  就是神將尼羅河的水變成血
[00:01:32.840 --> 00:01:33.840]  裡面的魚
[00:01:33.840 --> 00:01:35.440]  以致裡面的魚死了
[00:01:35.440 --> 00:01:37.240]  水發臭
[00:01:37.240 --> 00:01:39.120]  就沒有辦法去飲用
[00:01:39.120 --> 00:01:40.720]  其實為什麼要對付
[00:01:40.720 --> 00:01:44.960]  水變血將尼羅河水變血
[00:01:44.960 --> 00:01:49.520]  其實就是對付他們所謂的尼羅河之神
[00:01:49.520 --> 00:01:51.320]  其實埃及人覺得
[00:01:51.320 --> 00:01:52.560]  我們為什麼這麼富庶
[00:01:52.560 --> 00:01:54.480]  是因為我們有尼羅河
[00:01:54.480 --> 00:01:55.640]  是因為有水源
[00:01:55.640 --> 00:01:59.240]  而這個水的河也令到他們的土地很肥沃
[00:01:59.240 --> 00:02:00.960]  所以可以有很多的生產
[00:02:00.960 --> 00:02:05.960]  所以其實他們就將尼羅河人格化地在這裡拜
[00:02:05.960 --> 00:02:07.600]  其實我們在聖經裡面會見到
[00:02:07.600 --> 00:02:10.000]  很多次摩西在清早的時候
[00:02:10.000 --> 00:02:11.800]  就來到去見法老
[00:02:11.800 --> 00:02:15.840]  其實相信當時法老應該在尼羅河邊
[00:02:15.840 --> 00:02:16.360]  為什麼
[00:02:16.360 --> 00:02:17.840]  因為他每天的早上
[00:02:17.840 --> 00:02:19.520]  他都會來到尼羅河邊
[00:02:19.520 --> 00:02:21.000]  來拜太陽神
[00:02:21.000 --> 00:02:22.520]  以及尼羅河神
[00:02:22.520 --> 00:02:27.600]  希望這個神能夠賜給他們埃及生命和封聖
[00:02:27.600 --> 00:02:28.920]  所以第一災
[00:02:28.920 --> 00:02:32.120]  神就是來到擊打尼羅河神
[00:02:32.120 --> 00:02:34.200]  告訴埃及人
[00:02:34.200 --> 00:02:36.760]  你們所拜的只不過是一條河
[00:02:36.760 --> 00:02:38.000]  秘造之物
[00:02:38.000 --> 00:02:41.600]  神是勝過埃及的尼羅河神
[00:02:41.600 --> 00:02:42.920]  這是第一災
[00:02:42.920 --> 00:02:44.360]  第二災是什麼
[00:02:44.360 --> 00:02:45.080]  你看到的
[00:02:45.080 --> 00:02:46.560]  青蛙
[00:02:46.560 --> 00:02:50.040]  神就讓青蛙在河裡跳出來
[00:02:50.040 --> 00:02:51.400]  遍滿全地
