
[00:00:00.000 --> 00:00:04.600]  其實今天是2020年的第一個主日,第一個週末
[00:00:04.600 --> 00:00:07.600]  當然我自己讀神學的時候
[00:00:07.600 --> 00:00:09.600]  我們神學院教導就是說
[00:00:09.600 --> 00:00:13.200]  每當我們去到不同的節期的時候
[00:00:13.200 --> 00:00:16.400]  都會講一些道是跟節期有些關係
[00:00:16.400 --> 00:00:18.000]  所以復活節一定講復活節
[00:00:18.000 --> 00:00:19.400]  聖誕節一定講聖誕節
[00:00:19.400 --> 00:00:20.400]  新年就講新年
[00:00:20.400 --> 00:00:22.800]  這些不是錯的,絕對是對的
[00:00:22.800 --> 00:00:24.200]  但是當我自己去想
[00:00:24.200 --> 00:00:28.800]  今天這個週末是一個新年的第一個主日
[00:00:28.800 --> 00:00:29.800]  第一個週末
[00:00:29.800 --> 00:00:34.600]  理應我應該講一些關於新年的訊息
[00:00:34.600 --> 00:00:36.400]  但是我就開始去想
[00:00:36.400 --> 00:00:40.400]  我去年開始就講耶穌的十二個門徒
[00:00:40.400 --> 00:00:43.400]  我去年是講了兩個門徒
[00:00:43.400 --> 00:00:44.400]  記得是哪兩個嗎?
[00:00:44.400 --> 00:00:47.400]  一個是西門彼得,一個是誰?
[00:00:47.400 --> 00:00:54.400]  巴?
[00:00:54.400 --> 00:00:56.000]  或者是拿什麼?
[00:00:56.000 --> 00:00:57.600]  南葉是嗎?
[00:00:57.600 --> 00:00:58.600]  我希望大家記得
[00:00:58.600 --> 00:01:00.200]  算了,不記得了
[00:01:00.200 --> 00:01:01.200]  不記得了,我明年再講
[00:01:01.200 --> 00:01:03.600]  不,不,不
[00:01:03.600 --> 00:01:04.800]  我就開始去想
[00:01:04.800 --> 00:01:07.600]  我今年有五次在這裡講道
[00:01:07.600 --> 00:01:10.200]  如果這次我不講十二門徒
[00:01:10.200 --> 00:01:12.000]  那就剩下四次
[00:01:12.000 --> 00:01:14.200]  四次講十二門徒的四個
[00:01:14.200 --> 00:01:15.600]  加上去年兩個
[00:01:15.600 --> 00:01:16.800]  就只有六個
[00:01:16.800 --> 00:01:19.400]  明年我不知道我自己有多少次講道
[00:01:19.400 --> 00:01:20.200]  因為我退休了
[00:01:20.200 --> 00:01:21.600]  你跟別人說我退休了
[00:01:21.600 --> 00:01:24.000]  所以我變成如果明年只有四次
[00:01:24.000 --> 00:01:25.600]  我要講十二個門徒
[00:01:25.600 --> 00:01:28.600]  不是要講到2022年嗎?
[00:01:28.600 --> 00:01:30.000]  我不想拖得那麼長
[00:01:30.000 --> 00:01:32.400]  因為我覺得上帝的說話還有很多東西要講
[00:01:32.400 --> 00:01:35.000]  所以我決定今天都講
[00:01:35.000 --> 00:01:38.000]  十二個門徒當中的第三個
[00:01:38.000 --> 00:01:39.400]  但我就開始去想
[00:01:39.400 --> 00:01:42.800]  講哪個門徒是有應景
[00:01:42.800 --> 00:01:47.000]  又不能夠脫離了我不講門徒的
[00:01:47.000 --> 00:01:49.600]  於是我就想到一個門徒
[00:01:49.600 --> 00:01:52.600]  叫做粉瑞黨西門
[00:01:52.600 --> 00:01:56.600]  而我的題目就是新的人生
[00:01:56.600 --> 00:01:59.800]  當然你說每個門徒信耶穌都新的人生
[00:01:59.800 --> 00:02:01.600]  今天你信耶穌都新的人生
[00:02:01.600 --> 00:02:04.000]  但我覺得這個粉瑞黨西門
[00:02:04.000 --> 00:02:07.600]  是有些東西比起其他的門徒
[00:02:07.600 --> 00:02:08.800]  是有些特別
[00:02:08.800 --> 00:02:11.200]  正如很多時候我們信耶穌
[00:02:11.200 --> 00:02:12.800]  如果你以前很乖的
[00:02:12.800 --> 00:02:15.400]  信耶穌都繼續乖
[00:02:15.400 --> 00:02:16.400]  沒有什麼特別的
[00:02:16.400 --> 00:02:19.200]  所以很多時候信耶穌沒有什麼見證講
[00:02:19.200 --> 00:02:20.400]  我女兒經常問我
[00:02:20.400 --> 00:02:22.800]  爸爸我信耶穌之後沒有什麼見證
[00:02:22.800 --> 00:02:24.600]  以前都這麼乖 現在又這麼乖
