
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹,新年快樂!
[00:00:03.000 --> 00:00:06.000]  所以在新一年新的開始裏面
[00:00:06.000 --> 00:00:08.000]  我都在這裡祝福大家
[00:00:08.000 --> 00:00:10.000]  在主裏面是
[00:00:10.000 --> 00:00:12.000]  「恩上加恩」
[00:00:12.000 --> 00:00:15.000]  是「恩典上」再加上「神更」都是「恩典」
[00:00:15.000 --> 00:00:17.000]  還有「恩上加恩」
[00:00:17.000 --> 00:00:18.000]  「恩」還有甚麼?
[00:00:18.000 --> 00:00:20.000]  「力上加力」
[00:00:20.000 --> 00:00:22.000]  我都跟你旁邊的人說一次
[00:00:22.000 --> 00:00:23.000]  祝福他,好嗎?
[00:00:23.000 --> 00:00:24.000]  「恩上加恩」
[00:00:24.000 --> 00:00:26.000]  「力上加力」
[00:00:26.000 --> 00:00:28.000]  彼此彼代祝福
[00:00:28.000 --> 00:00:32.000]  今天的講道和我們的名字有關係
[00:00:32.000 --> 00:00:34.000]  我們人人都有一個名字
[00:00:34.000 --> 00:00:36.000]  但你知不知道
[00:00:36.000 --> 00:00:39.000]  你的名字背後的意思
[00:00:39.000 --> 00:00:41.000]  究竟是甚麼呢?
[00:00:41.000 --> 00:00:44.000]  為甚麼我們的父母要改我們這個名字呢?
[00:00:44.000 --> 00:00:46.000]  可能在座的父母
[00:00:46.000 --> 00:00:49.000]  當你要為自己的子女提名的時候
[00:00:49.000 --> 00:00:51.000]  你會怎樣改?
[00:00:51.000 --> 00:00:53.000]  可能在座的父母心裏面就想
[00:00:53.000 --> 00:00:57.000]  這個名字要成為孩子一生的祝福
[00:00:57.000 --> 00:01:02.000]  又或者你對這個孩子心靈裏面有期望
[00:01:02.000 --> 00:01:05.000]  但我要在此感謝我的父母
[00:01:05.000 --> 00:01:09.000]  感謝我的父母給我一個我很喜歡的名字
[00:01:09.000 --> 00:01:11.000]  我是誰?
[00:01:11.000 --> 00:01:14.000]  對了!背音其實有很多解釋
[00:01:14.000 --> 00:01:17.000]  有很多信徒一見到背音的時候
[00:01:17.000 --> 00:01:18.000]  他們就說
[00:01:18.000 --> 00:01:22.000]  「嗯,你當然是出生在一個基督教的家庭裏面」
[00:01:22.000 --> 00:01:24.000]  「來到這裏成長」
[00:01:24.000 --> 00:01:27.000]  知不知道他們為甚麼會這樣問?
[00:01:27.000 --> 00:01:29.000]  因為背音
[00:01:29.000 --> 00:01:30.000]  很簡單的意思
[00:01:30.000 --> 00:01:32.000]  你照著解就已經知道
[00:01:32.000 --> 00:01:35.000]  知不知道為甚麼?
[00:01:35.000 --> 00:01:38.000]  我聽到杜牧師在哪裏
[00:01:38.000 --> 00:01:40.000]  我說「杜牧師,你真厲害」
[00:01:40.000 --> 00:01:42.000]  就是「充沛的恩典」
[00:01:42.000 --> 00:01:45.000]  或者「恩與充沛」這樣解釋
[00:01:45.000 --> 00:01:48.000]  所以每當弟兄姊妹一叫我「背音!」
[00:01:48.000 --> 00:01:49.000]  「背音!」的時候
[00:01:49.000 --> 00:01:52.000]  「嗯」又給我再一次提醒
[00:01:52.000 --> 00:01:55.000]  神的恩典是非常充滿
[00:01:55.000 --> 00:01:57.000]  每一天來祝福我
[00:01:57.000 --> 00:02:01.000]  充沛的恩典來傾淋在我裏面
[00:02:01.000 --> 00:02:03.000]  不過我想告訴大家
[00:02:03.000 --> 00:02:05.000]  當父母為我提名的時候
[00:02:05.000 --> 00:02:07.000]  他們是未信主的
[00:02:07.000 --> 00:02:10.000]  但是原來我父母在他們的字典裏面
[00:02:10.000 --> 00:02:12.000]  是可以解釋的
[00:02:12.000 --> 00:02:13.000]  今次考考你
[00:02:13.000 --> 00:02:17.000]  這個配字是我媽媽特別要用的
[00:02:17.000 --> 00:02:20.000]  這個配字是甚麼部首?
[00:02:20.000 --> 00:02:24.000]  「水」就代表甚麼呢?
[00:02:24.000 --> 00:02:26.000]  哈哈哈!
[00:02:26.000 --> 00:02:28.000]  真的很明白
[00:02:28.000 --> 00:02:30.000]  所以日新年的時候
[00:02:30.000 --> 00:02:33.000]  我們會恭喜甚麼?
[00:02:33.000 --> 00:02:35.000]  當然我們的發財
[00:02:35.000 --> 00:02:37.000]  就是天上的財
[00:02:37.000 --> 00:02:39.000]  跟你旁邊的人說一聲
[00:02:39.000 --> 00:02:40.000]  恭喜你發財
[00:02:40.000 --> 00:02:41.000]  但是是甚麼?
[00:02:41.000 --> 00:02:45.000]  是天上的財寶
[00:02:45.000 --> 00:02:51.000]  但是「恩」字的部首又是甚麼呢?
[00:02:51.000 --> 00:02:53.000]  你知道為甚麼嗎?
[00:02:53.000 --> 00:02:56.000]  又是特意用「恩」字的
[00:02:56.000 --> 00:02:58.000]  「恩」字要有個心
[00:02:58.000 --> 00:03:01.000]  作為子女你一定要有個心
[00:03:01.000 --> 00:03:03.000]  即是說甚麼呢?
[00:03:03.000 --> 00:03:05.000]  就是你要孝順
[00:03:05.000 --> 00:03:06.000]  你要長大
[00:03:06.000 --> 00:03:08.000]  小時候爸爸媽媽照顧你
[00:03:08.000 --> 00:03:09.000]  但是長大的時候
[00:03:09.000 --> 00:03:11.000]  爸爸媽媽年老的時候
[00:03:11.000 --> 00:03:12.000]  我們要怎樣呢?
[00:03:12.000 --> 00:03:14.000]  我們就是孝順子女
[00:03:14.000 --> 00:03:17.000]  我們就要祝福我們的父母
[00:03:17.000 --> 00:03:21.000]  原來配音其實真正的意思
[00:03:21.000 --> 00:03:24.000]  是我爸爸媽媽對我的期望
[00:03:24.000 --> 00:03:28.000]  是一個這樣的祝福的意思
[00:03:28.000 --> 00:03:30.000]  但是有一次我覺得很奇怪
[00:03:30.000 --> 00:03:31.000]  為甚麼呢?
[00:03:31.000 --> 00:03:34.000]  有一次我收到結婚帖的時候
[00:03:34.000 --> 00:03:39.000]  竟然寫著「銀配音弟兄」
[00:03:39.000 --> 00:03:41.000]  我百思不得其解
[00:03:41.000 --> 00:03:44.000]  為甚麼你會寫著「弟兄」呢?
[00:03:44.000 --> 00:03:45.000]  雖然我知道
[00:03:45.000 --> 00:03:48.000]  印貼那個人當然不會認識我
[00:03:48.000 --> 00:03:51.000]  但是你也不會寫「弟兄」吧?
[00:03:51.000 --> 00:03:55.000]  然後原來我最後就知道了
[00:03:55.000 --> 00:03:57.000]  原來我這個名字真是男孩子的名字
[00:03:57.000 --> 00:03:59.000]  「弟兄之輩」,知道嗎?
[00:03:59.000 --> 00:04:01.000]  原來女孩子的配音
[00:04:01.000 --> 00:04:03.000]  就不是用這個配音
[00:04:03.000 --> 00:04:05.000]  知不知道用哪個配音呢?
[00:04:05.000 --> 00:04:07.000]  甚麼話?
[00:04:07.000 --> 00:04:09.000]  是這麼聰明的
[00:04:09.000 --> 00:04:11.000]  就是用「奇人」哪個配音
[00:04:11.000 --> 00:04:13.000]  還有那個「恩」字
[00:04:13.000 --> 00:04:17.000]  就是用剛才那個「欣賞」那個「恩」
[00:04:17.000 --> 00:04:19.000]  所以我才知道
[00:04:19.000 --> 00:04:22.000]  原來我那個是男孩子的名字
[00:04:22.000 --> 00:04:23.000]  就是這樣
[00:04:23.000 --> 00:04:26.000]  不過無論男孩子還是女孩子
[00:04:26.000 --> 00:04:28.000]  父母幫我們改名字
[00:04:28.000 --> 00:04:32.000]  一定是成為我們生命裡的一份祝福
[00:04:32.000 --> 00:04:35.000]  所以「弟兄之輩」就叫我配音
[00:04:35.000 --> 00:04:36.000]  叫我配音傳道
[00:04:36.000 --> 00:04:41.000]  我就會再次被提醒,主的恩典夠我用
