
[00:00:00.000 --> 00:00:02.000]  大兄姐妹,早晨
[00:00:02.000 --> 00:00:04.000]  網上大兄姐妹也早晨
[00:00:04.000 --> 00:00:07.000]  多謝主席幫我讀出經文
[00:00:07.000 --> 00:00:09.000]  多謝,還有介紹
[00:00:09.000 --> 00:00:11.000]  我們先禱告,好嗎?
[00:00:11.000 --> 00:00:17.000]  親愛的主
[00:00:17.000 --> 00:00:21.000]  我求祢和我們在一起
[00:00:21.000 --> 00:00:25.000]  求祢的聖靈要我們同在
[00:00:25.000 --> 00:00:28.000]  讓我們無論網上聽的
[00:00:28.000 --> 00:00:30.000]  或者是現場聽的
[00:00:30.000 --> 00:00:32.000]  講的
[00:00:32.000 --> 00:00:34.000]  都可以與祢合一
[00:00:34.000 --> 00:00:38.000]  多謝天父祢聽我們禱告
[00:00:38.000 --> 00:00:40.000]  逢主耶穌命靠,阿們
[00:00:40.000 --> 00:00:45.000]  首先今天講一個講題
[00:00:45.000 --> 00:00:48.000]  就是說在主次裡面的信心裡面
[00:00:48.000 --> 00:00:51.000]  重新認識自己和他人
[00:00:51.000 --> 00:00:54.000]  因為我不是聖經學者
[00:00:54.000 --> 00:00:57.000]  我研究輔導比較多
[00:00:57.000 --> 00:01:00.000]  所以今天想講一些關於認識自己
[00:01:00.000 --> 00:01:02.000]  在經文裡面,在主裡面
[00:01:02.000 --> 00:01:04.000]  如何認識自己和認識身邊的人
[00:01:04.000 --> 00:01:06.000]  這個講題
[00:01:06.000 --> 00:01:09.000]  我首先介紹一下自己
[00:01:09.000 --> 00:01:12.000]  也有很多星期五團契的
[00:01:12.000 --> 00:01:14.000]  大兄姐妹在這裡
[00:01:14.000 --> 00:01:16.000]  早上的時候也有很多
[00:01:16.000 --> 00:01:18.000]  以利亞團契的大兄姐妹
[00:01:18.000 --> 00:01:21.000]  我現在也是在星期五團契裡面
[00:01:21.000 --> 00:01:24.000]  其實本身這次的講道
[00:01:24.000 --> 00:01:27.000]  是在六月份的時候
[00:01:27.000 --> 00:01:29.000]  我也想自我介紹一下
[00:01:29.000 --> 00:01:31.000]  可能因為看起來
[00:01:31.000 --> 00:01:33.000]  也不是很多大兄姐妹認識我
[00:01:33.000 --> 00:01:35.000]  有些也不認識
[00:01:35.000 --> 00:01:37.000]  其實你看到我站在這裡
[00:01:37.000 --> 00:01:40.000]  好像都還不錯,是吧?
[00:01:40.000 --> 00:01:43.000]  都很正確,是吧?
[00:01:43.000 --> 00:01:45.000]  有眼,有鼻,有嘴巴
[00:01:45.000 --> 00:01:47.000]  撿起來一起
[00:01:47.000 --> 00:01:50.000]  但是其實我是一個病友
[00:01:50.000 --> 00:01:53.000]  我自己從小到大
[00:01:53.000 --> 00:01:56.000]  應該是有過度活躍
[00:01:56.000 --> 00:02:00.000]  我也有抑鬱和焦慮
[00:02:00.000 --> 00:02:02.000]  我也在吃藥
[00:02:02.000 --> 00:02:05.000]  本身之前跟醫生合作
[00:02:05.000 --> 00:02:07.000]  打算可以戒藥
[00:02:07.000 --> 00:02:09.000]  打算停了藥可以OK
[00:02:09.000 --> 00:02:11.000]  誰不知四月份
[00:02:11.000 --> 00:02:13.000]  今年的時候又再病發
[00:02:13.000 --> 00:02:16.000]  又要重新,又要重新吃藥
