
[00:00:00.000 --> 00:00:06.480]  我今天的講題是來自啟示錄第十九章
[00:00:06.480 --> 00:00:10.640]  我講啟示錄都過去一年多兩年的時間
[00:00:10.640 --> 00:00:17.800]  由第一章講到終於來到第十九章的地方
[00:00:17.800 --> 00:00:21.080]  為甚麼要講呢?
[00:00:21.080 --> 00:00:23.360]  其實在現在這個世界裏面
[00:00:23.360 --> 00:00:27.520]  我想我們大家都有同樣的感覺
[00:00:27.520 --> 00:00:30.880]  那個聲音真的很雜亂
[00:00:30.880 --> 00:00:33.440]  是令人心煩意亂
[00:00:33.440 --> 00:00:35.080]  如果你看回啟示錄裏面
[00:00:35.080 --> 00:00:40.200]  一直都有這種相當之鬱悶
[00:00:40.200 --> 00:00:42.600]  相當之沉重的聲音
[00:00:42.600 --> 00:00:45.560]  無論是揭開七印
[00:00:45.560 --> 00:00:48.000]  有七個號角吹響
[00:00:48.000 --> 00:00:52.000]  有七碗的傾倒等等
[00:00:52.000 --> 00:00:57.880]  這些都是令人覺得這個世界真的很紛亂
[00:00:57.880 --> 00:01:00.000]  很多的痛苦
[00:01:00.000 --> 00:01:01.840]  很多的壓力
[00:01:01.840 --> 00:01:06.880]  我想大家都在香港這一段日子
[00:01:06.880 --> 00:01:08.640]  都不諱言的
[00:01:08.640 --> 00:01:12.640]  就你心裏面響起甚麼聲音
[00:01:12.640 --> 00:01:17.240]  對你自己都有很多不同情緒的影響
[00:01:17.240 --> 00:01:19.120]  無論你是甚麼背景
[00:01:19.120 --> 00:01:20.680]  甚麼立場
[00:01:20.680 --> 00:01:22.480]  只要你有個心在那裏
[00:01:22.480 --> 00:01:24.560]  我相信都會覺得亂
[00:01:24.560 --> 00:01:27.080]  覺得不舒服
[00:01:27.080 --> 00:01:30.480]  就算在基督的群體裏面
[00:01:30.480 --> 00:01:33.880]  我發覺到那個聲音
[00:01:33.880 --> 00:01:36.240]  其實都很雜亂
[00:01:36.240 --> 00:01:39.720]  有很多很多不同的東西
[00:01:39.720 --> 00:01:42.480]  當然最近我們聽見的就是
[00:01:42.480 --> 00:01:47.600]  有香港的事我不講了
[00:01:47.600 --> 00:01:49.520]  因為很難講的
[00:01:49.520 --> 00:01:53.040]  你講甚麼都等於講了
[00:01:53.040 --> 00:01:54.800]  我沒有講
[00:01:54.800 --> 00:01:56.560]  我只是講美國
[00:01:56.560 --> 00:02:01.320]  美國你都覺得是令人的心很鬱
[00:02:01.320 --> 00:02:04.320]  不講這些
[00:02:04.320 --> 00:02:08.280]  現在我們都每個人都戴著口罩
[00:02:08.280 --> 00:02:10.440]  其實我們正在經歷一個
[00:02:10.440 --> 00:02:14.800]  很多雜音很混亂的世界
[00:02:14.800 --> 00:02:19.720]  你看回聖經都告訴我們是真的很混雜的
[00:02:19.720 --> 00:02:22.400]  外邦為甚麼爭鬧
[00:02:22.400 --> 00:02:24.160]  很嘈吵的
[00:02:24.160 --> 00:02:28.720]  萬民為甚麼謀算虛妄的事
[00:02:28.720 --> 00:02:32.360]  世上的君王一齊上來
[00:02:32.360 --> 00:02:35.880]  他們的臣宰一齊來商議
[00:02:35.880 --> 00:02:37.880]  字字浸字字浸
[00:02:37.880 --> 00:02:38.920]  喧鬧
[00:02:38.920 --> 00:02:40.640]  嘈喧巴巴
[00:02:40.640 --> 00:02:43.720]  是在整個世界我們見到
[00:02:43.720 --> 00:02:48.520]  因為他們要敵黨上主
[00:02:48.520 --> 00:02:51.400]  人背叛上主敵黨上主
[00:02:51.400 --> 00:02:53.560]  和他的受高者
[00:02:53.560 --> 00:02:56.240]  人要掙開他們的綑綁
[00:02:56.240 --> 00:02:58.200]  脫去他們的繩索
[00:02:58.200 --> 00:03:00.200]  結果出來是怎樣呢
[00:03:00.200 --> 00:03:04.160]  就是地改變山搖動
[00:03:04.160 --> 00:03:06.840]  水噴軍翻騰
