
[00:00:00.000 --> 00:00:05.220]  我想大家想像一個情景
[00:00:05.220 --> 00:00:07.580]  大家在山上走路的時候
[00:00:07.580 --> 00:00:11.280]  突然之間你前面那個人跳下山
[00:00:11.280 --> 00:00:12.880]  你會怎樣做?
[00:00:12.880 --> 00:00:15.560]  你會有甚麼反應?
[00:00:15.560 --> 00:00:17.980]  馬上彈開
[00:00:17.980 --> 00:00:20.960]  看看有甚麼可以幫忙
[00:00:20.960 --> 00:00:22.800]  又或者馬上拿手機來
[00:00:22.800 --> 00:00:24.120]  不是報警,是拍照
[00:00:24.120 --> 00:00:26.040]  現在最流行
[00:00:26.040 --> 00:00:28.240]  你會有甚麼做?
[00:00:28.240 --> 00:00:31.360]  無論你會做甚麼,我想大概
[00:00:31.360 --> 00:00:34.000]  你不會跟著跳下去吧
[00:00:34.000 --> 00:00:36.680]  但你知不知道這個世界上是有一種動物
[00:00:36.680 --> 00:00:39.080]  真的會這樣做
[00:00:39.080 --> 00:00:40.880]  甚麼動物?
[00:00:40.880 --> 00:00:43.280]  羊
[00:00:43.280 --> 00:00:47.080]  在2005年土耳其有一段這樣的新聞
[00:00:47.080 --> 00:00:48.720]  不好意思,我預備了一個slide
[00:00:48.720 --> 00:00:52.240]  今天有些技術的問題放不出來
[00:00:52.240 --> 00:00:54.640]  所以大家要更加留心
[00:00:54.640 --> 00:00:57.040]  用你的想像力
[00:00:57.040 --> 00:00:59.240]  在2005年土耳其有一段這樣的新聞
[00:00:59.240 --> 00:01:02.880]  有一群牧羊人要吃早餐
[00:01:02.880 --> 00:01:04.680]  吃早餐的時候
[00:01:04.680 --> 00:01:08.240]  留下的羊就在山上自己吃草
[00:01:08.240 --> 00:01:09.680]  不知是甚麼原因
[00:01:09.680 --> 00:01:13.440]  有一隻羊不知是失戀還是失業
[00:01:13.440 --> 00:01:16.800]  還是失足,就掉了下山
[00:01:16.800 --> 00:01:18.560]  更加難以想像的是
[00:01:18.560 --> 00:01:22.120]  其他的羊竟然跟著這隻羊一起跳下山
[00:01:22.120 --> 00:01:26.200]  大家都很開心地跳下山
[00:01:26.200 --> 00:01:29.280]  冒險家喜歡玩笨豬跳
[00:01:29.280 --> 00:01:31.040]  大家知不知道,笨豬跳
[00:01:31.040 --> 00:01:33.360]  喜歡綁著腳在高處跳下來
[00:01:33.360 --> 00:01:36.640]  然後彈來彈去,笨豬跳
[00:01:36.640 --> 00:01:40.240]  但土耳其這群羊
[00:01:40.240 --> 00:01:42.360]  喜歡玩笨羊跳
[00:01:42.360 --> 00:01:44.080]  就是這樣跳
[00:01:44.080 --> 00:01:45.880]  死了450隻羊
[00:01:45.880 --> 00:01:52.440]  場面真是,你看到450隻羊在山腳底橫屍
[00:01:52.440 --> 00:01:53.520]  我們大家都聽過
[00:01:53.520 --> 00:01:56.120]  羊不是一種聰明的動物
[00:01:56.120 --> 00:01:59.440]  但很難想像到會笨到這樣
[00:01:59.440 --> 00:02:02.920]  中國人笑人們說甚麼豬那麼笨
[00:02:02.920 --> 00:02:04.680]  經過這個故事之後
[00:02:04.680 --> 00:02:09.040]  我們可以說甚麼羊那麼笨
[00:02:09.040 --> 00:02:13.240]  不過聖經很多時候
[00:02:13.240 --> 00:02:15.560]  用羊來比喻人
[00:02:15.560 --> 00:02:17.360]  今天我們所讀的經文裏
[00:02:17.360 --> 00:02:19.720]  聖經,耶穌甚至宣告
[00:02:19.720 --> 00:02:23.200]  他是羊的好木人
[00:02:23.200 --> 00:02:25.120]  甚麼意思
[00:02:25.120 --> 00:02:27.760]  今天讓我們一重來看一看
[00:02:27.760 --> 00:02:30.480]  這一段經文
[00:02:30.480 --> 00:02:31.600]  今天所讀的經文
[00:02:31.600 --> 00:02:34.400]  一開始的時候,十章的十一節
[00:02:34.400 --> 00:02:35.560]  主耶穌的宣告就是說
[00:02:35.560 --> 00:02:37.080]  我是好木人
[00:02:37.080 --> 00:02:40.040]  好木人為羊捨命
[00:02:40.040 --> 00:02:42.000]  不過如果我們單單以為
[00:02:42.000 --> 00:02:43.240]  主耶穌所說的
[00:02:43.240 --> 00:02:44.200]  只不過是說
[00:02:44.200 --> 00:02:47.200]  他會做好一份牧羊人的工作
[00:02:47.200 --> 00:02:48.280]  甚至很多個地步
[00:02:48.280 --> 00:02:52.320]  他會為羊犧牲性命的時候
[00:02:52.320 --> 00:02:55.320]  我想我們大概是不能夠領會到
[00:02:55.320 --> 00:02:59.400]  這個宣告的真正意思
[00:02:59.400 --> 00:03:02.400]  如果我們要真正明白
[00:03:02.400 --> 00:03:04.960]  主耶穌這個宣告的真正意思的時候
